Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Vdovushkin;M;B;Raw;61.5;60-64;60-69;Masters 60-64;100;100;;;;;;130;-135;;;130;;;;;;130;1;80.02;79.12;75.57;59.56;;Russia;;WPF;;2018-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Vdovushkin;M;B;Raw;61;60-64;60-69;Masters 60-69;98.5;100;;;;;;125;-127.5;-135;;125;;;;;;125;1;77.45;76.54;73.13;57.68;;Russia;;WRPF;WRPF;2018-04-27;Russia;MOW;Moscow;European Championships
Aleksandr Vdovushkin;M;B;Raw;58.5;55-59;50-59;Pro Masters 55-59;92.3;100;;;;;;140;150;155;;155;;;;;;155;1;98.98;97.72;93.56;73.81;;Russia;;WPC;WPC;2015-08-12;Russia;KRS;Kursk;World Cup
Aleksandr Vdovushkin;M;B;Raw;58.5;55-59;50-59;M2;92.2;100;;;;;;140;147.5;-150;;147.5;;;;;;147.5;1;94.24;93.04;89.08;70.28;;Russia;;Vityaz;;2015-05-16;Russia;MOW;Moscow;Russia Championships
Aleksandr Vdovushkin;M;B;Raw;58.5;55-59;50-59;Masters 55-59;92;100;;;;;;140;145;147.5;;147.5;;;;;;147.5;1;94.34;93.14;89.18;70.35;;Russia;;WPA;;2015-03-27;Russia;MOW;Moscow;Eurasian Championships
Aleksandr Vdovushkin;M;B;Raw;58.5;55-59;50-59;Amateur Masters 55-59;92.4;100;;;;;;140;147.5;-150;;147.5;;;;;;147.5;2;94.14;92.94;88.98;70.20;Yes;Russia;;WPC-RUS;WPC;2015-02-20;Russia;MOW;Moscow;Megapolis Tournament
Aleksandr Vdovushkin;M;B;Raw;57.5;55-59;50-59;Masters 55-59;91;100;;;;;;135;145;150;;150;;;;;;150;2;96.46;95.23;91.22;71.93;Yes;Russia;;WPA-RUS;WPA;2014-12-20;Russia;MOW;Moscow;Russian Cup
Aleksandr Vdovushkin;M;B;Raw;58;55-59;50-59;Pro Masters 55-59;92.8;100;;;;;;135;-145;145;;145;;;;;;145;1;92.35;91.18;87.28;68.87;;Russia;;WPC;WPC;2014-12-04;Russia;KRS;Kursk;European Cup
Aleksandr Vdovushkin;M;B;Raw;57.5;55-59;50-59;Amateur Masters 55-59;95.3;100;;;;;;135;142.5;145;;145;;;;;;145;1;91.20;90.07;86.13;67.98;Yes;Russia;;WPC;WPC;2014-10-30;Russia;LEN;St. Petersburg;Open Eurasian Cup
Aleksandr Vdovushkin;M;B;Raw;57;55-59;50-59;M_MR_4_AWPC;88.7;90;;;;;;132.5;140;-142.5;;140;;;;;;140;2;91.20;90.05;86.36;68.00;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Vdovushkin;M;B;Raw;57.5;55-59;50-59;Amateur Masters 55-59;90;90;;;;;;130;140;;;140;;;;;;140;1;90.52;89.38;85.66;67.51;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Vdovushkin;M;B;Raw;57;55-59;50-59;Amateur Masters 55-59;87.4;90;;;;;;130;140;-145;;140;;;;;;140;1;91.90;90.76;87.10;68.50;Yes;Russia;;WPC;WPC;2013-12-10;Russia;KRS;Kursk;Amateur European Championships
Aleksandr Vdovushkin;M;B;Raw;56.5;55-59;50-59;Pro Masters 55-59;87.8;90;;;;;;135;-145;-145;;135;;;;;;135;1;88.40;87.30;83.76;65.90;;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
Aleksandr Vdovushkin;M;B;Raw;56;55-59;50-59;Pro Masters 55-59;86.25;90;;;;;;130;140;-142.5;;140;;;;;;140;1;92.54;91.42;87.78;68.96;;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Vdovushkin;M;B;Raw;55.5;55-59;50-59;M-M4;88.05;90;;;;;;125;135;-140;;135;;;;;;135;1;88.27;87.17;83.63;65.81;;Russia;;GPC-RUS;GPC;2012-12-16;Russia;VLA;Suzdal;Russian Championships
Aleksandr Vdovushkin;M;B;Raw;55.5;55-59;50-59;Pro Masters 55-59;89.5;90;;;;;;120;130;135;;135;;;;;;135;1;87.54;86.43;82.85;65.27;;Russia;;WPC-RUS;WPC;2012-11-09;Russia;VLG;Vologda;Russian Cup
Aleksandr Vdovushkin;M;B;Raw;55;55-59;50-59;Pro Masters 55-59;88;90;;;;;;125;135;140;;140;;;;;;140;2;91.57;90.43;86.75;68.27;;Russia;;WPC-RUS;WPC;2012-06-07;Russia;MOW;Moscow;Russian Powerlifting Championships
