Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Verbitskiy;M;B;Unlimited;23;20-23;19-23;Juniors 20-23;63.1;67.5;;;;;;140;-150;-160;;140;;;;;;140;1;113.50;114.17;111.19;63.74;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aleksandr Verbitskiy;M;SBD;Raw;28.5;24-34;24-39;Open;87.9;93;;;;;240;;;;;175;;;;;260;675;5;441.76;436.25;418.54;90.79;Yes;Russia;;FPR;IPF;2018-12-06;Russia;STA;Kislovodsk;South & North Caucasus Classic Powerlifting Championships
Aleksandr Verbitskiy;M;B;Raw;22;20-23;19-23;Pro Juniors 20-23;62;67.5;;;;;;-95;95;102.5;;102.5;;;;;;102.5;1;84.26;84.89;82.74;60.17;;Russia;;WRPF;WRPF;2018-06-15;Russia;;Serpukhov;Moscow Regional Championships
Aleksandr Verbitskiy;M;B;Raw;21;20-23;19-23;Juniors 20-23;62.5;67.5;;;;;;105;112.5;-120;;112.5;;;;;;112.5;1;91.89;92.51;90.14;65.75;;Russia;;RPU;;2018-02-17;Russia;MOW;Serpukhov;Moscow Championships
Aleksandr Verbitskiy;M;B;Raw;21;20-23;19-23;Juniors 20-23;62.9;67.5;;;;;;95;105;-115;;105;;;;;;105;1;85.34;85.87;83.64;61.15;;Russia;;RPU;;2017-08-25;Russia;MOW;Serpukhov;Russian Championships
Aleksandr Verbitskiy;M;B;Raw;21;20-23;19-23;Juniors 20-23;63.7;67.5;;;;;;92.5;102.5;-110;;102.5;;;;;;102.5;1;82.49;82.91;80.71;59.28;;Russia;;RPU;;2017-05-06;Russia;MOW;Serpukhov;Moscow Bench Press Cup
Aleksandr Verbitskiy;M;B;Multi-ply;25.5;24-34;24-39;Pro Open;80.3;82.5;;;;;;170;-190;190;;190;;;;;;190;1;130.73;129.41;124.67;69.28;;Russia;;WPC-RUS;WPC;2015-02-28;Russia;ROS;Rostov-on-Don;Southern Federal District Championships
Aleksandr Verbitskiy;M;D;Multi-ply;25.5;24-34;24-39;Pro Open;80.3;82.5;;;;;;;;;;;220;230;240;;240;240;1;165.13;163.46;157.48;;;Russia;;WPC-RUS;WPC;2015-02-28;Russia;ROS;Rostov-on-Don;Southern Federal District Championships
Aleksandr Verbitskiy;M;B;Multi-ply;25.5;24-34;24-39;Pro Open;82.3;82.5;;;;;;-190;-190;190;;190;;;;;;190;1;128.88;127.47;122.66;68.04;;Russia;;WPC;WPC;2015-02-07;Russia;KDA;Krasnodar;Eastern Europe Championships
Aleksandr Verbitskiy;M;D;Multi-ply;24.5;24-34;24-39;Pro Open;87.5;90;;;;;;;;;;;220;235;245;;245;245;1;160.73;158.73;152.32;;;Russia;;WPC;WPC;2014-10-30;Russia;LEN;St. Petersburg;Open Eurasian Cup
Aleksandr Verbitskiy;M;B;Multi-ply;24.5;24-34;24-39;Pro Open;87.5;90;;;;;;200;210;-220;;210;;;;;;210;1;137.76;136.05;130.56;72.11;;Russia;;WPC;WPC;2014-10-30;Russia;LEN;St. Petersburg;Open Eurasian Cup
Aleksandr Verbitskiy;M;D;Multi-ply;;;;O;88.1;90;;;;;;;;;;;-220;220;230;;230;230;1;150.35;148.47;142.43;;;Russia;;GPC;GPC;2014-06-02;Czechia;;Trutnov;European Championships
Aleksandr Verbitskiy;M;B;Multi-ply;;;;O;88.1;90;;;;;;190;200;210;;210;;;;;;210;3;137.27;135.56;130.04;71.80;;Russia;;GPC;GPC;2014-06-02;Czechia;;Trutnov;European Championships
Aleksandr Verbitskiy;M;B;Multi-ply;25;24-34;24-39;Pro Open;90;90;;;;;;200;210;-220;;210;;;;;;210;1;135.79;134.06;128.49;70.84;;Russia;;WPC;WPC;2014-04-18;Russia;KDA;Krasnodar;Eurasian Championships
Aleksandr Verbitskiy;M;D;Multi-ply;25;24-34;24-39;Pro Open;90;90;;;;;;;;;;;220;-230;-230;;220;220;2;142.25;140.45;134.60;;;Russia;;WPC;WPC;2014-04-18;Russia;KDA;Krasnodar;Eurasian Championships
Aleksandr Verbitskiy;M;B;Raw;23;20-23;19-23;Pro Open;93.2;100;;;;;;155;-160;-165;;155;;;;;;155;3;98.52;97.27;93.09;73.46;;Russia;;WPC-RUS;WPC;2012-12-28;Russia;KDA;Novorossiysk;Sta-Fit Cup
