Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Vinogradov;M;B;Raw;27;24-34;24-39;Amateur Open;89.1;90;;;;;;125;127.5;130;;130;;;;;;130;4;84.49;83.42;79.99;63.00;Yes;Russia;;NAP;IPA;2020-02-22;Russia;KIR;Kirov;Power of Vyatka 2
Aleksandr Vinogradov;M;B;Single-ply;35.5;35-39;24-39;Open;129.5;120+;;;;;;-250;-257.5;257.5;;257.5;;;;;;257.5;4;144.35;145.74;139.25;73.92;Yes;Russia;;FPR;IPF;2017-12-02;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Vinogradov;M;B;Single-ply;35.5;35-39;24-39;Open;126.6;120+;;;;;;-250;-250;-255;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-04-01;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Vinogradov;M;B;Single-ply;34.5;24-34;24-39;Open;118.5;120;;;;;;-230;-230;-240;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2015-12-18;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Vinogradov;M;SBD;Single-ply;34.5;24-34;24-39;Open;119.8;120;;;;;320;;;;;240;;;;;290;850;9;488.43;488.87;468.46;82.20;Yes;Russia;;FPR;IPF;2015-05-24;Russia;LEN;St. Petersburg;White Nights
Aleksandr Vinogradov;M;SBD;Single-ply;17.5;18-19;14-18;Juniors;62.1;66;;;;;100;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2015-05-09;Russia;PER;Solikamsk;Perm Krai Juniors Powerlifting Cup
Aleksandr Vinogradov;M;SBD;Single-ply;32.5;24-34;24-39;Open;113.45;120;;;;;290;;;;;220;;;;;257.5;767.5;17;449.43;447.61;428.25;75.85;Yes;Russia;;FPR;IPF;2014-05-19;Russia;LEN;St. Petersburg;White Nights
Aleksandr Vinogradov;M;B;Single-ply;33.5;24-34;24-39;Open;115.9;120;;;;;;-205;205;215;;215;;;;;;215;8;124.95;124.67;119.37;64.05;Yes;Russia;;FPR;IPF;2014-04-25;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Vinogradov;M;SBD;Raw;20.5;20-23;19-23;Open;91.4;93;;;;;;;;;;;;;;;;520;9;333.66;329.41;315.50;68.61;Yes;Russia;;FPR;IPF;2014-04-04;Russia;LEN;St. Petersburg;St. Petersburg University Classic Powerlifting Championships
Aleksandr Vinogradov;M;SBD;Raw;33.5;24-34;24-39;Open;113.5;120;;;;;200;;;;;157.5;;;;;250;607.5;7;355.68;354.25;338.94;72.38;Yes;Russia;;FPR;IPF;2014-01-23;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Vinogradov;M;B;Multi-ply;24.5;24-34;24-39;Open;99.85;100;;;;;;190;195;-200;;195;;;;;;195;2;120.10;118.75;113.42;62.05;Yes;Russia;;WPA-RUS;WPA;2013-05-18;Russia;MOW;Moscow;Russian BP & DL Championships
Aleksandr Vinogradov;M;SBD;Single-ply;17.5;18-19;14-18;Teen 17-18;81.4;83;;;;;190;;;;;110;;;;;182.5;482.5;1;329.36;325.87;313.74;56.36;Yes;Russia;;FPR;IPF;2011-11-11;Russia;LEN;St. Petersburg;St. Petersburg Juniors Powerlifting Championships
Aleksandr Vinogradov;M;B;Raw;17.5;18-19;14-18;Teen 17-18;81.2;83;;;;;;100;107.5;110;;110;;;;;;110;3;75.19;74.40;71.64;55.88;Yes;Russia;;FPR;IPF;2011-10-14;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Tournament
Aleksandr Vinogradov;M;SBD;Single-ply;21.5;20-23;19-23;Open;105.9;110;;;;;285;;;;;207.5;;;;;280;772.5;7;464.30;460.25;439.53;78.66;Yes;Russia;;FPR;IPF;2010-05-17;Russia;LEN;St. Petersburg;White Nights
Aleksandr Vinogradov;M;B;Single-ply;21.5;20-23;19-23;Open;106.1;110;;;;;;200;205;-210;;205;;;;;;205;7;123.12;122.06;116.57;63.35;Yes;Russia;;FPR;IPF;2010-04-27;Russia;VLA;Vladimir;Russian Students Bench Press Championships
