Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Vinokurov;M;B;Raw;25;24-34;24-39;Open;89.2;90;;;;;;132.5;-137.5;137.5;;137.5;;;;;;137.5;2;89.31;88.18;84.55;66.60;;Russia;;RPU;;2022-02-26;Russia;VLG;Veliky Ustyug;Veliky Ustyug Championships
Aleksandr Vinokurov;M;B;Raw;24;24-34;24-39;Pro Open;122.5;125;;;;;;200;205;-212.5;;205;;;;;;205;1;116.94;117.31;112.39;85.73;;Russia;;NAP;IPA;2019-11-10;Russia;VGG;Volzhsky;Eurasian Cup
Aleksandr Vinokurov;M;B;Multi-ply;24;24-34;24-39;Pro Open;120.9;125;;;;;;280;290;-300;;290;;;;;;290;1;166.14;166.44;159.50;85.09;;Russia;;NAP;IPA;2019-05-18;Russia;VGG;Volzhsky;Stalingrad Breakthrough Cup of Southern Federal District
Aleksandr Vinokurov;M;B;Raw;24;24-34;24-39;Pro Open;123.5;125;;;;;;200;210;-220;;210;;;;;;210;3;119.48;119.97;114.90;87.52;;Russia;;NAP;IPA;2019-04-20;Russia;BEL;Belgorod;Zeus III Power Sports Festival
Aleksandr Vinokurov;M;B;Raw;23;20-23;19-23;Pro Juniors 20-23;122.3;125;;;;;;195;200;-205;;200;;;;;;200;1;114.15;114.49;109.70;83.70;;Russia;;NAP;IPA;2018-12-22;Russia;KDA;Krasnodar;Power Cup 6
Aleksandr Vinokurov;M;D;Raw;22;20-23;19-23;Juniors 20-23;115.6;125;;;;;;;;;;;260;;;;260;260;1;151.24;150.87;144.44;;;Russia;;RPU;;2017-10-07;Russia;VGG;Volzhsky;Russian Championships
Aleksandr Vinokurov;M;BD;Raw;22;20-23;19-23;Juniors 20-23;115.6;125;;;;;;150;165;172.5;;172.5;250;-260;260;;260;432.5;1;251.58;250.96;240.27;;;Russia;;RPU;;2017-10-07;Russia;VGG;Volzhsky;Russian Championships
Aleksandr Vinokurov;M;SBD;Single-ply;28.5;24-34;24-39;Open;96.9;105;250;270;285;;285;150;160;-170;;160;250;260;;;260;705;3;440.04;434.71;415.48;74.87;Yes;Russia;;FPR;IPF;2016-06-17;Russia;SA;Yakutsk;Sakha Powerlifting Championships
Aleksandr Vinokurov;M;B;Raw;28.5;24-34;24-39;Open;96.85;105;;;;;;150;160;-165;;160;;;;;;160;4;99.89;98.68;94.32;74.43;Yes;Russia;;FPR;IPF;2016-02-19;Russia;SA;Yakutsk;Sakha Bench Press Championships
Aleksandr Vinokurov;M;SBD;Single-ply;27.5;24-34;24-39;Open;96.85;105;230;250;265;;265;130;150;160;;160;220;235;245;;245;670;2;418.29;413.22;394.95;71.17;Yes;Russia;;FPR;IPF;2015-06-26;Russia;SA;Yakutsk;Sakha Powerlifting Championships
Aleksandr Vinokurov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;79.8;83;;;;;140;;;;;70;;;;;160;370;6;255.51;253.00;243.80;52.25;Yes;Russia;;FPR;IPF;2013-12-28;Russia;NIZ;Arzamas;Arzamas Classic Juniors & Sub-Juniors Powerlifting Championships
