Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Voronin;M;SBD;Raw;27;24-34;24-39;Open;108;110;215;230;240;;240;155;165;-172.5;;165;280;-295;-295;;280;685;2;408.55;405.45;387.33;83.48;;Russia;;RPU;;2022-05-28;Russia;NIZ;Chkalovsk;Chkalov Cup
Aleksandr Voronin;M;D;Raw;27;24-34;24-39;Open;108;110;;;;;;;;;;;280;-295;-295;;280;280;1;167.00;165.73;158.32;;;Russia;;RPU;;2022-05-28;Russia;NIZ;Chkalovsk;Chkalov Cup
Aleksandr Voronin;M;SBD;Raw;26;24-34;24-39;Open;106.8;110;210;220;230;;230;155;162.5;-167.5;;162.5;250;260;270;;270;662.5;1;396.86;393.58;375.91;81.15;;Russia;;RPU;;2021-11-27;Russia;NIZ;Chkalovsk;Caspian Monster III
Aleksandr Voronin;M;SBD;Raw;35.5;35-39;24-39;Open;90.8;93;;;;;190;;;;;135;;;;;220;545;4;350.84;346.38;331.84;72.14;Yes;Russia;;FPR;IPF;2021-11-05;Russia;NIZ;Gorodets;Nizhny Novgorod Govenor's Cup
Aleksandr Voronin;M;SBD;Raw;26;24-34;24-39;Open;107.1;110;200;210;-220;;210;145;152.5;157.5;;157.5;225;240;255;;255;622.5;2;372.49;369.47;352.90;76.15;;Russia;;RPU;;2021-07-17;Russia;NIZ;Chkalovsk;Chkalov Cup
Aleksandr Voronin;M;SBD;Raw;26;24-34;24-39;Open;107.5;110;185;200;210;;210;140;150;160;;160;220;235;245;;245;615;3;367.46;364.57;348.24;75.11;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksandr Voronin;M;B;Raw;35.5;35-39;24-39;Open;94;105;;;;;;110;120;130;;130;;;;;;130;6;82.29;81.26;77.74;61.36;Yes;Russia;;FPR;IPF;2021-04-16;Russia;NIZ;Nizhny Novgorod;President of the SFNOP Bench Press Cup
Aleksandr Voronin;M;D;Raw;52.5;50-54;50-59;Amateur Masters 50-54;87.6;90;;;;;;;;;;;-172.5;172.5;182.5;;182.5;182.5;1;119.65;118.16;113.39;;Yes;Russia;;WPF-RUS;WPF;2018-02-24;Russia;MOW;Moscow;Megapolis
Aleksandr Voronin;M;D;Raw;51.5;50-54;50-59;Amateur Masters 50-54;84.3;90;;;;;;;;;;;152.5;162.5;-172.5;;162.5;162.5;1;108.76;107.49;103.32;;Yes;Russia;;WPF-RUS;WPF;2017-12-16;Russia;MOW;Moscow;Russian Championships
Aleksandr Voronin;M;B;Raw;22;20-23;19-23;Juniors 20-23;87.1;90;;;;;;90;100;105;;105;;;;;;105;1;69.05;68.20;65.45;51.47;;Russia;;RPU;;2016-12-11;Russia;;Ivanovo;Gravity 37 Bench Press & Squat Tournament
Aleksandr Voronin;M;B;Raw;23.5;24-34;24-39;Amateur Juniors 20-23;72.9;75;;;;;;117.5;-122.5;122.5;;122.5;;;;;;122.5;5;89.52;89.07;86.16;65.85;Yes;Russia;;WPC-RUS;WPC;2016-03-05;Russia;SAM;Togliatty;Samara Oblast Championships
Aleksandr Voronin;M;B;Raw;23.5;24-34;24-39;Amateur Juniors 20-23;72.9;75;;;;;;117.5;-122.5;122.5;;122.5;;;;;;122.5;5;89.52;89.07;86.16;65.85;Yes;Russia;;WPC-RUS;WPC;2016-03-05;Russia;SAM;Togliatty;Samara Oblast Championships
Aleksandr Voronin;M;SBD;Multi-ply;;;;Amateur Open;87.6;;-130;130;140;;140;-110;110;-115;;110;150;160;170;;170;420;11;275.36;271.94;260.94;47.04;Yes;Russia;;WPC-RUS;WPC;2009-12-26;Russia;MOW;Moscow;Health Technologies Powerlifting and Bench Press Meet
Aleksandr Voronin;M;SBD;Single-ply;20.5;20-23;19-23;Open;83.85;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2007-05-18;Russia;KYA;Krasnoyarsk;Russian Railways Powerlifting Championships
