Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Yakovlev;M;B;Raw;43;40-44;40-49;Masters 40-44;104.4;110;;;;;;145;-155;-155;;145;;;;;;145;1;87.65;86.82;82.90;65.10;;Russia;;RPU;;2022-06-18;Russia;VGG;Volzhsky;Eurasian Championships
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Pro Masters 40-49;100;100;;;;;;-150;-150;-150;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2021-05-29;Russia;VGG;Mikhailovka;Mikhailovka City Competition
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Open;104.6;110;;;;;;150;155;160;;160;;;;;;160;2;96.64;95.74;91.42;71.77;;Russia;;GPA;GPA;2021-04-03;Russia;VLG;Volzhsky;Eastern European Championships
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Masters 40-44;104.6;110;;;;;;150;155;160;;160;;;;;;160;1;96.64;95.74;91.42;71.77;;Russia;;GPA;GPA;2021-04-03;Russia;VLG;Volzhsky;Eastern European Championships
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Masters 40-44;105;110;;;;;;145;155;-162.5;;155;;;;;;155;1;93.48;92.62;88.44;69.40;;Russia;;RPU;;2021-02-27;Russia;KDA;Krasnodar;50 Gym Cup & Krasnodar Championships
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Pro Masters 40-44;104;110;;;;;;140;-150;155;;155;;;;;;155;3;93.84;92.94;88.74;69.71;;Russia;;WPC;WPC;2020-12-12;Russia;KDA;Novorossiysk;European Cup
Aleksandr Yakovlev;M;B;Raw;42;40-44;40-49;Pro Open;104;110;;;;;;140;-150;155;;155;;;;;;155;4;93.84;92.94;88.74;69.71;;Russia;;WPC;WPC;2020-12-12;Russia;KDA;Novorossiysk;European Cup
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Masters 40-44;99.9;100;;;;;;;;;;;240;245;-250;;245;245;1;150.87;149.16;142.47;;;Russia;;RPU;;2020-02-15;Russia;KDA;Krasnodar;50 Gym Cup & Krasnodar Championships
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Open;99.9;100;;;;;;;;;;;240;245;-250;;245;245;2;150.87;149.16;142.47;;;Russia;;RPU;;2020-02-15;Russia;KDA;Krasnodar;50 Gym Cup & Krasnodar Championships
Aleksandr Yakovlev;M;B;Raw;16;16-17;14-18;Amateur Teen 14-16;65.85;67.5;;;;;;100;110;-115;;110;;;;;;110;1;86.33;86.53;84.09;62.47;Yes;Russia;;NAP;IPA;2019-12-14;Russia;NVS;Berdsk;Steel Arena 9
Aleksandr Yakovlev;M;BD;Raw;41;40-44;40-49;Open;108.2;110;;;;;;130;140;-150;;140;250;260;-262.5;;260;400;1;238.40;236.62;226.05;;;Russia;;RPU;;2019-12-14;Russia;VGG;Volzhsky;Ice Hammer 4
Aleksandr Yakovlev;M;BD;Raw;41;40-44;40-49;Masters 40-44;108.2;110;;;;;;130;140;-150;;140;250;260;-262.5;;260;400;1;238.40;236.62;226.05;;;Russia;;RPU;;2019-12-14;Russia;VGG;Volzhsky;Ice Hammer 4
Aleksandr Yakovlev;M;B;Unlimited;36;35-39;24-39;Pro Open;88.25;90;;;;;;-270;-280;-287.5;;;;;;;;;DQ;;;;;;Russia;;NAP;IPA;2019-12-14;Russia;NVS;Berdsk;Steel Arena 9
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Open;108.2;110;;;;;;;;;;;250;260;-262.5;;260;260;1;154.96;153.80;146.93;;;Russia;;RPU;;2019-12-14;Russia;VGG;Volzhsky;Ice Hammer 4
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Masters 40-44;108.2;110;;;;;;;;;;;250;260;-262.5;;260;260;1;154.96;153.80;146.93;;;Russia;;RPU;;2019-12-14;Russia;VGG;Volzhsky;Ice Hammer 4
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Pro Open;104.5;110;;;;;;;;;;;255;-265;-265;;255;255;1;154.09;152.63;145.75;;;Russia;;WRPF;WRPF;2019-11-23;Russia;VGG;Mikhailovka;Volgograd Championships
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Pro Masters 40-49;104.5;110;;;;;;;;;;;255;-265;-265;;255;255;1;154.09;152.63;145.75;;;Russia;;WRPF;WRPF;2019-11-23;Russia;VGG;Mikhailovka;Volgograd Championships
Aleksandr Yakovlev;M;B;Raw;16;16-17;14-18;Teen 16-17;66.4;67.5;;;;;;95;105;-112.5;;105;;;;;;105;1;81.90;82.04;79.69;59.36;;Russia;;RPU;;2019-11-16;Russia;ALT;Rubtsovsk;Rubtsovsk Championships
Aleksandr Yakovlev;M;D;Raw;41;40-44;40-49;Open;103.9;110;;;;;;;;;;;240;260;-265;;260;260;1;157.48;155.95;148.91;;;Russia;;GPA;GPA;2019-11-02;Russia;VOR;Voronezh;Eurasian Championships
