Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Yukhanov;M;BD;Raw;31;24-34;24-39;Open;103.9;110;;;;;;160;182.5;-190;;182.5;-290;290;-322.5;;290;472.5;1;286.18;283.40;270.61;;;Russia;;IPL;IPL;2017-04-20;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Yukhanov;M;BD;Single-ply;30;24-34;24-39;Open;98.3;100;;;;;;130;;;;130;-292.5;292.5;-302.5;;292.5;422.5;3;262.02;258.94;247.39;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksandr Yukhanov;M;D;Single-ply;30;24-34;24-39;Open;98.3;100;;;;;;;;;;;-292.5;292.5;-302.5;;292.5;292.5;3;181.40;179.26;171.27;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksandr Yukhanov;M;D;Single-ply;30;24-34;24-39;O;97.25;100;;;;;;;;;;;280;-303;-303;;280;280;1;174.48;172.38;164.74;;;Russia;;Vityaz;;2016-11-05;Russia;MOW;Moscow;Ivan Poddubniy International Tournament
Aleksandr Yukhanov;M;D;Single-ply;30;24-34;24-39;O;112;125;;;;;;;;;;;300;317.5;-325;;317.5;317.5;1;186.79;185.85;177.73;;;Russia;;Vityaz;;2016-05-27;Russia;MOW;Moscow;World Cup
Aleksandr Yukhanov;M;D;Multi-ply;29;24-34;24-39;Open;107.7;110;;;;;;;;;;;267.5;290;310;;310;310;1;185.09;183.66;175.44;;;Russia;;GPA;GPA;2015-11-06;Russia;MOW;Moscow;Eastern European Cup
Aleksandr Yukhanov;M;D;Single-ply;27;24-34;24-39;Amateur Open;125;125;;;;;;;;;;;230;-256;256;;256;256;1;145.09;145.88;139.60;;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Yukhanov;M;D;Single-ply;27;24-34;24-39;Open;124.25;125;;;;;;;;;;;235;-260;-260;;235;235;1;133.44;134.08;128.37;;Yes;Russia;;WPA-RUS;WPA;2013-05-18;Russia;MOW;Moscow;Russian BP & DL Championships
Aleksandr Yukhanov;M;D;Raw;27;24-34;24-39;Amateur Open;121.6;125;;;;;;;;;;;230;245;-250;;245;245;4;140.09;140.43;134.57;;Yes;Russia;;WPC-RUS;WPC;2013-02-22;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Yukhanov;M;D;Raw;24;24-34;24-39;Open;118.8;125;;;;;;;;;;;280;-300;-300;;280;280;4;161.35;161.36;154.61;;;Russia;;Russia-UA;;2010-09-04;Russia;MOW;Moscow;Golden Double
Aleksandr Yukhanov;M;SBD;Raw;24;24-34;24-39;Pro Open;105.45;110;230;242.5;-250;;242.5;155;165;;;165;280;305.5;;;305.5;713;1;429.27;425.42;406.25;87.86;;Russia;;WPC-RUS;WPC;2010-02-04;Russia;MOW;Krasnoarmeysk;Moscow Powerliftng and Bench PressChampionships
Aleksandr Yukhanov;M;SBD;Multi-ply;24;24-34;24-39;Amateur Open;102;;225;235;-245;;235;140;150;155;;155;260;280;302.5;;302.5;692.5;1;422.66;418.21;399.35;71.74;Yes;Russia;;WPC-RUS;WPC;2009-12-26;Russia;MOW;Moscow;Health Technologies Powerlifting and Bench Press Meet
Aleksandr Yukhanov;M;SBD;Raw;23;20-23;24-39;Pro Juniors 20-23;97.9;100;-215;215;230;;230;155;165;175;;175;245;260;270;;270;675;3;419.37;414.39;395.96;86.14;;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
Aleksandr Yukhanov;M;SBD;Multi-ply;22;20-23;19-23;Pro Juniors 20-23;96;100;275;-300;300;;300;130;190;-205;;190;260;-285;-285;;260;750;1;470.12;464.34;443.93;80.02;;Russia;;WPC-RUS;WPC;2008-12-11;Russia;KRS;Kursk;Nosorog Pro Expo
