Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Zotov;M;B;Raw;35;35-39;24-39;Amateur Open;98.8;100;;;;;;162.5;-170;170;;170;;;;;;170;4;105.19;103.97;99.32;78.33;Yes;Russia;;WPF-RUS;WPF;2022-04-22;Russia;MOW;Reutov;Grand Prix & Kremlin Press
Aleksandr Zotov;M;BD;Raw;30;24-34;24-39;Pro Open;73.6;75;;;;;;100;-105;105;;105;180;-190;190;;190;295;1;214.23;213.02;205.99;;;Russia;;WRPF;WRPF;2021-06-27;Russia;PNZ;Kuznetsk;Dynamite Open III
Aleksandr Zotov;M;B;Raw;34;24-34;24-39;Amateur Open;99.4;100;;;;;;160;170;-175;;170;;;;;;170;2;104.91;103.71;99.07;78.10;Yes;Russia;;WPF-RUS;WPF;2021-02-27;Russia;MOW;Moscow;Megapolis
Aleksandr Zotov;M;B;Raw;34;24-34;24-39;Amateur Open;97.4;100;;;;;;160;165;-170;;165;;;;;;165;4;102.75;101.52;97.01;76.55;Yes;Russia;;WPF-RUS;WPF;2020-12-20;Russia;MOW;Moscow;Kremlin Press
Aleksandr Zotov;M;B;Raw;33;24-34;24-39;Amateur Open;97.4;100;;;;;;157.5;-165;165;;165;;;;;;165;3;102.75;101.52;97.01;76.55;Yes;Russia;;WPF-RUS;WPF;2019-10-20;Russia;MOW;Moscow;PROMotion Cup
Aleksandr Zotov;M;B;Raw;37;35-39;24-39;Amateur Open;74.6;75;;;;;;125;135;140;;140;;;;;;140;2;100.78;100.13;96.77;74.34;Yes;Russia;;NAP;IPA;2019-04-20;Russia;TYU;Tyumen;All-Russian Tournament
Aleksandr Zotov;M;B;Raw;32;24-34;24-39;Amateur Open;96.7;100;;;;;;155;-165;165;;165;;;;;;165;2;103.08;101.83;97.33;76.81;Yes;Russia;;WPF-RUS;WPF;2019-02-23;Russia;MOW;Moscow;Megapolis Tournament
Aleksandr Zotov;M;B;Raw;37;35-39;24-39;Amateur Open;72.5;75;;;;;;130;-135;-135;;130;;;;;;130;3;95.35;94.90;91.83;70.09;Yes;Russia;;WRPF;WRPF;2018-11-09;Russia;TYU;Tyumen;Tyumen Open Championships
Aleksandr Zotov;M;B;Raw;37;35-39;24-39;Amateur Open;79.8;82.5;;;;;;140;-147.5;147.5;;147.5;;;;;;147.5;1;101.86;100.86;97.19;75.61;Yes;Russia;;WRPF;WRPF;2018-06-01;Russia;TYU;Tyumen;Siberian Force
Aleksandr Zotov;M;B;Raw;36;35-39;24-39;Amateur Open;80.5;82.5;;;;;;-142.5;142.5;147.5;;147.5;;;;;;147.5;3;101.34;100.31;96.62;75.26;Yes;Russia;;NAP;IPA;2017-11-11;Russia;TYU;Tyumen;Ural Bench Press & Deadlift Championships
Aleksandr Zotov;M;B;Raw;36;35-39;24-39;Pro Open;78.2;82.5;;;;;;140;147.5;-150;;147.5;;;;;;147.5;2;103.10;102.18;98.55;76.41;Yes;Russia;;WRPF;WRPF;2017-08-25;Russia;TYU;Tyumen;Ural Open Championship
Aleksandr Zotov;M;B;Raw;36;35-39;24-39;Amateur Open;79.6;82.5;;;;;;140;147.5;-152.5;;147.5;;;;;;147.5;3;102.01;101.02;97.36;75.70;Yes;Russia;;NAP;IPA;2017-06-24;Russia;TYU;Tyumen;Federation Cup
Aleksandr Zotov;M;BD;Raw;21;20-23;19-23;Pro Juniors 20-23;78.7;82.5;;;;;;95;97.5;102.5;;102.5;125;130;135;;135;237.5;1;165.37;163.85;157.99;;Yes;Russia;;WRPF;WRPF;2017-06-10;Russia;KRS;Kursk;Kursk Open Tournament
Aleksandr Zotov;M;SBD;Wraps;17.5;18-19;14-18;Amateur Teen 16-17;88.6;90;170;180;185;;185;100;110;120;;120;160;170;-180;;170;475;1;309.60;305.70;293.19;63.64;Yes;Russia;;WPC-RUS;WPC;2016-01-30;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksandr Zotov;M;SBD;Raw;17;16-17;14-18;Pro Teen 16-17;86.6;90;150;170;-180;;170;100;110;-120;;110;150;160;170;;170;450;1;296.82;293.18;281.47;60.98;Yes;Russia;;WPC;WPC;2015-06-02;Russia;LEN;St. Petersburg;Amateur European Championships
Aleksandr Zotov;M;SBD;Raw;16.5;16-17;14-18;Amateur Teen 16-17;91.9;100;160;170;180;;180;100;115;;;115;160;170;180;;180;475;1;303.97;300.10;287.36;62.50;Yes;Russia;;WPC-RUS;WPC;2015-01-31;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksandr Zotov;M;B;Multi-ply;31;24-34;24-39;M-O-E;54.5;56;;;;;;75;-80;-85;;75;;;;;;75;1;68.78;70.14;68.88;41.07;;Russia;;GPC-RUS;GPC;2014-12-14;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Zotov;M;B;Single-ply;31;24-34;24-39;Pro Open;53.3;56;;;;;;75;80;85;;85;;;;;;85;1;79.55;81.30;79.95;48.07;;Russia;;WPC-RUS;WPC;2014-11-15;Russia;AMU;Blagoveshchensk;Far Eastern Championships
Aleksandr Zotov;M;B;Raw;27.5;24-34;24-39;Amateur Open;95.7;100;;;;;;145;-150;152.5;;152.5;;;;;;152.5;4;95.73;94.55;90.40;71.35;Yes;Russia;;WPC-RUS;WPC;2014-10-16;Russia;MOW;Moscow;Moscow PROmovement Championships
Aleksandr Zotov;M;B;Raw;27.5;24-34;24-39;Pro Open;87.4;90;;;;;;125;130;132.5;;132.5;;;;;;132.5;5;86.97;85.90;82.43;64.83;;Russia;;WPC-RUS;WPC;2014-08-01;Russia;MOW;Moscow;Moscow Cup
Aleksandr Zotov;M;B;Raw;30.5;24-34;24-39;Pro Open;54.4;56;;;;;;75;-80;80;;80;;;;;;80;1;73.48;74.95;73.61;50.52;;Russia;;WPC-RUS;WPC;2014-05-10;Russia;KHA;Khabarovsk;Khabarovsk Championships
Aleksandr Zotov;M;B;Raw;27.5;24-34;24-39;Amateur Open;93.5;100;;;;;;140;145;-147.5;;145;;;;;;145;11;92.02;90.86;86.94;68.61;Yes;Russia;;WPC-RUS;WPC;2014-04-26;Russia;MOW;Moscow;Kremlin Bench
Aleksandr Zotov;M;B;Raw;30;24-34;24-39;Pro Open;54.3;56;;;;;;75;-80;-80;;75;;;;;;75;1;69.01;70.40;69.15;47.41;;Russia;;WPC-RUS;WPC;2014-03-29;Russia;AMU;Blagoveshchensk;Amur Cup
Aleksandr Zotov;M;B;Raw;27.5;24-34;24-39;Amateur Open;94.3;100;;;;;;120;125;130;;130;;;;;;130;14;82.17;81.14;77.62;61.26;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Zotov;M;B;Raw;30;24-34;24-39;Pro Open;54.6;56;;;;;;75;80;-82.5;;80;;;;;;80;1;73.24;74.68;73.33;50.41;;Russia;;WPC-RUS;WPC;2013-12-20;Russia;KHA;Khabarovsk;Far East Cup
Aleksandr Zotov;M;B;Raw;29.5;24-34;24-39;Pro Open;53.9;56;;;;;;70;75;80;;80;;;;;;80;1;74.10;75.65;74.34;50.78;;Russia;;WPC-RUS;WPC;2013-05-04;Russia;KHA;Khabarovsk;Khabarovsk Raw Championships
Aleksandr Zotov;M;SBD;Single-ply;24.5;24-34;24-39;Open;90;90;180;190;200;;200;140;;;;140;200;-210;210;;210;550;2;355.63;351.12;336.51;60.69;Yes;Russia;;FPR;IPF;2010-11-14;Russia;BEL;Alekseevka;Olympus Cup
Aleksandr Zotov;M;B;Raw;40.5;40-44;40-49;Pro Open;105.8;110;;;;;;195;205;210;;210;;;;;;210;2;126.27;125.16;119.52;93.70;;Russia;;WPC-RUS;WPC;2008-12-11;Russia;KRS;Kursk;Nosorog Pro Expo
