Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Alisov;M;B;Multi-ply;28;24-34;24-39;Pro Open;70.2;75;;;;;;160;170;180;;180;;;;;;180;1;134.94;134.60;130.42;73.49;;Russia;;NAP;IPA;2021-10-02;Russia;;Gurzuf;Eurasian Power Sports Championships
Aleksey Alisov;M;D;Multi-ply;25;24-34;24-39;Pro Open;72.6;75;;;;;;;;;;;215;230;242.5;;242.5;242.5;1;177.70;176.85;171.11;;;Russia;;NAP;IPA;2019-06-23;Russia;;Gurzuf;Tavriki Cup
Aleksey Alisov;M;D;Raw;25;24-34;24-39;Pro Open;72.6;75;;;;;;;;;;;215;230;242.5;;242.5;242.5;1;177.70;176.85;171.11;;;Russia;;NAP;IPA;2019-06-23;Russia;;Gurzuf;Tavriki Cup
Aleksey Alisov;M;D;Multi-ply;25;24-34;24-39;Open;75;75;;;;;;;;;;;270;-285;285;;285;285;1;204.47;203.08;196.22;;;Russia;;WRPF;WRPF;2019-03-09;Russia;;Simferopol;The Power of Atlants III
Aleksey Alisov;M;D;Multi-ply;25;24-34;24-39;Pro Open;74.7;75;;;;;;;;;;;250;270;280;;280;280;1;201.39;200.08;193.35;;;Russia;;NAP;IPA;2019-02-23;Russia;;Sevastopol;Sevastopol Cup
Aleksey Alisov;M;D;Multi-ply;25;24-34;24-39;Open;77.5;82.5;;;;;;;;;;;250;260;-270;;260;260;1;182.74;181.18;174.82;;;Russia;;RPU;;2018-08-04;Ukraine;;Koktebel;Crimea Power Pro
Aleksey Alisov;M;B;Multi-ply;25;24-34;24-39;Open;77.2;82.5;;;;;;182.5;192.5;-202.5;;192.5;;;;;;192.5;1;135.62;134.49;129.79;72.37;;Russia;;RPU;;2018-08-04;Ukraine;;Koktebel;Crimea Power Pro
Aleksey Alisov;M;B;Multi-ply;25;24-34;24-39;Pro Open;75;75;;;;;;-180;190;200;;200;;;;;;200;1;143.48;142.51;137.70;77.00;;Russia;;NAP;IPA;2018-06-30;Russia;;Gurzuf;Tavrika Cup
Aleksey Alisov;M;D;Single-ply;22;20-23;19-23;Pro Open;75;75;;;;;;;;;;;235;245;257.5;;257.5;257.5;1;184.74;183.48;177.29;;;Russia;;NAP;IPA;2015-11-07;Ukraine;;Simferopol;Crimean Championships
Aleksey Alisov;M;SBD;Multi-ply;22;20-23;19-23;Pro Open;75;75;282.5;305;;;305;170;180;182.5;;182.5;235;245;257.5;;257.5;745;1;534.48;530.86;512.94;91.53;;Russia;;NAP;IPA;2015-11-07;Ukraine;;Simferopol;Crimean Championships
Aleksey Alisov;M;SBD;Multi-ply;22;20-23;19-23;Pro Open;73.35;75;-280;280;300;;300;170;175;-180;;175;235;245;255;;255;730;1;531.32;528.42;511.06;90.99;;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
Aleksey Alisov;M;SBD;Multi-ply;22;20-23;19-23;Pro Juniors 20-23;73.35;75;-280;280;300;;300;170;175;-180;;175;235;245;255;;255;730;1;531.32;528.42;511.06;90.99;;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
