Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Anosenko;M;BD;Raw;31;24-34;24-39;Amateur Open;98.6;100;;;;;;130;140;-150;;140;220;235;245;;245;385;1;238.44;235.65;225.14;;Yes;Russia;;WRPF;WRPF;2022-06-04;Russia;STA;Stavropol;Cup of the Sun
Aleksey Anosenko;M;SBD;Raw;31;24-34;24-39;Amateur Open;98.6;100;180;190;-200;;190;130;140;-150;;140;220;235;245;;245;575;2;356.11;351.95;336.24;73.13;Yes;Russia;;WRPF;WRPF;2022-06-04;Russia;STA;Stavropol;Cup of the Sun
Aleksey Anosenko;M;SBD;Raw;30;24-34;24-39;Pro Open;93.4;100;185;202.5;-210;;202.5;-145;145;150;;150;240;260;-275;;260;612.5;3;388.90;383.99;367.46;79.96;;Russia;;WRPF;WRPF;2021-12-03;Russia;STA;Stavropol;Eurasian Championships
Aleksey Anosenko;M;D;Raw;30;24-34;24-39;Pro Open;93.4;100;;;;;;;;;;;240;260;-275;;260;260;4;165.09;163.00;155.98;;;Russia;;WRPF;WRPF;2021-12-03;Russia;STA;Stavropol;Eurasian Championships
Aleksey Anosenko;M;SBD;Raw;30;24-34;24-39;Open;94.8;100;185;200;205;;205;140;147.5;150;;150;257.5;272.5;;;272.5;627.5;1;395.63;390.70;373.67;81.33;;Russia;;RPU;;2021-06-19;Russia;SAM;Samara;Explosive Force
Aleksey Anosenko;M;D;Raw;30;24-34;24-39;Open;94.8;100;;;;;;;;;;;257.5;272.5;;;272.5;272.5;1;171.81;169.66;162.27;;;Russia;;RPU;;2021-06-19;Russia;SAM;Samara;Explosive Force
Aleksey Anosenko;M;SBD;Raw;30;24-34;24-39;Pro Open;93.4;100;180;192.5;197.5;;197.5;140;145;-147.5;;145;230;250;260;;260;602.5;4;382.55;377.72;361.46;78.66;;Russia;;WRPF;WRPF;2021-03-20;Russia;STA;Stavropol;Cup of St. George the Victorious
Aleksey Anosenko;M;D;Raw;28;24-34;24-39;Pro Open;95.3;100;;;;;;;;;;;-225;225;235;;235;235;4;147.80;145.97;139.58;;;Russia;;WRPF;WRPF;2019-12-28;Russia;STA;Stavropol;European Cup
Aleksey Anosenko;M;SBD;Wraps;28;24-34;24-39;Pro Open;95.3;100;190;205;-212.5;;205;137.5;145;-150;;145;-225;225;235;;235;585;3;367.94;363.37;347.48;75.63;;Russia;;WRPF;WRPF;2019-12-28;Russia;STA;Stavropol;European Cup
Aleksey Anosenko;M;SBD;Raw;28;24-34;24-39;Open;93;93;;;;;190;;;;;150;;;;;240;580;1;369.03;364.35;348.72;75.88;Yes;Russia;;FPR;IPF;2019-11-16;Russia;STA;Kurskaya;Kurskfya District Powerlifting Cup
Aleksey Anosenko;M;SBD;Wraps;28;24-34;24-39;Pro Open;87.4;90;185;200;212.5;;212.5;135;-145;147.5;;147.5;-225;-237.5;-240;;;;DQ;;;;;;Russia;;WRPF;WRPF;2019-06-15;Russia;STA;Stavropol;Sun Cup
Aleksey Anosenko;M;D;Raw;27;24-34;24-39;Pro Open;87;90;;;;;;;;;;;220;232.5;-240;;232.5;232.5;3;152.99;151.10;145.03;;;Russia;;WRPF;WRPF;2018-12-08;Russia;STA;Stavropol;Russian Cup
Aleksey Anosenko;M;SBD;Wraps;27;24-34;24-39;Pro Open;87;90;180;-190;190;;190;-130;130;140;;140;220;232.5;-240;;232.5;562.5;3;370.13;365.56;350.88;76.05;;Russia;;WRPF;WRPF;2018-12-08;Russia;STA;Stavropol;Russian Cup
Aleksey Anosenko;M;SBD;Wraps;27;24-34;24-39;Open;84.8;90;145;160;-170;;160;115;125;-130;;125;-190;-200;202.5;;202.5;487.5;3;325.22;321.37;308.83;66.76;;Russia;;WRPF;WRPF;2018-06-02;Russia;STA;Stavropol;Sun Cup
Aleksey Anosenko;M;SBD;Raw;27;24-34;24-39;Open;82.5;83;;;;;160;;;;;125;;;;;200;485;7;328.54;324.90;312.62;67.34;Yes;Russia;;FPR;IPF;2018-05-05;Russia;NIZ;Kstovo;Battle of the Volga
Aleksey Anosenko;M;SBD;Raw;26;24-34;24-39;Open;81.8;83;;;;;150;;;;;120;;;;;185;455;4;309.71;306.38;294.91;63.45;Yes;Russia;;FPR;IPF;2017-10-21;Russia;STA;Pyatigorsk;Stavropol Krai Powerlifting Cup
