Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Antonov;M;B;Raw;33;24-34;24-39;Pro Open;96.8;100;;;;;;185;195;200;;200;;;;;;200;1;124.89;123.38;117.92;93.06;;;;WRPF;WRPF;2022-05-07;Russia;VOR;Voronezh;Battle for Voronezh
Aleksey Antonov;M;B;Raw;30;24-34;24-39;Open;94.8;100;;;;;;-185;185;190;;190;;;;;;190;1;119.79;118.30;113.14;89.30;;;;RPU;;2019-04-13;Russia;LIP;Lipetsk;Lipetsk Cup
Aleksey Antonov;M;B;Raw;29;24-34;24-39;Open;95;100;;;;;;175;185;192.5;;192.5;;;;;;192.5;1;121.25;119.74;114.52;90.39;;;;RPU;;2018-09-29;Russia;LIP;Lipetsk;Lipetsk Championships
Aleksey Antonov;M;SBD;Single-ply;33.5;24-34;24-39;Open;87.8;93;;;;;190;;;;;150;;;;;230;570;4;373.26;368.61;353.67;63.75;Yes;;;FPR;IPF;2018-09-09;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Powerlifting Championships
Aleksey Antonov;M;B;Raw;29;24-34;24-39;Pro Open;96.9;100;;;;;;175;185;-192.5;;185;;;;;;185;2;115.47;114.07;109.03;86.04;;;;WRPF;WRPF;2018-09-08;Russia;TAM;Tambov;Tambov Regional Championships
Aleksey Antonov;M;B;Raw;33.5;24-34;24-39;Open;87.5;93;;;;;;;;;;150;;;;;;150;4;98.40;97.18;93.26;73.35;Yes;;;FPR;IPF;2018-08-12;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksey Antonov;M;B;Raw;28;24-34;24-39;Amateur Open;99.8;100;;;;;;175;185;190;;190;;;;;;190;1;117.05;115.72;110.53;87.13;Yes;;;WPC-RUS;WPC;2017-09-24;Russia;LIP;Lipetsk;Lipetsk Championships
Aleksey Antonov;M;B;Raw;27.5;24-34;24-39;Amateur Open;101.2;110;;;;;;175;180;187.5;;187.5;;;;;;187.5;1;114.82;113.58;108.46;85.41;Yes;Russia;;WPC-RUS;WPC;2016-09-10;Russia;LIP;Lipetsk;Lipetsk Oblast Championships
Aleksey Antonov;M;B;Raw;27.5;24-34;24-39;Pro Open;99.8;100;;;;;;160;170;-177.5;;170;;;;;;170;1;104.73;103.54;98.90;77.95;;Russia;;WPC-RUS;WPC;2016-06-05;Russia;TAM;Tambov;Strong Tambov Tournament
Aleksey Antonov;M;D;Raw;27.5;24-34;24-39;Pro Open;99.8;100;;;;;;;;;;;230;240;-245;;240;240;2;147.85;146.18;139.62;;;Russia;;WPC-RUS;WPC;2016-06-05;Russia;TAM;Tambov;Strong Tambov Tournament
