Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Berg;M;B;Raw;39.5;35-39;40-49;Open;103.05;105;;;;;;160;172.5;180;;180;;;;;;180;3;109.39;108.29;103.40;81.30;Yes;Russia;;FPR;IPF;2021-02-25;Russia;KYA;Zelenogorsk;Russian Masters Bench Press Championships
Aleksey Berg;M;SBD;Raw;36.5;35-39;24-39;Open;103.2;105;;;;;260;;;;;200;;;;;260;720;1;437.30;432.92;413.37;89.62;Yes;Russia;;FPR;IPF;2018-04-11;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Berg;M;SBD;Single-ply;35.5;35-39;24-39;Open;103.6;105;;;;;280;;;;;190;;;;;260;730;15;442.67;438.31;418.52;75.08;Yes;Russia;;FPR;IPF;2017-12-06;Russia;KYA;Krasnoyarsk;Siberian Powerlifting Championships
Aleksey Berg;M;B;Single-ply;32.5;24-34;24-39;Open;102.45;105;;;;;;-230;240;-250;;240;;;;;;240;4;146.21;144.70;138.17;75.39;Yes;Russia;;FPR;IPF;2014-12-18;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Bench Press Championships
Aleksey Berg;M;B;Single-ply;32.5;24-34;24-39;Open;102.45;105;;;;;;-230;240;-250;;240;;;;;;240;2;146.21;144.70;138.17;75.39;Yes;Russia;;FPR;IPF;2014-12-17;Russia;KYA;Krasnoyarsk;Siberian Powerlifting Championships
Aleksey Berg;M;SBD;Raw;32.5;24-34;24-39;Open;100.7;105;220;230;240;;240;180;192.5;-200;;192.5;200;220;;;220;652.5;1;400.42;396.01;378.19;82.16;Yes;Russia;;FPR;IPF;2014-04-16;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Berg;M;SBD;Raw;31.5;24-34;24-39;Open;98.95;105;220;230;240;;240;170;180;190;;190;230;240;250;;250;680;2;420.48;415.61;397.03;86.34;Yes;Russia;;FPR;IPF;2013-04-17;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Berg;M;B;Raw;30.5;24-34;24-39;Open;98.5;105;;;;;;170;177.5;-182;;177.5;;;;;;177.5;6;109.98;108.69;103.84;81.90;Yes;Russia;;FPR;IPF;2012-08-04;Russia;KYA;Krasnoyarsk;Russian Railways Bench Press Championships
Aleksey Berg;M;SBD;Single-ply;29.5;24-34;24-39;Open;98.2;105;;;;;230;;;;;160;;;;;240;630;7;390.88;386.27;369.06;66.47;Yes;Russia;;FPR;IPF;2011-11-18;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Powerlifting Championships
Aleksey Berg;M;B;Single-ply;29.5;24-34;24-39;Open;98.2;105;;;;;;140;150;160;;160;;;;;;160;12;99.27;98.10;93.73;51.35;Yes;Russia;;FPR;IPF;2011-11-18;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Bench Press Championships
