Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Blintsov;M;B;Raw;39;35-39;24-39;Pro Open;89.2;90;;;;;;190;200;-205;;200;;;;;;200;1;129.91;128.27;122.98;96.87;;Russia;;WRPF;WRPF;2019-06-29;Russia;MOW;Voskresensk;Russian Squad Tournament
Aleksey Blintsov;M;B;Raw;39;35-39;24-39;Pro Open;88.7;90;;;;;;195;-202.5;202.5;;202.5;;;;;;202.5;2;131.91;130.25;124.91;98.35;;Russia;;WRPF;WRPF;2019-05-18;Russia;MOW;Moscow;Konstantin Konstantinov Memorial Tournament
Aleksey Blintsov;M;B;Raw;37.5;35-39;24-39;Open;88.7;90;;;;;;190;195;200;;200;;;;;;200;1;130.28;128.64;123.37;97.14;;Russia;;WPA;;2018-10-27;Russia;MOW;Dolgoprudnyy;World Cup
Aleksey Blintsov;M;B;Raw;37.5;35-39;24-39;O;88.6;90;;;;;;185;-195;195;;195;;;;;;195;1;127.10;125.50;120.36;94.76;;Russia;;Vityaz;;2018-05-19;Russia;MOW;Moscow;World Championships
Aleksey Blintsov;M;B;Raw;37;35-39;24-39;Amateur Open;87.7;90;;;;;;175;180;-190;;180;;;;;;180;2;117.94;116.47;111.76;87.92;Yes;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Aleksey Blintsov;M;B;Raw;35.5;35-39;24-39;O;88.95;90;;;;;;195;205;-210;;205;;;;;;205;3;133.35;131.66;126.25;99.43;;Russia;;Vityaz;;2016-12-24;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksey Blintsov;M;B;Raw;35.5;35-39;24-39;O;89.5;90;;;;;;187.5;197.5;205;;205;;;;;;205;1;132.93;131.24;125.82;99.12;;Russia;;Vityaz;;2016-11-05;Russia;MOW;Moscow;Ivan Poddubniy International Tournament
Aleksey Blintsov;M;B;Raw;35.5;35-39;24-39;Submasters 33-39;89.6;90;;;;;;187.5;195;200;;200;;;;;;200;1;129.61;127.97;122.67;96.65;Yes;Russia;;WPA;;2016-10-29;Russia;MOW;Moscow;World Cup of Champions
Aleksey Blintsov;M;B;Raw;35.5;35-39;24-39;Pro Open;87.6;90;;;;;;185;192.5;197.5;;197.5;;;;;;197.5;1;129.49;127.88;122.70;96.53;;Russia;;WPC-RUS;WPC;2016-06-04;Russia;MOW;Moscow;Moscow Cup
Aleksey Blintsov;M;B;Raw;34.5;24-34;24-39;Open;82.2;82.5;;;;;;180;192.5;195;;195;;;;;;195;1;132.37;130.92;125.99;98.44;;Russia;;WPA-RUS;WPA;2015-12-19;Russia;MOW;Moscow;Russian Championships
