Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Bogdanov;M;B;Raw;40;40-44;40-49;Amateur Masters 40-49;119;125;;;;;;160;167.5;;;167.5;;;;;;167.5;1;96.47;96.49;92.45;70.92;Yes;Russia;;WRPF;WRPF;2022-06-05;Russia;SAM;Samara;Open Cup of the Commonwealth of Independent States
Aleksey Bogdanov;M;B;Raw;40;40-44;40-49;Amateur Masters 40-49;116.2;125;;;;;;150;157;-162.5;;157;;;;;;157;2;91.16;90.98;87.12;67.16;Yes;Russia;;WRPF;WRPF;2021-12-11;Russia;SAM;Samara;European Cup
Aleksey Bogdanov;M;B;Raw;39;35-39;40-49;Open;120.6;125;;;;;;152.5;157.5;162.5;;162.5;;;;;;162.5;2;93.17;93.32;89.42;68.41;Yes;Russia;;RPU;;2021-03-19;Russia;SAM;Samara;Eurasian Cup
Aleksey Bogdanov;M;B;Raw;39;35-39;24-39;Open;120.2;125;;;;;;157.5;-162.5;;;157.5;;;;;;157.5;3;90.40;90.52;86.74;66.40;Yes;Russia;;RPU;;2020-12-12;Russia;SAM;Samara;Iron Legion
Aleksey Bogdanov;M;B;Raw;38;35-39;24-39;Open;120.8;125;;;;;;160;-167.5;-167.5;;160;;;;;;160;2;91.69;91.85;88.01;67.31;Yes;Russia;;RPU;;2020-03-13;Russia;SAM;Samara;Eurasian Cup
Aleksey Bogdanov;M;B;Raw;33;24-34;24-39;Open;91.8;100;;;;;;110;115;-117.5;;115;;;;;;115;1;73.63;72.69;69.61;54.91;;Russia;;RPU;;2019-12-21;Russia;PRI;Artyom;Far East Championships
Aleksey Bogdanov;M;D;Raw;33;24-34;24-39;Open;91.8;100;;;;;;;;;;;85;90;95;;95;95;2;60.83;60.05;57.51;;;Russia;;RPU;;2019-12-21;Russia;PRI;Artyom;Far East Championships
Aleksey Bogdanov;M;B;Raw;38;35-39;24-39;Open;118.4;125;;;;;;152.5;160;165;;165;;;;;;165;1;95.19;95.16;91.17;70.01;Yes;Russia;;RPU;;2019-12-14;Russia;SAM;Samara;Explosive Force Tournament
Aleksey Bogdanov;M;BD;Raw;33;24-34;24-39;Open;79.2;82.5;;;;;;-87.5;87.5;90;;90;150;157.5;160;;160;250;2;173.42;171.77;165.58;;Yes;Russia;;RPU;;2019-11-02;Russia;VLG;Cherepovets;Vologda Championships
Aleksey Bogdanov;M;B;Raw;33;24-34;24-39;Open;79.2;82.5;;;;;;-87.5;87.5;90;;90;;;;;;90;3;62.43;61.84;59.61;46.31;Yes;Russia;;RPU;;2019-11-02;Russia;VLG;Cherepovets;Vologda Championships
Aleksey Bogdanov;M;D;Raw;33;24-34;24-39;Open;79.2;82.5;;;;;;;;;;;155;157.5;160;;160;160;2;110.99;109.93;105.97;;Yes;Russia;;RPU;;2019-11-02;Russia;VLG;Cherepovets;Vologda Championships
Aleksey Bogdanov;M;B;Raw;38;35-39;24-39;Amateur Open;116.8;125;;;;;;145;150;155;;155;;;;;;155;2;89.84;89.70;85.91;66.16;Yes;Russia;;NAP;IPA;2019-10-19;Russia;SAM;Samara;Samara Championships
Aleksey Bogdanov;M;B;Raw;38;35-39;24-39;Amateur Open;117.2;125;;;;;;145;152.5;-157.5;;152.5;;;;;;152.5;2;88.28;88.18;84.46;65.00;Yes;Russia;;WRPF;WRPF;2019-10-05;Russia;;Dimitrovgrad;Clash of Titans
Aleksey Bogdanov;M;B;Raw;38;35-39;24-39;Open;117.3;125;;;;;;145;152.5;-157.5;;152.5;;;;;;152.5;1;88.26;88.16;84.44;64.97;Yes;Russia;;IPL;IPL;2019-09-13;Russia;SAM;Samara;Eastern European Championships
Aleksey Bogdanov;M;B;Raw;37;35-39;24-39;Open;107.8;110;;;;;;142.5;-147.5;-147.5;;142.5;;;;;;142.5;1;85.05;84.40;80.62;63.04;Yes;Russia;;RPU;;2019-06-08;Russia;SAM;Kinel-Cherkassy;Iron Legion Tournament
Aleksey Bogdanov;M;B;Raw;37;35-39;24-39;Pro Open;108.9;110;;;;;;142.5;147.5;-152.5;;147.5;;;;;;147.5;1;87.69;87.07;83.20;64.95;;Russia;;NAP;IPA;2019-05-04;Russia;SAM;Samara;Samara Victory Cup
Aleksey Bogdanov;M;B;Raw;37;35-39;24-39;Open;109.2;110;;;;;;142.5;-150;-150;;142.5;;;;;;142.5;3;84.63;84.05;80.31;62.67;;Russia;;IPL;IPL;2019-03-15;Russia;SAM;Samara;Eurasian Cup
Aleksey Bogdanov;M;B;Raw;37;35-39;24-39;Pro Open;110;110;;;;;;140;147.5;152.5;;152.5;;;;;;152.5;1;90.32;89.75;85.77;66.85;;Russia;;WPC-RUS;WPC;2019-01-26;Russia;SAM;;Epiphany Press
Aleksey Bogdanov;M;B;Raw;37;35-39;24-39;Open;108.1;110;;;;;;-145;-150;-150;;;;;;;;;DQ;;;;;;Russia;;RPU;;2018-12-22;Russia;SAM;Samara;Explosive Power Tournament
Aleksey Bogdanov;M;D;Raw;28;24-34;24-39;Pro Open;79.9;82.5;;;;;;;;;;;210;215;-220;;215;215;1;148.36;146.90;141.55;;;Russia;;NAP;IPA;2017-08-12;Russia;SVE;Zarechnyy;Open Air Russian Barbell 4
Aleksey Bogdanov;M;B;Single-ply;18.5;18-19;19-23;Juniors;65.2;66;;;;;;150;160;167.5;;167.5;;;;;;167.5;1;132.44;132.85;129.17;73.61;Yes;Russia;;FPR;IPF;2017-02-03;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksey Bogdanov;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;64.5;66;;;;;;150;157.5;162.5;;162.5;;;;;;162.5;2;129.54;130.06;126.52;72.23;Yes;Russia;;IPF;IPF;2016-04-19;Denmark;;Rodby;World Bench Press Championships
Aleksey Bogdanov;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;65.05;66;;;;;;145;152.5;-162.5;;152.5;;;;;;152.5;1;120.79;121.19;117.84;67.18;Yes;Russia;;FPR;IPF;2016-02-10;Russia;TAM;Tambov;Russian Juniors & Sub-Juniors Bench Press Championships
Aleksey Bogdanov;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;64.9;66;;;;;;140;150;;;150;;;;;;150;1;119.02;119.43;116.15;66.24;Yes;Russia;;FPR;IPF;2016-02-05;Russia;CU;Novocheboksarsk;Volga Bench Press Championships
Aleksey Bogdanov;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;58.2;59;;;;;185;;;;;130;;;;;170;485;1;419.89;425.49;416.22;71.37;Yes;Russia;;FPR;IPF;2015-04-16;Russia;NIZ;Arzamas;Volga Juniors & Sub-Juniors Powerlifting Championships
Aleksey Bogdanov;M;B;Raw;22.5;20-23;19-23;Amateur Juniors 20-23;74.5;75;;;;;;115;117.5;-122.5;;117.5;;;;;;117.5;7;84.66;84.12;81.30;62.44;Yes;Russia;;WPC-RUS;WPC;2015-02-20;Russia;MOW;Moscow;Megapolis Tournament
