Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Boyko;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;98.8;100;;;;;;145;155;160;;160;;;;;;160;2;99.00;97.85;93.48;73.72;;Russia;;WPC-RUS;WPC;2018-12-22;Russia;ROS;Rostov-on-Don;Rostov Championships
Aleksey Boyko;M;SBD;Single-ply;23.5;24-34;24-39;Open;83;83;;;;;175;;;;;142.5;;;;;180;497.5;6;335.86;332.08;319.44;57.45;Yes;Russia;;FPR;IPF;2017-03-11;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Boyko;M;SBD;Single-ply;21.5;20-23;19-23;Open;81.95;83;;;;;182.5;;;;;130;;;;;190;502.5;5;341.69;337.99;325.31;58.46;Yes;Russia;;FPR;IPF;2015-05-17;Russia;IRK;Shelkhov;Irkutsk Oblast Powerlifting Cup
Aleksey Boyko;M;B;Single-ply;19.5;20-23;19-23;Juniors;87.25;93;;;;;;135;140;-145;;140;;;;;;140;4;91.98;90.84;87.18;48.17;Yes;Russia;;FPR;IPF;2015-05-09;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksey Boyko;M;B;Single-ply;19.5;20-23;19-23;Open;87.25;93;;;;;;135;140;-145;;140;;;;;;140;4;91.98;90.84;87.18;48.17;Yes;Russia;;FPR;IPF;2015-05-09;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksey Boyko;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;87.35;93;;;;;195;;;;;142.5;;;;;200;537.5;2;352.93;348.55;334.50;60.29;Yes;Russia;;FPR;IPF;2015-04-18;Russia;IRK;Baikalsk;Irkutsk Oblast Juniors & Sub-Juniors Powerlifting Cup
Aleksey Boyko;M;SBD;Single-ply;21.5;20-23;19-23;Open;88.55;93;;;;;192.5;;;;;135;;;;;190;517.5;5;337.40;333.15;319.52;57.61;Yes;Russia;;FPR;IPF;2015-03-21;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Boyko;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;88.55;93;;;;;192.5;;;;;135;;;;;190;517.5;3;337.40;333.15;319.52;57.61;Yes;Russia;;FPR;IPF;2015-03-21;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Boyko;M;B;Single-ply;20.5;20-23;19-23;Open;83;83;;;;;;120;127.5;137.5;;137.5;;;;;;137.5;8;92.82;91.78;88.29;48.94;Yes;Russia;;FPR;IPF;2014-12-06;Russia;IRK;Irkutsk;Irkutsk Oblast Bench Press Championships
Aleksey Boyko;M;SBD;Raw;43;40-44;40-49;M_MR_1_AWPC;66.9;67.5;125;130;-137.5;;130;117.5;122.5;-125;;122.5;150;160;162.5;;162.5;415;1;321.94;322.28;312.96;64.23;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksey Boyko;M;SBD;Raw;43;40-44;40-49;Amateur Masters 40-44;71.7;75;130;135;;;135;117.5;122.5;-127.5;;122.5;150;160;-162.5;;160;417.5;1;308.50;307.27;297.47;62.31;Yes;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Aleksey Boyko;M;SBD;Single-ply;20.5;20-23;19-23;Open;81.8;83;;;;;175;;;;;130;;;;;195;500;3;340.34;336.68;324.08;58.23;Yes;Russia;;FPR;IPF;2014-03-22;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Aleksey Boyko;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;81.8;83;;;;;175;;;;;130;;;;;195;500;1;340.34;336.68;324.08;58.23;Yes;Russia;;FPR;IPF;2014-03-22;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Aleksey Boyko;M;D;Raw;42;40-44;40-49;Amateur Masters 40-44;70.5;75;;;;;;;;;;;135;142.5;147.5;;147.5;147.5;1;110.25;109.94;106.51;;Yes;Russia;;WPC;WPC;2013-12-10;Russia;KRS;Kursk;Amateur European Championships
Aleksey Boyko;M;SBD;Raw;42;40-44;40-49;Amateur Masters 40-44;71.3;75;105;115;120;;120;105;112.5;-117.5;;112.5;135;145;147.5;;147.5;380;1;281.86;280.84;271.94;56.88;Yes;Russia;;WPC;WPC;2013-12-10;Russia;KRS;Kursk;Amateur European Championships
Aleksey Boyko;M;SBD;Raw;41.5;40-44;40-49;Amateur Masters 40-44;72.1;75;-87.5;95;105;;105;100;110;115;;115;100;115;130;;130;350;1;257.66;256.54;248.29;52.08;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
Aleksey Boyko;M;B;Raw;41.5;40-44;40-49;Amateur Masters 40-44;71.8;75;;;;;;105;115;-117.5;;115;;;;;;115;3;84.90;84.55;81.85;62.32;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
Aleksey Boyko;M;B;Raw;41.5;40-44;40-49;Amateur Masters 40-44;71.5;75;;;;;;-110;110;120;;120;;;;;;120;2;88.84;88.50;85.69;65.18;Yes;Russia;;WPC;WPC;2013-08-09;Russia;KRS;Kursk;European Cup
Aleksey Boyko;M;B;Raw;42;40-44;40-49;Amateur Masters 40-44;66.7;67.5;;;;;;100;-110;-110;;100;;;;;;100;3;77.75;77.85;75.61;56.40;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksey Boyko;M;SBD;Single-ply;18.5;18-19;19-23;Open;82.75;83;245;-255;-255;;245;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2013-04-17;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Boyko;M;SBD;Single-ply;17.5;18-19;14-18;Open;81.35;83;192.5;205;-220;;205;140;147.5;155;;155;190;207.5;215;;215;575;9;392.64;388.49;374.04;67.19;Yes;Russia;;FPR;IPF;2012-11-15;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Powerlifting & Bench Press Championships
Aleksey Boyko;M;B;Single-ply;17.5;18-19;14-18;Open;81.35;83;;;;;;140;147.5;155;;155;;;;;;155;6;105.84;104.72;100.83;55.98;Yes;Russia;;FPR;IPF;2012-11-15;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Powerlifting & Bench Press Championships
Aleksey Boyko;M;SBD;Single-ply;17.5;18-19;14-18;Open;79.3;83;150;152.5;170;;170;110;115;125;;125;150;160;175;;175;470;18;325.78;322.66;311.02;55.77;Yes;Russia;;FPR;IPF;2012-04-18;Russia;KYA;Krasnoyarsk;Centre of Asia
