Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Bulanov;M;B;Raw;30;24-34;24-39;Open;109.1;110;;;;;;185;195;-197.5;;195;;;;;;195;1;115.85;115.05;109.93;85.80;Yes;Russia;;IPL;IPL;2022-05-14;Russia;MOW;Dolgoprudny;European Championships & Olympia Qualifier
Aleksey Bulanov;M;B;Raw;29;24-34;24-39;Amateur Open;99.4;100;;;;;;172.5;-180;-185;;172.5;;;;;;172.5;4;106.45;105.24;100.52;79.25;Yes;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Bulanov;M;B;Raw;29;24-34;24-39;Open;104.3;110;;;;;;167.5;175;180;;180;;;;;;180;1;108.85;107.81;102.95;80.85;Yes;Russia;;RPU;;2021-10-09;Russia;ULY;Dimitrovgrad;Battle of the Titans
Aleksey Bulanov;M;B;Raw;29;24-34;24-39;Amateur Open;106.4;110;;;;;;160;167.5;172.5;;172.5;;;;;;172.5;1;103.49;102.61;98.00;76.77;Yes;Russia;;WRPF;WRPF;2021-07-17;Russia;VGG;Volzhsky;High Voltage V
Aleksey Bulanov;M;B;Raw;29;24-34;24-39;Open;104.1;110;;;;;;155;160;165;;165;;;;;;165;5;99.86;98.90;94.43;74.18;Yes;Russia;;IPL;IPL;2021-04-16;Russia;MOW;Dolgoprudny;Drug Tested European Championships
Aleksey Bulanov;M;D;Raw;27;24-34;24-39;Amateur Open;99.8;100;;;;;;;;;;;-220;-235;-235;;;;DQ;;;;;Yes;Russia;;WRPF;WRPF;2019-04-26;Russia;;Saratov;Hardened Steel Tournament
Aleksey Bulanov;M;B;Raw;27;24-34;24-39;Amateur Open;99.8;100;;;;;;145;155;;;155;;;;;;155;3;95.49;94.41;90.17;71.08;Yes;Russia;;WRPF;WRPF;2019-04-26;Russia;;Saratov;Hardened Steel Tournament
Aleksey Bulanov;M;B;Raw;26;24-34;24-39;Amateur Open;98.5;100;;;;;;140;147.5;152.5;;152.5;;;;;;152.5;2;94.49;93.38;89.22;70.37;Yes;Russia;;WPF-RUS;WPF;2018-11-03;Russia;SAR;Saratov;Volga Power 6
Aleksey Bulanov;M;D;Raw;26;24-34;24-39;Amateur Open;98.5;100;;;;;;;;;;;230;242.5;250;;250;250;1;154.90;153.09;146.26;;Yes;Russia;;WPF-RUS;WPF;2018-11-03;Russia;SAR;Saratov;Volga Power 6
Aleksey Bulanov;M;D;Raw;25;24-34;24-39;Amateur Open;98.5;100;;;;;;;;;;;225;235;-250;;235;235;1;145.61;143.90;137.48;;Yes;Russia;;WPF-RUS;WPF;2018-03-31;Russia;SAR;Saratov;Russian Cup
Aleksey Bulanov;M;D;Raw;25;24-34;24-39;Pro Open;94.3;100;;;;;;;;;;;-215;215;225;;225;225;1;142.21;140.43;134.34;;;Russia;;WPF-RUS;WPF;2017-12-08;Russia;SAR;Saratov;Volga Power 5
Aleksey Bulanov;M;B;Raw;25;24-34;24-39;Amateur Open;89;90;;;;;;132.5;137.5;-142.5;;137.5;;;;;;137.5;5;89.41;88.29;84.65;66.67;Yes;Russia;;WPC-RUS;WPC;2017-11-25;Russia;SAR;Saratov;Silver Bar Tournament
Aleksey Bulanov;M;B;Raw;21;20-23;19-23;Amateur Juniors 20-23;89.05;90;;;;;;130;-135;-135;;130;;;;;;130;3;84.51;83.45;80.01;63.02;Yes;Russia;;NAP;IPA;2014-03-28;Russia;SAR;Saratov;Russian Championships
Aleksey Bulanov;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;88;90;;;;;;122.5;127.5;-132.5;;127.5;;;;;;127.5;2;83.39;82.35;79.01;62.17;;Russia;;NAP;IPA;2013-11-16;Russia;SAR;Engels;Volga Power
