Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Drachuk;M;SBD;Single-ply;34.5;24-34;24-39;Open;102.7;105;;;;;322.5;;;;;262.5;;;;;267.5;852.5;3;518.83;513.51;490.33;88.03;Yes;Russia;;FPR;IPF;2021-10-17;Russia;MUR;Murmansk;Russian Powerlifting Cup
Aleksey Drachuk;M;B;Single-ply;34.5;24-34;24-39;Open;100.95;105;;;;;;262.5;272.5;-283;;272.5;;;;;;272.5;1;167.05;165.22;157.79;86.23;Yes;Russia;;FPR;IPF;2021-05-08;Russia;MUR;Murmansk;Murmansk Oblast Bench Press Championships
Aleksey Drachuk;M;SBD;Single-ply;34.5;24-34;24-39;Open;98.8;105;;;;;315;;;;;270;;;;;272.5;857.5;2;530.60;524.43;501.00;90.20;Yes;Russia;;FPR;IPF;2021-04-09;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksey Drachuk;M;SBD;Raw;33.5;24-34;24-39;Open;105;105;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2020-03-18;Russia;ARK;Arkhangelsk;Russian Classic Powerlifting Championships
Aleksey Drachuk;M;SBD;Raw;32.5;24-34;24-39;Open;102.5;105;;;;;210;;;;;180;;;;;220;610;2;371.54;367.71;351.11;76.17;Yes;Russia;;FPR;IPF;2019-12-15;Russia;MUR;Apatity;Apatity Classic Powerlifting Champioships
Aleksey Drachuk;M;B;Single-ply;32.5;24-34;24-39;Open;97.9;105;;;;;;250;260;-267.5;;260;;;;;;260;1;161.53;159.62;152.52;83.58;Yes;Russia;;FPR;IPF;2019-05-05;Russia;MUR;Murmansk;Murmansk Oblast Bench Press Championships
Aleksey Drachuk;M;SBD;Single-ply;32.5;24-34;24-39;Open;94.6;105;;;;;315;;;;;257.5;;;;;250;822.5;2;519.09;512.60;490.30;88.42;Yes;Russia;;FPR;IPF;2019-04-26;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksey Drachuk;M;SBD;Single-ply;32.5;24-34;24-39;Open;92.06;93;;;;;312.5;;;;;252.5;;;;;252.5;817.5;6;522.70;516.05;494.12;89.13;Yes;Russia;;FPR;IPF;2019-01-29;Russia;MOW;Moscow;Russian Powerlifting Championships
Aleksey Drachuk;M;SBD;Single-ply;31.5;24-34;24-39;Open;92.4;93;;;;;310;;;;;250;;;;;250;810;1;516.98;510.41;488.64;88.14;Yes;Russia;;FPR;IPF;2018-12-23;Russia;MUR;Murmansk;Northwestern District Powerlifting Championships
Aleksey Drachuk;M;SBD;Single-ply;27.5;24-34;24-39;Open;92.2;93;;;;;317.5;;;;;262.5;;;;;252.5;832.5;4;531.90;525.14;502.78;90.69;Yes;Russia;;FPR;IPF;2018-05-19;Russia;LEN;St. Petersburg;White Nights
