Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Drozdov;M;D;Raw;39;35-39;24-39;Amateur Open;57.5;60;;;;;;;;;;;57.5;65;72.5;;72.5;72.5;1;63.42;64.34;62.98;;;Russia;;NAP;IPA;2021-04-03;Russia;KYA;Krasnoyarsk;Siberian Power Show
Aleksey Drozdov;M;D;Raw;37;35-39;24-39;Amateur Open;56;56;;;;;;;;;;;50;-55;55;;55;55;1;49.23;50.07;49.09;;Yes;Russia;;NAP;IPA;2019-12-15;Russia;KYA;Krasnoyarsk;Krasnoyarsk Championships
Aleksey Drozdov;M;D;Raw;36;35-39;24-39;Open;55.6;56;;;;;;;;;;;50;57.5;60;;60;60;1;54.04;55.01;53.95;;Yes;Russia;;RPU;;2019-08-24;Russia;KYA;Krasnoyarsk;Region 24 Tournament
Aleksey Drozdov;M;B;Raw;28;24-34;24-39;Pro Open;89.8;90;;;;;;232.5;242.5;-245;-245;242.5;;;;;;242.5;1;156.98;154.99;148.55;117.06;;Russia;;WRPF;WRPF;2017-06-02;Russia;MOW;Moscow;European Championships
Aleksey Drozdov;M;B;Raw;28;24-34;24-39;Open;89.3;90;;;;;;230;-237.5;237.5;;237.5;;;;;;237.5;1;154.18;152.23;145.94;114.96;;Russia;;WRPF;WRPF;2017-03-25;Russia;MOW;Moscow;Russian Championship
Aleksey Drozdov;M;B;Raw;27.5;24-34;24-39;Open;93;93;;;;;;237.5;240;-242.5;;240;;;;;;240;1;152.70;150.77;144.30;113.87;Yes;Russia;;FPR;IPF;2016-10-17;Russia;ARK;Arkhangelsk;Russian Сlassic Bench Press Championships
Aleksey Drozdov;M;B;Raw;27.5;24-34;24-39;Open;91.45;93;;;;;;227.5;237.5;-242.5;;237.5;;;;;;237.5;2;152.35;150.41;144.06;113.61;Yes;Russia;;FPR;IPF;2016-09-17;Russia;NVS;Novosibirsk;Battle of Titans Bench Press Championship
Aleksey Drozdov;M;SBD;Wraps;26.5;24-34;24-39;Pro Open;76.6;82.5;-150;150;-160;;150;100;-107.5;-112.5;;100;150;160;-170;;160;410;2;290.25;287.95;277.98;59.13;;Russia;;WPC-RUS;WPC;2016-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksey Drozdov;M;B;Raw;26.5;24-34;24-39;Open;93;93;;;;;;220;230;237.5;;237.5;;;;;;237.5;1;151.11;149.20;142.80;112.68;Yes;Russia;;FPR;IPF;2015-11-23;Russia;SVE;Nizhny Tagil;Russian Classic Bench Press Cup
Aleksey Drozdov;M;B;Raw;26.5;24-34;24-39;Open;91.6;93;;;;;;210;225;230;;230;;;;;;230;1;147.42;145.54;139.39;109.94;Yes;Russia;;FPR;IPF;2015-10-09;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksey Drozdov;M;B;Raw;26.5;24-34;24-39;Open;92.8;93;;;;;;210;220;227.5;;227.5;;;;;;227.5;1;144.90;143.06;136.93;108.05;Yes;Russia;;FPR;IPF;2015-09-26;Russia;NGR;Valday;Valday Classic Bench Press Championships
Aleksey Drozdov;M;B;Raw;25.5;24-34;24-39;Open;92.5;93;;;;;;210;215;223;;223;;;;;;223;1;142.25;140.45;134.45;106.08;Yes;Russia;;FPR;IPF;2014-11-27;Russia;BA;Ufa;Russian Classic Bench Press Cup
Aleksey Drozdov;M;B;Raw;25.5;24-34;24-39;Open;90.05;93;;;;;;210;215;-218.5;;215;;;;;;215;1;138.98;137.22;131.50;103.64;Yes;Russia;;FPR;IPF;2014-10-10;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
