Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Dudunov;M;B;Raw;26.5;24-34;24-39;Open;91.45;93;;;;;;-215;-215;-215;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-09-17;Russia;NVS;Novosibirsk;Battle of Titans Bench Press Championship
Aleksey Dudunov;M;B;Raw;26.5;24-34;24-39;Open;90.2;;;;;;;180;190;200;;200;;;;;;200;2;129.18;127.54;122.22;96.33;Yes;Russia;;FPR;IPF;2016-06-26;Russia;NVS;Novosibirsk;Alexander Nevsky Bench Press Tournament
Aleksey Dudunov;M;B;Raw;26.5;24-34;24-39;Open;90.95;93;;;;;;195;200;-207.5;;200;;;;;;200;1;128.64;127.01;121.67;95.94;Yes;Russia;;FPR;IPF;2016-06-04;Russia;NVS;Novosibirsk;Novosibirsk Classic Powerlifting & Bench Press Championships
Aleksey Dudunov;M;B;Single-ply;26.5;24-34;24-39;Open;92.85;93;;;;;;260;275;287.5;;287.5;;;;;;287.5;1;183.06;180.74;173.00;95.18;Yes;Russia;;FPR;IPF;2016-04-30;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting and Bench Press Championships
Aleksey Dudunov;M;B;Single-ply;25.5;24-34;24-39;Open;93;93;;;;;;250;263;270;;270;;;;;;270;1;171.79;169.61;162.34;89.31;Yes;Russia;;FPR;IPF;2015-12-20;Russia;NVS;Novosibirsk;Novosibirsk New Year's Bench Press Tournament
Aleksey Dudunov;M;B;Raw;25.5;24-34;24-39;Open;93;93;;;;;;190;195;;;195;;;;;;195;1;124.07;122.50;117.24;92.52;Yes;Russia;;FPR;IPF;2015-12-20;Russia;NVS;Novosibirsk;Novosibirsk New Year's Bench Press Tournament
Aleksey Dudunov;M;B;Single-ply;25.5;24-34;24-39;Open;92.55;93;;;;;;240;255;262.5;;262.5;;;;;;262.5;1;167.41;165.28;158.22;87.07;Yes;Russia;;FPR;IPF;2015-10-24;Russia;NVS;Novosibirsk;Novosibirsk Powerlifting & Bench Press Cup
Aleksey Dudunov;M;B;Raw;25.5;24-34;24-39;Open;96;105;;;;;;200;210;-215;;210;;;;;;210;6;131.63;130.02;124.30;98.10;Yes;Russia;;FPR;IPF;2015-09-13;Russia;NVS;Novosibirsk;Novosibirsk Absolute Classic Bench Press Championships
Aleksey Dudunov;M;B;Raw;25.5;24-34;24-39;Open;91.85;93;;;;;;190;-202.5;-202.5;;190;;;;;;190;5;121.62;120.07;114.98;90.70;Yes;Russia;;FPR;IPF;2015-05-30;Russia;NVS;Novosibirsk;Novosibirsk Classic Powerlifting & Bench Press Championship
Aleksey Dudunov;M;B;Single-ply;25.5;24-34;24-39;Open;90.3;93;;;;;;;;;;240;;;;;;240;2;154.92;152.96;146.57;80.79;Yes;Russia;;FPR;IPF;2015-04-25;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting & Bench Press Championships
Aleksey Dudunov;M;B;Raw;24.5;24-34;24-39;Open;90;93;;;;;;172.5;182.5;-190;;182.5;;;;;;182.5;3;118.00;116.51;111.66;88.00;Yes;Russia;;FPR;IPF;2014-12-27;Russia;NVS;Novosibirsk;Novosibirsk New Years Raw Bench Press Tournament
Aleksey Dudunov;M;SBD;Single-ply;21.5;20-23;19-23;Open;83;83;;;;;300;;;;;222.5;;;;;255;777.5;1;524.88;518.98;499.22;89.78;Yes;Russia;;FPR;IPF;2011-04-30;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
Aleksey Dudunov;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;82.9;83;;;;;335;;;;;215;;;;;260;810;4;547.19;541.06;520.49;93.60;Yes;Russia;;FPR;IPF;2011-03-20;Russia;KEM;Anzhero-Sudzhensk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksey Dudunov;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;82.45;82.5;;;;;330;;;;;215;;;;;260;805;3;545.49;539.47;519.09;93.32;Yes;Russia;;FPR;IPF;2010-03-21;Russia;NVS;Berdsk;Russian Juniors Powerlifting Championships
Aleksey Dudunov;M;SBD;Single-ply;19.5;20-23;19-23;Open;82.3;82.5;;;;;330;;;;;202.5;;;;;250;782.5;6;530.79;524.97;505.18;90.81;Yes;Russia;;FPR;IPF;2009-08-18;Russia;ORL;Oryol;Russian Powerlifting Cup
Aleksey Dudunov;M;SBD;Single-ply;19.5;20-23;19-23;Open;82.2;82.5;290;310;-330;;310;200;210;217.5;;217.5;250;272.5;-282.5;;272.5;800;2;543.04;537.10;516.88;92.91;Yes;Russia;;FPR;IPF;2009-06-05;Russia;KGD;Guryevsk;Siberian Cup
Aleksey Dudunov;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;74.75;75;;;;;310;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2008-04-23;Russia;NVS;Berdsk;Russian Juniors Powerlifting Championships
Aleksey Dudunov;M;SBD;Single-ply;17.5;18-19;14-18;Open;74.7;75;;;;;300;;;;;180;;;;;250;730;1;525.06;521.63;504.10;89.92;Yes;Russia;;FPR;IPF;2007-12-14;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Dudunov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;74.45;75;;;;;290;;;;;165;;;;;225;680;2;490.16;487.04;470.75;83.94;Yes;Russia;;FPR;IPF;2007-07-11;Russia;KHM;Khanty-Mansiysk;Russian Sub-Juniors Powerlifting Championships
Aleksey Dudunov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;74.4;75;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2007-05-01;Russia;NVS;Novosibirsk;Siberian Sub-Juniors Powerlifting Championships
