Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Ermakov;M;B;Raw;48;45-49;40-49;Pro Masters 40-49;136.5;140;;;;;;170;180;185;;185;;;;;;185;2;102.11;103.78;98.82;74.03;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Ermakov;M;SBD;Wraps;48;45-49;40-49;Pro Masters 40-49;136.5;140;250;265;-275;;265;170;180;185;;185;225;250;275;;275;725;1;400.18;406.71;387.27;79.84;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Ermakov;M;D;Raw;48;45-49;40-49;Pro Masters 40-49;136.5;140;;;;;;;;;;;225;250;275;;275;275;2;151.79;154.27;146.90;;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Ermakov;M;B;Unlimited;48;45-49;40-49;Pro Masters 40-49;136.5;140;;;;;;-250;250;275;;275;;;;;;275;2;151.79;154.27;146.90;77.81;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Ermakov;M;SBD;Wraps;46;45-49;40-49;M_MCR_2_WPC;136.4;140;230;260;280;;280;180;192.5;-202.5;;192.5;230;260;275;;275;747.5;1;412.68;419.38;399.35;82.34;;Russia;;WPC;WPC;2019-11-07;Finland;;Lahti;World Championships
Aleksey Ermakov;M;B;Unlimited;45;45-49;40-49;Pro Open;139.1;140;;;;;;260;280;300;;300;;;;;;300;1;164.70;167.80;159.58;84.48;;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksey Ermakov;M;B;Unlimited;45;45-49;40-49;Pro Masters 45-49;139.1;140;;;;;;260;280;300;;300;;;;;;300;1;164.70;167.80;159.58;84.48;;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksey Ermakov;M;SBD;Unlimited;45;45-49;40-49;Pro Open;139.1;140;260;280;300;;300;260;280;300;;300;200;225;250;;250;850;1;466.66;475.45;452.13;78.05;;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksey Ermakov;M;SBD;Unlimited;45;45-49;40-49;Pro Masters 45-49;139.1;140;260;280;300;;300;260;280;300;;300;200;225;250;;250;850;1;466.66;475.45;452.13;78.05;;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksey Ermakov;M;D;Raw;23.5;24-34;24-39;Open;97.2;100;;;;;;;;;;;270;280;290;;290;290;1;180.75;178.58;170.67;;;Russia;;WPA;;2018-10-27;Russia;MOW;Dolgoprudnyy;World Cup
