Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Fedyaev;M;B;Raw;;;;Open;119.2;125;;;;;;190;-205;205;;205;;;;;;205;5;118.00;118.04;113.11;86.73;;;;WRPF;WRPF;2022-05-14;Kazakhstan;;Almaty;Asian Championships
Aleksey Fedyaev;M;SBD;Wraps;;;;Masters 40-49;119.3;125;290;-305;315;;315;180;205;-215;;205;230;240;250;;250;770;1;443.08;443.30;424.77;89.74;;;;WRPF-KAZ;WRPF;2019-11-23;Kazakhstan;;Almaty;Kazakhstan Championships
Aleksey Fedyaev;M;B;Raw;;40-44;40-49;M1;114.6;125;;;;;;190;200;220;;220;;;;;;220;1;128.36;127.95;122.46;94.69;;;;WPC-KAZ;WPC;2019-05-04;Kazakhstan;;;Kazakhstan Championships
Aleksey Fedyaev;M;B;Raw;;;;Masters 40-49;117.9;125;;;;;;205;215;-225;;215;;;;;;215;2;124.21;124.13;118.91;91.40;;;;WRPF;WRPF;2018-05-06;Kazakhstan;;Almaty;Asian Championships
Aleksey Fedyaev;M;B;Raw;;;;Masters 40-49;117.9;125;;;;;;190;200;210;;210;;;;;;210;3;121.32;121.24;116.15;89.27;;;;WRPF;WRPF;2018-05-06;Kazakhstan;;Almaty;Asian Championships
Aleksey Fedyaev;M;SBD;Wraps;;;;Masters 40-49;117.9;125;270;280;290;;290;190;200;210;;210;-220;220;230;;230;730;1;421.74;421.47;403.76;85.52;;;;WRPF;WRPF;2018-05-06;Kazakhstan;;Almaty;Asian Championships
Aleksey Fedyaev;M;B;Single-ply;40;40-44;40-49;Open;112;125;;;;;;275;-280;-280;;275;;;;;;275;2;161.79;160.97;153.94;83.03;;;;IPL;IPL;2017-04-20;Russia;MOW;Dolgoprudny;European Championships
Aleksey Fedyaev;M;B;Single-ply;40;40-44;40-49;Masters 40-44;112;125;;;;;;275;-280;-280;;275;;;;;;275;1;161.79;160.97;153.94;83.03;;;;IPL;IPL;2017-04-20;Russia;MOW;Dolgoprudny;European Championships
Aleksey Fedyaev;M;B;Multi-ply;38;35-39;24-39;Pro Open;106.45;110;;;;;;-250;250;-260;;250;;;;;;250;3;149.95;148.68;142.00;77.14;;Kazakhstan;;NAP;IPA;2014-10-17;Russia;SVE;Yekaterinburg;World Championships & Golden Tiger 8
Aleksey Fedyaev;M;B;Raw;28.5;24-34;24-39;Amateur Open;105.6;110;;;;;;-167.5;-167.5;-167.5;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksey Fedyaev;M;B;Raw;27.5;24-34;24-39;Amateur Open;104.5;110;;;;;;-160;160;-167.5;;160;;;;;;160;2;96.68;95.77;91.45;71.80;Yes;Russia;;WPC-RUS;WPC;2013-10-03;Russia;KLU;Kaluga;Adrenaline
