Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Figol;M;B;Single-ply;46;45-49;40-49;Pro Open;98.6;100;;;;;;177.5;182.5;-190;;182.5;;;;;;182.5;1;113.03;111.71;106.72;58.45;;Russia;;WPC-RUS;WPC;2019-02-16;Russia;MOS;Moscow;Moscow Cup
Aleksey Figol;M;B;Single-ply;45;45-49;40-49;Amateur Masters 45-49;99.7;100;;;;;;-180;-180;180;;180;;;;;;180;1;110.94;109.68;104.76;57.32;Yes;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksey Figol;M;B;Single-ply;45;45-49;40-49;Amateur Open;99.7;100;;;;;;-180;-180;180;;180;;;;;;180;1;110.94;109.68;104.76;57.32;Yes;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksey Figol;M;B;Raw;45;45-49;40-49;Open;97.3;100;;;;;;-180;180;185;;185;;;;;;185;1;115.26;113.87;108.82;85.87;Yes;Russia;;RPU;;2018-04-14;Russia;MOW;Moscow;Central Federal District Tournament
Aleksey Figol;M;B;Single-ply;44;40-44;40-49;Pro Open;96.55;100;;;;;;180;-182.5;182.5;;182.5;;;;;;182.5;1;114.10;112.71;107.73;59.11;;Russia;;NAP;IPA;2017-03-03;Russia;BEL;Belgorod;Russian Powerlifting Championships
Aleksey Figol;M;B;Single-ply;44;40-44;40-49;Pro Masters 40-44;96.55;100;;;;;;180;-182.5;182.5;;182.5;;;;;;182.5;1;114.10;112.71;107.73;59.11;;Russia;;NAP;IPA;2017-03-03;Russia;BEL;Belgorod;Russian Powerlifting Championships
Aleksey Figol;M;B;Multi-ply;43;40-44;40-49;Amateur Masters 40-44;95.8;100;;;;;;180;-185;-185;;180;;;;;;180;2;112.94;111.55;106.65;58.55;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksey Figol;M;B;Single-ply;43;40-44;40-49;Amateur Masters 40-44;96.6;100;;;;;;172.5;-180;-180;;172.5;;;;;;172.5;1;107.82;106.51;101.81;55.85;Yes;Russia;;WPC-RUS;WPC;2016-02-27;Russia;MOW;Moscow;Megapolis Tournament
Aleksey Figol;M;B;Raw;42;40-44;40-49;Amateur Masters 40-44;97.6;100;;;;;;140;145;-147.5;;145;;;;;;145;2;90.21;89.13;85.18;67.20;Yes;Russia;;WPC-RUS;WPC;2015-04-15;Russia;ROS;Rostov-on-Don;Russian Championships
Aleksey Figol;M;B;Raw;41;40-44;40-49;Amateur Masters 40-44;95.7;100;;;;;;135;142.5;-145;;142.5;;;;;;142.5;2;89.45;88.35;84.47;66.67;Yes;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Aleksey Figol;M;B;Raw;41;40-44;40-49;M1;100;100;;;;;;-140;140;142.5;;142.5;;;;;;142.5;1;87.71;86.72;82.83;65.28;Yes;Russia;;Vityaz;;2014-04-05;Russia;MOW;Moscow;CFO Championships
Aleksey Figol;M;B;Raw;41;40-44;40-49;Amateur Masters 40-44;94.9;100;;;;;;135;142.5;-145;;142.5;;;;;;142.5;3;89.80;88.68;84.81;66.94;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksey Figol;M;B;Raw;40;40-44;40-49;Amateur Masters 40-44;95.4;100;;;;;;130;140;-142.5;;140;;;;;;140;2;88.01;86.92;83.12;65.60;Yes;Russia;;WPC;WPC;2013-12-10;Russia;KRS;Kursk;Amateur European Championships
Aleksey Figol;M;B;Raw;40;40-44;40-49;Amateur Masters 40-44;95;100;;;;;;125;132.5;-140;;132.5;;;;;;132.5;3;83.46;82.42;78.82;62.21;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
