Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Fisenko;M;B;Raw;26.5;24-34;24-39;Open;72.05;74;;;;;;145;150;155;;155;;;;;;155;4;114.16;113.67;110.02;83.85;Yes;Russia;;FPR;IPF;2016-03-04;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksey Fisenko;M;B;Raw;24.5;24-34;24-39;Open;72.05;74;;;;;;140;147.5;-150;;147.5;;;;;;147.5;6;108.64;108.17;104.69;79.79;Yes;Russia;;FPR;IPF;2014-10-10;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Fisenko;M;B;Single-ply;24.5;24-34;24-39;Open;73.4;74;;;;;;170;-175;-175;;170;;;;;;170;4;123.68;123.00;118.95;66.67;Yes;Russia;;FPR;IPF;2014-04-25;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Fisenko;M;B;Raw;24.5;24-34;24-39;Open;73.8;74;;;;;;-140;140;145;;145;;;;;;145;2;105.11;104.50;101.04;77.44;Yes;Russia;;FPR;IPF;2014-04-19;Russia;LEN;St. Petersburg;Leningrad Oblast Classic Bench Press Championships
Aleksey Fisenko;M;B;Raw;24.5;24-34;24-39;Open;72.7;74;;;;;;140;-145;147.5;;147.5;;;;;;147.5;1;107.99;107.46;103.97;79.41;Yes;Russia;;FPR;IPF;2014-02-11;Russia;LEN;St. Petersburg;St. Petersburg Paralympic Bench Press Championships & Moskovsky Cup
Aleksey Fisenko;M;B;Raw;23.5;24-34;24-39;Open;72.95;74;;;;;;145;152.5;-157.5;;152.5;;;;;;152.5;1;111.39;110.82;107.21;81.95;Yes;Russia;;FPR;IPF;2013-10-11;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Tournament
Aleksey Fisenko;M;B;Single-ply;23.5;24-34;24-39;Open;71.6;74;;;;;;160;165;-170;;165;;;;;;165;4;122.04;121.56;117.69;66.15;Yes;Russia;;FPR;IPF;2013-04-26;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Fisenko;M;B;Raw;23.5;24-34;24-39;Open;73.1;74;;;;;;147.5;-152.5;-152.5;;147.5;;;;;;147.5;2;107.60;107.03;103.53;79.18;Yes;Russia;;FPR;IPF;2013-03-01;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksey Fisenko;M;B;Raw;22.5;20-23;19-23;Juniors;72.9;74;;;;;;145;150;-155;;150;;;;;;150;2;109.62;109.06;105.51;80.63;Yes;Russia;;FPR;IPF;2012-10-12;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Tournament
Aleksey Fisenko;M;B;Raw;22.5;20-23;19-23;Juniors;72.35;74;;;;;;140;147.5;152.5;;152.5;;;;;;152.5;1;112.01;111.49;107.89;82.31;Yes;Russia;;FPR;IPF;2012-03-02;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksey Fisenko;M;B;Single-ply;18.5;18-19;19-23;Juniors;64.95;67.5;;;;;;130;-140;-140;;130;;;;;;130;3;103.09;103.44;100.59;57.36;Yes;Russia;;FPR;IPF;2008-12-19;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksey Fisenko;M;SBD;Single-ply;16.5;16-17;14-18;Teen 17-18;67.5;67.5;;;;;;;;;;;;;;;;;NS;;;;;Yes;Russia;;FPR;IPF;2007-11-23;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Powerlifting Championships
