Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Grachev #1;M;SBD;Raw;44.5;40-44;40-49;Open;86.9;93;;;;;160;;;;;142.5;;;;;190;492.5;6;324.26;320.27;307.43;66.62;Yes;Russia;;FPR;IPF;2021-12-24;Russia;NIZ;Gorodets;Champions League
Aleksey Grachev #1;M;SBD;Raw;44.5;40-44;40-49;Open;87.05;93;;;;;170;;;;;142.5;;;;;185;497.5;5;327.26;323.22;310.23;67.24;Yes;Russia;;FPR;IPF;2021-11-05;Russia;NIZ;Gorodets;Nizhny Novgorod Govenor's Cup
Aleksey Grachev #1;M;SBD;Raw;44.5;40-44;40-49;Open;89.15;93;;;;;172.5;;;;;140;;;;;180;492.5;9;319.99;315.94;302.93;65.78;Yes;Russia;;FPR;IPF;2021-05-14;Russia;NIZ;Gorodets;Battle of the Volga
Aleksey Grachev #1;M;B;Raw;44.5;40-44;40-49;Masters 1;87.8;93;;;;;;135;142.5;147.5;;147.5;;;;;;147.5;2;96.59;95.39;91.52;72.01;Yes;Russia;;FPR;IPF;2021-04-16;Russia;NIZ;Nizhny Novgorod;President of the SFNOP Bench Press Cup
Aleksey Grachev #1;M;B;Single-ply;43.5;40-44;40-49;Open;91.35;93;;;;;;220;227.5;235;;235;;;;;;235;4;150.83;148.91;142.62;78.56;Yes;Russia;;FPR;IPF;2020-12-17;Russia;NIZ;Gorodets;ZMS Maxsim Guryanov Bench Press Tournament
Aleksey Grachev #1;M;B;Single-ply;43.5;40-44;40-49;Masters 1;88.3;93;;;;;;200;-210;-220;;200;;;;;;200;1;130.58;128.95;123.69;68.28;Yes;Russia;;FPR;IPF;2020-10-29;Russia;NIZ;Gorodets;Volga District Bench Press Championships
Aleksey Grachev #1;M;B;Single-ply;43.5;40-44;40-49;Masters 1;88.7;93;;;;;;195;202.5;-205;;202.5;;;;;;202.5;1;131.91;130.25;124.91;68.93;Yes;Russia;;FPR;IPF;2020-08-29;Russia;NIZ;Gorodets;Nizhny Novgorod Oblast Bench Press Championships
Aleksey Grachev #1;M;B;Single-ply;43.5;40-44;40-49;Open;89.7;93;;;;;;220;-227.5;-235;;220;;;;;;220;10;142.49;140.69;134.85;74.37;Yes;Russia;;FPR;IPF;2020-02-18;Russia;MOW;Moscow;Russian Bench Press Championships
Aleksey Grachev #1;M;B;Single-ply;43.5;40-44;40-49;Masters 1;89.7;93;;;;;;-215;215;-220;;215;;;;;;215;1;139.25;137.49;131.79;72.68;Yes;Russia;;FPR;IPF;2020-01-18;Russia;NIZ;Trans-Volga;Nizhny Novgorod Oblast Bench Press Championships
Aleksey Grachev #1;M;SBD;Single-ply;42.5;40-44;40-49;Masters 1;89.45;93;;;;;215;;;;;215;;;;;205;635;1;411.87;406.65;389.84;70.30;Yes;Russia;;FPR;IPF;2019-12-08;Russia;NIZ;Arzamas;Volga Masters Powerlifting Championships
