Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Ilin;M;SBD;Raw;32.5;24-34;24-39;Open;110.75;120;;;;;267.5;;;;;190;;;;;255;712.5;10;420.92;418.44;400.00;85.84;Yes;Russia;;FPR;IPF;2018-05-19;Russia;LEN;St. Petersburg;White Nights
Aleksey Ilin;M;SBD;Raw;32.5;24-34;24-39;Open;112.95;120;;;;;255;;;;;185;;;;;262.5;702.5;4;412.02;410.21;392.40;83.88;Yes;Russia;;FPR;IPF;2017-12-05;Russia;LEN;Vyborg;North-West Federal District Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;32.5;24-34;24-39;Open;103.64;105;;;;;317.5;;;;;222.5;;;;;275;815;19;494.14;489.28;467.19;83.80;Yes;Russia;;FPR;IPF;2017-04-30;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksey Ilin;M;SBD;Single-ply;35.5;35-39;24-39;Open;117.3;120;;;;;320;;;;;202.5;;;;;312.5;835;9;483.25;482.70;462.35;81.42;Yes;Russia;;FPR;IPF;2016-12-07;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;29.5;24-34;24-39;Open;103.2;105;;;;;-327.5;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-11-30;Russia;LEN;St. Petersburg;Northwestern Powerlifting Championships
Aleksey Ilin;M;B;Single-ply;35.5;35-39;24-39;Open;117.55;120;;;;;;185;195;-205;;195;;;;;;195;2;112.77;112.67;107.92;57.79;Yes;Russia;;FPR;IPF;2016-10-22;Russia;NVS;Berdsk;Novosibirsk Oblast Powerlifting & Bench Press Cup
Aleksey Ilin;M;SBD;Single-ply;29.5;24-34;24-39;Open;104.1;105;;;;;315;;;;;222.5;;;;;255;792.5;1;479.63;475.01;453.57;81.32;Yes;Russia;;FPR;IPF;2016-10-15;Russia;NGR;Novgorod;Novgorod Oblast Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;31.5;24-34;24-39;Open;102.85;105;;;;;325;;;;;215;;;;;255;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-05-22;Russia;LEN;St. Petersburg;White Nights
Aleksey Ilin;M;SBD;Raw;29.5;24-34;24-39;Open;104.05;105;;;;;252.5;;;;;180;;;;;252.5;685;1;414.65;410.65;392.11;84.93;Yes;Russia;;FPR;IPF;2016-04-24;Russia;NGR;Novgorod;Novgorod Oblast Powerlifting Cup
Aleksey Ilin;M;SBD;Single-ply;30.5;24-34;24-39;Open;103.75;105;;;;;330;;;;;210;;;;;245;785;7;475.74;471.09;449.82;80.68;Yes;Russia;;FPR;IPF;2015-12-03;Russia;VLG;Cherepovets;Northwestern District Championships
Aleksey Ilin;M;B;Raw;28.5;24-34;24-39;Open;110.65;120;;;;;;155;162.5;170;;170;;;;;;170;6;100.46;99.86;95.46;74.32;Yes;Russia;;FPR;IPF;2015-09-26;Russia;NGR;Valday;Valday Classic Bench Press Championships
Aleksey Ilin;M;SBD;Single-ply;32.5;24-34;24-39;Open;58.9;59;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2013-12-17;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksey Ilin;M;SBD;Raw;32.5;24-34;24-39;Open;59;59;;;;;140;;;;;117.5;;;;;205;462.5;1;395.84;400.61;391.57;76.53;Yes;Russia;;FPR;IPF;2013-12-17;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;26.5;24-34;24-39;Open;105.2;120;;;;;290;;;;;140;;;;;210;640;5;385.69;382.18;364.95;65.36;Yes;Russia;;FPR;IPF;2013-05-02;Russia;;Bologne;Russian Railways Championships
Aleksey Ilin;M;SBD;Single-ply;32.5;24-34;24-39;Open;58.85;59;220;-230;-230;;220;-152.5;157.5;165;;165;210;215;217.5;;217.5;602.5;3;516.76;523.11;511.38;87.89;Yes;Russia;;FPR;IPF;2013-01-28;Russia;TYU;Tyumen;Russian Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;31.5;24-34;24-39;Open;58.6;59;;;;;235;;;;;162.5;;;;;207.5;605;3;520.76;527.37;515.67;88.55;Yes;Russia;;FPR;IPF;2012-08-20;Russia;TYU;Tyumen;Russian Powerlifting Cup
Aleksey Ilin;M;SBD;Raw;31.5;24-34;24-39;Open;58.9;59;;;;;157.5;;;;;127.5;;;;;210;495;1;424.26;429.43;419.79;81.98;Yes;Russia;;FPR;IPF;2012-08-20;Russia;TYU;Tyumen;Russian Classic Powerlifting Cup
Aleksey Ilin;M;SBD;Single-ply;30.5;24-34;24-39;Open;58.7;59;;;;;222.5;;;;;160;;;;;220;602.5;2;517.87;524.35;512.67;88.07;Yes;Russia;;FPR;IPF;2011-12-21;Russia;NVS;Novosibirsk;Siberian Powerlifting Championships
Aleksey Ilin;M;SBD;Raw;30.5;24-34;24-39;Open;58.3;59;;;;;160;;;;;122.5;;;;;205;487.5;1;421.44;426.99;417.65;81.19;Yes;Russia;;FPR;IPF;2011-12-21;Russia;NVS;Novosibirsk;Siberian Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;29.5;24-34;24-39;Open;59.3;60;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2010-12-09;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Ilin;M;SBD;Single-ply;28.5;24-34;24-39;Open;59.45;60;;;;;195;;;;;145;;;;;202.5;542.5;2;461.38;466.61;455.88;78.52;Yes;Russia;;FPR;IPF;2009-12-11;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Ilin;M;SBD;Single-ply;26.5;24-34;24-39;Open;59.75;60;;;;;230;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2007-12-14;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Ilin;M;SBD;Single-ply;26.5;24-34;24-39;Open;59.55;60;;;;;237.5;;;;;152.5;;;;;207.5;597.5;4;507.45;513.12;501.28;86.37;Yes;Russia;;FPR;IPF;2007-05-18;Russia;KYA;Krasnoyarsk;Russian Railways Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;25.5;24-34;24-39;Open;59.85;60;;;;;225;;;;;162.5;;;;;205;592.5;1;501.13;506.49;494.66;85.32;Yes;Russia;;FPR;IPF;2006-12-15;Russia;KYA;Krasnoyarsk;Centre of Asia
Aleksey Ilin;M;SBD;Single-ply;25.5;24-34;24-39;Open;55.6;56;;;;;197.5;;;;;140;;;;;195;532.5;1;479.65;488.18;478.84;81.26;Yes;Russia;;FPR;IPF;2006-01-20;Russia;AMU;Belogorsk;Far Eastern Powerlifting Championships
Aleksey Ilin;M;SBD;Single-ply;22.5;20-23;19-23;Juniors;55.05;56;170;180;-185;;180;105;-110;110;;110;175;190;-200;;190;480;6;436.21;444.40;436.16;73.85;Yes;Russia;;FPR;IPF;2003-04-03;Russia;KYA;Krasnoyarsk;Russian Juniors Powerlifting Championships
