Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Ivanov;M;B;Raw;36;35-39;24-39;Pro Open;96.3;100;;;;;;130;140;145;;145;;;;;;145;8;90.76;89.65;85.70;67.64;;;;WRPF;WRPF;2021-11-06;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksey Ivanov;M;B;Raw;38;35-39;24-39;Amateur Open;89.9;90;;;;;;162.5;170;-175;;170;;;;;;170;1;109.98;108.59;104.08;82.02;Yes;;;WRPF;WRPF;2021-05-09;Russia;TYU;Tyumen;Western Siberia Championships
Aleksey Ivanov;M;SBD;Wraps;27.5;24-34;24-39;O;103.7;110;230;250;-260;;250;-140;-150;150;;150;240;250;260;;260;660;1;400.07;396.14;378.26;81.96;;Ukraine;;WPC-UKR;WPC;2021-04-24;Ukraine;;Kryvyi Rig;Ukrainian Championships
Aleksey Ivanov;M;B;Raw;41.5;40-44;40-49;Open;62.4;66;;;;;;70;77.5;-82.5;;77.5;;;;;;77.5;2;63.38;63.82;62.19;45.33;Yes;;;FPR;IPF;2021-02-25;Russia;KYA;Zelenogorsk;Russian Masters Bench Press Championships
Aleksey Ivanov;M;B;Raw;45;45-49;40-49;Amateur Masters 45-49;89.7;90;;;;;;125;-132.5;-132.5;;125;;;;;;125;2;80.96;79.94;76.62;60.37;Yes;;;WPF-RUS;WPF;2020-12-20;Russia;MOW;Moscow;Kremlin Press
Aleksey Ivanov;M;B;Raw;45;45-49;40-49;Amateur Masters 45-49;88.6;90;;;;;;105;110;117.5;;117.5;;;;;;117.5;2;76.58;75.62;72.53;57.10;;;;WPF;;2020-11-14;Russia;MOW;Moscow;World Championships
Aleksey Ivanov;M;B;Raw;34;24-34;24-39;Amateur Open;89.45;90;;;;;;120;-130;-130;;120;;;;;;120;5;77.83;76.85;73.67;58.04;Yes;;;NAP;IPA;2020-03-21;Russia;NVS;Berdsk;Siberian Federal District Cup
Aleksey Ivanov;M;B;Raw;25;24-34;24-39;Open;74;75;;;;;;125;130;-135;;130;;;;;;130;2;94.07;93.51;90.41;69.33;Yes;;;RPU;;2020-03-13;Russia;VLG;Cherepovets;Power of the North
Aleksey Ivanov;M;B;Raw;36;35-39;24-39;Pro Open;82;82.5;;;;;;180;-192.5;-192.5;;180;;;;;;180;2;122.35;121.03;116.48;90.98;;;;WRPF;WRPF;2019-12-28;Russia;STA;Stavropol;European Cup
Aleksey Ivanov;M;B;Raw;18;18-19;14-18;Amateur Teen 18-19;74.8;75;;;;;;95;100;107.5;;107.5;;;;;;107.5;1;77.25;76.74;74.16;57.00;Yes;;;WPC-RUS;WPC;2019-12-22;Russia;ROS;Rostov-on-Don;Rostov Powerlifting Championships
Aleksey Ivanov;M;B;Raw;24;24-34;24-39;Amateur Open;88.45;90;;;;;;115;122.5;-127.5;;122.5;;;;;;122.5;11;79.91;78.91;75.69;59.58;Yes;;;NAP;IPA;2019-12-14;Russia;NVS;Berdsk;Steel Arena 9
Aleksey Ivanov;M;BD;Raw;25;24-34;24-39;Open;93.6;82.5+;;;;;;140;150;160;;160;270;-280;-280;;270;430;5;272.75;269.30;257.69;;Yes;Bulgaria;;WRPF-Belarus;WRPF;2019-11-08;Belarus;;Minsk;4th Belarus Cup
Aleksey Ivanov;M;B;Raw;33.5;24-34;24-39;Open;90.9;93;;;;;;110;117.5;122.5;;122.5;;;;;;122.5;7;78.82;77.81;74.54;58.78;Yes;;;FPR;IPF;2019-11-04;Russia;NVS;Novosibirsk;Dynamo Classic Bench Press Championships
Aleksey Ivanov;M;B;Raw;44;40-44;40-49;Pro Masters 40-44;96.4;100;;;;;;150;162.5;165;;165;;;;;;165;1;103.23;101.97;97.47;76.93;;;;WPC-RUS;WPC;2019-10-01;Russia;KLU;Obninsk;Adrenaline
Aleksey Ivanov;M;B;Raw;37;35-39;24-39;Pro Open;88.8;90;;;;;;-167.5;-170;170;;170;;;;;;170;1;110.67;109.28;104.80;82.52;;;;WPC-RUS;WPC;2019-07-27;Russia;MOW;Moscow;Moscow Championships
Aleksey Ivanov;M;D;Raw;34;24-34;24-39;Amateur Open;96.3;100;;;;;;;;;;;195;-205;-205;;195;195;1;122.06;120.56;115.25;;Yes;Russia;;NAP;IPA;2019-04-27;Russia;TOM;Tomsk;Power Zone 3
Aleksey Ivanov;M;D;Raw;25;24-34;24-39;Open;94.4;100;;;;;;;;;;;-250;250;-270;;250;250;5;157.94;155.96;149.18;;;;;WRPF-Belarus;WRPF;2019-04-26;Belarus;;Minsk;4th Belarus Championship
Aleksey Ivanov;M;B;Raw;15;13-15;14-18;Amateur Teen 13-16;66;67.5;;;;;;40;45;50;;50;;;;;;50;4;39.18;39.26;38.15;28.36;Yes;;;NAP;IPA;2019-04-20;Russia;TYU;Tyumen;All-Russian Tournament
Aleksey Ivanov;M;B;Raw;31;24-34;24-39;Open;80.2;82.5;;;;;;140;145;-147.5;;145;;;;;;145;3;99.84;98.84;95.22;74.13;;;;RPU;;2019-04-06;Russia;LEN;St. Petersburg;Northern Capital Tournament
