Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Ivas;M;SBD;Raw;40.5;40-44;40-49;Masters 1;98.45;105;;;;;260;;;;;172.5;;;;;290;722.5;1;447.76;442.51;422.78;91.95;Yes;Russia;;FPR;IPF;2017-04-20;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Classic Powerlifting Championships
Aleksey Ivas;M;SBD;Raw;39.5;35-39;40-49;Masters 1;98.15;105;;;;;237.5;;;;;175;;;;;280;692.5;1;429.75;424.68;405.77;88.27;Yes;Russia;;FPR;IPF;2016-11-10;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksey Ivas;M;B;Single-ply;39.5;35-39;40-49;Open;95.75;105;;;;;;-210;-210;-225;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-04-01;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Ivas;M;SBD;Single-ply;36.5;35-39;24-39;Open;92.3;93;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2013-05-20;Russia;LEN;St. Petersburg;White Nights
Aleksey Ivas;M;B;Raw;34.5;24-34;24-39;Open;90.45;93;;;;;;-170;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2011-03-04;Russia;LEN;St. Petersburg;St. Petersburg Raw Bench Press Championships
Aleksey Ivas;M;B;Single-ply;33.5;24-34;24-39;Open;92.8;100;;;;;;-225;-225;-230;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2010-12-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksey Ivas;M;B;Single-ply;33.5;24-34;24-39;Open;88.3;90;;;;;;-200;207.5;-215;;207.5;;;;;;207.5;5;135.48;133.78;128.33;70.84;Yes;Russia;;FPR;IPF;2010-04-23;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Ivas;M;SBD;Single-ply;32.5;24-34;24-39;Open;90;90;;;;;275;;;;;210;;;;;265;750;16;484.95;478.80;458.88;82.76;Yes;Russia;;FPR;IPF;2009-05-20;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Cup
Aleksey Ivas;M;B;Single-ply;32.5;24-34;24-39;Open;92.25;100;;;;;;205;212.5;220;;220;;;;;;220;5;140.52;138.74;132.83;73.11;Yes;Russia;;FPR;IPF;2009-04-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksey Ivas;M;SBD;Single-ply;31.5;24-34;24-39;Open;89.2;90;;;;;230;;;;;180;;;;;240;650;28;422.20;416.86;399.68;72.07;Yes;Russia;;FPR;IPF;2008-05-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Cup
Aleksey Ivas;M;SBD;Single-ply;31.5;24-34;24-39;Open;87.9;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2008-01-18;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
