Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kashirin;M;B;Unlimited;44;40-44;40-49;Open;109;110;;;;;;310;317.5;322.5;;322.5;;;;;;322.5;1;191.67;190.33;181.86;98.48;;Russia;;RPU;;2018-08-04;Ukraine;;Koktebel;Crimea Power Pro
Aleksey Kashirin;M;D;Raw;44;40-44;40-49;Open;109;110;;;;;;;;;;;300;320;-335;;320;320;1;190.18;188.85;180.45;;;Russia;;RPU;;2018-08-04;Ukraine;;Koktebel;Crimea Power Pro
Aleksey Kashirin;M;SBD;Wraps;43;40-44;40-49;Amateur Open;109.4;110;-310;310;330;;330;190;202.5;210;;210;-310;310;325;;325;865;2;513.37;509.91;487.27;104.79;;Russia;;WRPF;WRPF;2017-06-02;Russia;MOW;Moscow;European Championships
Aleksey Kashirin;M;D;Single-ply;43;40-44;40-49;Open;111.5;125;;;;;;;;;;;340;355;365;;365;365;1;215.09;213.93;204.55;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksey Kashirin;M;S;Single-ply;43;40-44;40-49;Open;110;110;-365;365;370;;370;;;;;;;;;;;370;1;219.14;217.74;208.11;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksey Kashirin;M;SBD;Single-ply;42;40-44;40-49;Open;109.3;110;360;-375;-380;;360;-270;280;-290;;280;330;345;357.5;;357.5;997.5;2;592.21;588.18;562.05;100.16;;Russia;;IPL;IPL;2016-04-21;Russia;MOW;Dolgoprudnyy;European Powerlifting Championships
Aleksey Kashirin;M;SBD;Single-ply;41;40-44;40-49;Open;109.1;110;;;;;365;;;;;265;;;;;340;970;2;576.29;572.30;546.85;97.47;;Russia;;USPA;IPL;2015-09-18;USA;NV;Las Vegas;Mr Olympia Pro Powerlifting Invitational
Aleksey Kashirin;M;SBD;Single-ply;41;40-44;40-49;Open;112.4;125;-330;-340;340;;340;260;270;280;;280;300;320;-335;;320;940;1;552.30;549.65;525.70;93.26;;Russia;;RPU;;2015-03-26;Russia;MOW;Moscow;Eastern European Championships
Aleksey Kashirin;M;B;Single-ply;40;40-44;40-49;M_OES_AWPC;102.1;110;;;;;;-255;255;-265;;255;;;;;;255;3;155.57;153.94;147.00;80.24;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksey Kashirin;M;B;Single-ply;40;40-44;40-49;Amateur Open;100;100;;;;;;250;-260;260;;260;;;;;;260;1;160.03;158.23;151.13;82.67;Yes;Russia;;WPC-RUS;WPC;2014-03-22;Russia;VLG;Vologda;Russian Open Cup
Aleksey Kashirin;M;B;Single-ply;40;40-44;40-49;Amateur Masters 40-44;100;100;;;;;;-265;-265;-265;;;;;;;;;DQ;;;;;Yes;Russia;;WPC;WPC;2013-11-09;Russia;VLG;Vologda;Eastern European Cup
Aleksey Kashirin;M;B;Single-ply;40;40-44;40-49;Amateur Open;99.7;100;;;;;;-265;-265;-265;;;;;;;;;DQ;;;;;Yes;Russia;;WPC;WPC;2013-11-09;Russia;VLG;Vologda;Eastern European Cup
Aleksey Kashirin;M;B;Single-ply;39;35-39;40-49;Amateur Open;99.8;100;;;;;;-250;250;265;;265;;;;;;265;1;163.25;161.41;154.17;84.34;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksey Kashirin;M;B;Raw;35;35-39;24-39;M-O;102.9;110;;;;;;;;;;202.5;;;;;;202.5;1;123.14;121.89;116.39;91.53;Yes;Russia;;WDFPF;WDFPF;2009-05-17;France;;Lancy;European Single Lift Championships
Aleksey Kashirin;M;D;Raw;35;35-39;24-39;M-O;104.8;110;;;;;;;;;;;;;;;285;285;1;172.01;170.42;162.73;;Yes;Russia;;WDFPF;WDFPF;2009-05-17;France;;Lancy;European Single Lift Championships
Aleksey Kashirin;M;SBD;Single-ply;34.5;24-34;24-39;Open;108.6;110;;;;;310;;;;;250;;;;;300;860;2;511.83;508.13;485.48;86.59;Yes;Russia;;FPR;IPF;2008-01-24;Russia;MUR;Apatity;North-Western District Powerlifting Championships
Aleksey Kashirin;M;SBD;Single-ply;33.5;24-34;24-39;Open;105.5;110;;;;;360;;;;;240;;;;;332.5;932.5;1;561.32;556.30;531.23;95.11;Yes;Russia;;FPR;IPF;2007-04-20;Russia;MUR;Apatity;Arctic Cup
Aleksey Kashirin;M;SBD;Single-ply;32.5;24-34;24-39;Open;108.1;110;;;;;330;;;;;220;;;;;315;865;3;515.73;511.84;488.97;87.27;Yes;Russia;;FPR;IPF;2006-05-17;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Kashirin;M;SBD;Single-ply;30.5;24-34;24-39;Open;104.65;110;290;310;325;;325;-200;-200;200;;200;270;290;-300;;290;815;3;492.19;487.58;465.58;83.43;Yes;Russia;;FPR;IPF;2005-01-20;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
