Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kiselev;M;B;Raw;42;40-44;40-49;Masters 40-44;95.4;100;;;;;;130;135;-137.5;;135;;;;;;135;1;84.87;83.82;80.15;63.26;Yes;Russia;;RPU;;2022-06-24;Russia;VLA;Suzdal;National Championships
Aleksey Kiselev;M;D;Raw;48;45-49;40-49;Masters 45-49;100;100;;;;;;;;;;;220;230;-240;;230;230;1;141.57;139.98;133.69;;;Russia;;RPU;;2022-06-18;Russia;VGG;Volzhsky;Eurasian Championships
Aleksey Kiselev;M;B;Raw;41;40-44;40-49;Amateur Masters 40-49;100;100;;;;;;110;120;-127.5;;120;;;;;;120;1;73.86;73.03;69.75;54.97;Yes;Russia;;WRPF;WRPF;2022-04-23;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Pro Open;100;100;;;;;;;;;;;240;-250;-250;;240;240;5;147.72;146.06;139.50;;;Russia;;WRPF;WRPF;2021-12-03;Russia;STA;Stavropol;Eurasian Championships
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Pro Masters 40-49;99;100;;;;;;;;;;;245;-255;-255;;245;245;1;151.46;149.71;143.02;;;Russia;;WRPF;WRPF;2021-10-16;Russia;VGG;Volzhsky;Eurasian Cup
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Pro Open;99.2;100;;;;;;;;;;;220;230;240;;240;240;1;148.24;146.54;139.98;;;Russia;;WRPF;WRPF;2021-07-17;Russia;VGG;Volzhsky;High Voltage V
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Masters 45-49;99.2;100;;;;;;;;;;;235;-250;-250;;235;235;1;145.15;143.48;137.06;;;Russia;;RPU;;2021-06-19;Russia;KDA;Goryachy Klyuch;Krasnodar Krai Cup
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Open;99.2;100;;;;;;;;;;;235;-250;-250;;235;235;2;145.15;143.48;137.06;;;Russia;;RPU;;2021-06-19;Russia;KDA;Goryachy Klyuch;Krasnodar Krai Cup
Aleksey Kiselev;M;S;Raw;47;45-49;40-49;Open;99.2;100;200;210;-220;;210;;;;;;;;;;;210;1;129.71;128.22;122.48;;;Russia;;RPU;;2021-05-08;Russia;KDA;Goryachy Klyuch;Victory Cup
Aleksey Kiselev;M;D;Raw;47;45-49;40-49;Open;99.2;100;;;;;;;;;;;230;245;-255;;245;245;1;151.33;149.59;142.89;;;Russia;;RPU;;2021-05-08;Russia;KDA;Goryachy Klyuch;Victory Cup
Aleksey Kiselev;M;D;Raw;46;45-49;40-49;Open;99.7;100;;;;;;;;;;;220;250;-260;;250;250;1;154.08;152.33;145.50;;;Russia;;RPU;;2021-03-21;Russia;AST;Astrakhan;Power of Iron II Astrakhan Championships
Aleksey Kiselev;M;BD;Raw;19;18-19;19-23;Teen 18-19;77.7;82.5;;;;;;95;-100;100;;100;180;192.5;200;;200;300;1;210.52;208.70;201.35;;;Russia;;RPU;;2021-03-21;Russia;AST;Astrakhan;Power of Iron II Astrakhan Championships
Aleksey Kiselev;M;D;Raw;46;45-49;40-49;Pro Masters 40-49;99.3;100;;;;;;;;;;;-230;230;-242.5;;230;230;1;142.00;140.37;134.09;;;Russia;;WRPF;WRPF;2020-12-26;Russia;STA;Stavropol;Eurasian Cup
Aleksey Kiselev;M;D;Raw;46;45-49;40-49;Masters 45-49;103.8;110;;;;;;;;;;;240;-250;-250;;240;240;1;145.42;144.00;137.50;;;Russia;;RPU;;2020-08-29;Russia;VGG;Volzhsky;National Championships
Aleksey Kiselev;M;D;Raw;46;45-49;40-49;Open;103.8;110;;;;;;;;;;;240;-250;-250;;240;240;1;145.42;144.00;137.50;;;Russia;;RPU;;2020-08-29;Russia;VGG;Volzhsky;National Championships
Aleksey Kiselev;M;B;Raw;32;24-34;24-39;Open;74.7;75;;;;;;-135;-140;-140;;;;;;;;;DQ;;;;;Yes;Russia;;RPU;;2020-03-13;Russia;VLG;Cherepovets;Power of the North
Aleksey Kiselev;M;D;Raw;45;45-49;40-49;Pro Open;99.7;100;;;;;;;;;;;250;-265;;;250;250;3;154.08;152.33;145.50;;;Russia;;WRPF;WRPF;2019-12-28;Russia;STA;Stavropol;European Cup
Aleksey Kiselev;M;D;Raw;45;45-49;40-49;Open;100;100;;;;;;;;;;;240;260;-275;;260;260;1;160.03;158.23;151.13;;;Russia;;RPU;;2019-12-14;Russia;VGG;Volzhsky;Ice Hammer 4
