Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Komkov;M;B;Raw;37;35-39;24-39;Open;91.9;93;;;;;;;;;;190;;;;;;190;2;121.59;120.04;114.95;90.67;Yes;Russia;;FPR;IPF;2021-02-06;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Bench Press Championships
Aleksey Komkov;M;B;Raw;35;35-39;24-39;Open;97.2;105;;;;;;;;;;200;;;;;;200;1;124.66;123.16;117.70;92.87;Yes;Russia;;FPR;IPF;2019-02-24;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Classic Bench Press Championships
Aleksey Komkov;M;B;Raw;35;35-39;24-39;Pro Open;96.5;100;;;;;;-190;190;-195;;190;;;;;;190;1;118.81;117.37;112.19;88.54;;Russia;;WRPF;WRPF;2018-11-09;Russia;TYU;Tyumen;Tyumen Open Championships
Aleksey Komkov;M;B;Raw;34;24-34;24-39;Pro Open;89.5;90;;;;;;-185;-185;-185;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2018-03-11;Russia;CHE;Chelyabinsk;Russian Championships
Aleksey Komkov;M;B;Raw;33;24-34;24-39;Pro Open;89.9;90;;;;;;175;182.5;185;;185;;;;;;185;1;119.69;118.17;113.26;89.25;;Russia;;WPC;WPC;2017-07-15;Russia;CHE;Chelyabinsk;Asian Cup
Aleksey Komkov;M;B;Raw;33;24-34;24-39;Pro Open;88.8;90;;;;;;170;180;-182.5;;180;;;;;;180;2;117.18;115.71;110.96;87.37;;Russia;;WPC;WPC;2017-02-11;Russia;CHE;Chelyabinsk;Eastern European Championships
Aleksey Komkov;M;B;Raw;32;24-34;24-39;Pro Open;88.1;90;;;;;;160;170;-175;;170;;;;;;170;1;111.13;109.74;105.27;82.85;;Russia;;WPC;WPC;2016-07-02;Russia;CHE;Chelyabinsk;Asian Championships
Aleksey Komkov;M;B;Raw;32;24-34;24-39;Amateur Open;88.5;90;;;;;;145;-152.5;-152.5;;145;;;;;;145;5;94.56;93.38;89.56;70.50;Yes;Russia;;WPC-RUS;WPC;2015-11-07;Russia;CHE;Chelyabinsk;Tankograd Cup
Aleksey Komkov;M;B;Raw;31;24-34;24-39;Amateur Open;85.9;90;;;;;;140;147.5;-152.5;;147.5;;;;;;147.5;5;97.71;96.53;92.71;72.80;Yes;Russia;;WPC;WPC;2015-07-17;Russia;CHE;Chelyabinsk;Asian Championships
Aleksey Komkov;M;B;Raw;31;24-34;24-39;Amateur Open;85.8;90;;;;;;145;-150;-150;;145;;;;;;145;9;96.12;94.96;91.20;71.61;Yes;Russia;;NAP;IPA;2015-04-05;Russia;SVE;Yekaterinbourg;European Championships
