Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kopylov;M;SBD;Raw;32.5;24-34;24-39;Open;90.6;93;;;;;255;;;;;177.5;;;;;280;712.5;4;459.17;453.33;434.35;94.41;Yes;Russia;;FPR;IPF;2019-10-15;Russia;YAN;Muravlenko;Russian Classic Powerlifting Cup
Aleksey Kopylov;M;B;Raw;28.5;24-34;24-39;Open;96;100;;;;;;110;115;120;;120;;;;;;120;10;75.22;74.29;71.03;56.06;;Russia;;RPU;;2019-10-12;Russia;MOW;Moscow;National Guard Tournament
Aleksey Kopylov;M;SBD;Raw;36.5;35-39;24-39;Open;90.6;93;;;;;250;;;;;180;;;;;300;730;1;470.45;464.47;445.02;96.73;Yes;Russia;;FPR;IPF;2019-09-15;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Classic Powerlifting Cup
Aleksey Kopylov;M;B;Raw;36.5;35-39;24-39;Open;91.3;93;;;;;;;;;;185;;;;;;185;1;118.77;117.26;112.31;88.57;Yes;Russia;;FPR;IPF;2019-08-25;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Bench Press Championships
Aleksey Kopylov;M;B;Raw;32.5;24-34;24-39;Open;90.1;93;;;;;;;;;;170;;;;;;170;3;109.86;108.47;103.95;81.93;Yes;Russia;;FPR;IPF;2019-02-24;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Classic Bench Press Championships
Aleksey Kopylov;M;B;Raw;33;24-34;24-39;Pro Open;74.1;75;;;;;;150;162.5;-167.5;;162.5;;;;;;162.5;1;117.49;116.78;112.89;86.60;;Russia;;NAP;IPA;2018-11-03;Russia;BEL;Belgorod;Commonwealth Cup
Aleksey Kopylov;M;B;Raw;28.5;24-34;24-39;Open;82.5;83;;;;;;;;;;160;;;;;;160;1;108.38;107.19;103.13;80.62;Yes;Russia;;FPR;IPF;2015-02-14;Russia;CHE;Chelyabinsk;Chelyabinsk City Bench Press Championships
Aleksey Kopylov;M;SBD;Raw;27.5;24-34;24-39;Open;82.6;83;;;;;220;;;;;155;;;;;270;645;2;436.62;431.78;415.43;89.50;Yes;Russia;;FPR;IPF;2014-09-28;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Classic Powerlifting Championships
Aleksey Kopylov;M;B;Raw;27.5;24-34;24-39;Open;87.7;93;;;;;;155;162.5;167.5;;167.5;;;;;;167.5;3;109.75;108.39;104.00;81.82;Yes;Russia;;FPR;IPF;2014-08-17;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Bench Press Championships
Aleksey Kopylov;M;SBD;Single-ply;21.5;20-23;19-23;Open;81.75;82.5;;;;;295;;;;;200;;;;;292.5;787.5;3;536.23;530.47;510.63;91.75;Yes;Russia;;FPR;IPF;2008-01-24;Russia;MUR;Apatity;North-Western District Powerlifting Championships
Aleksey Kopylov;M;SBD;Single-ply;20.5;20-23;19-23;Open;81.35;82.5;;;;;240;;;;;165;;;;;260;665;19;454.10;449.29;432.58;77.71;Yes;Russia;;FPR;IPF;2007-05-22;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Kopylov;M;SBD;Single-ply;20.5;20-23;19-23;Open;81.5;82.5;;;;;275;;;;;170;;;;;275;720;10;491.13;485.91;467.80;84.04;Yes;Russia;;FPR;IPF;2007-01-17;Russia;VLG;Cherepovets;North-West District Powerlifting Championships
