Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Korovin;M;SBD;Raw;29.5;24-34;24-39;Open;74;74;;;;;212.5;;;;;145;;;;;205;562.5;5;407.05;404.61;391.18;82.58;Yes;;;FPR;IPF;2019-06-16;Russia;NVS;Novosibirsk;Novosibirsk Olympic Day
Aleksey Korovin;M;B;Raw;28.5;24-34;24-39;Open;72.7;74;;;;;;125;130;135;;135;;;;;;135;8;98.84;98.35;95.16;72.68;Yes;;;FPR;IPF;2018-06-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Bench Press Championships
Aleksey Korovin;M;SBD;Raw;28.5;24-34;24-39;Open;72.7;74;;;;;190;;;;;135;;;;;195;520;10;380.70;378.84;366.53;77.05;Yes;;;FPR;IPF;2018-06-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
Aleksey Korovin;M;SBD;Single-ply;27.5;24-34;24-39;Open;64.75;66;;;;;212.5;;;;;140;;;;;187.5;540;2;429.21;430.80;419.00;73.33;Yes;;;FPR;IPF;2017-04-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
Aleksey Korovin;M;B;Single-ply;26.5;24-34;24-39;Open;64.25;66;;;;;;145;150;-160;;150;;;;;;150;2;119.93;120.45;117.20;66.96;Yes;;;FPR;IPF;2016-10-22;Russia;NVS;Berdsk;Novosibirsk Oblast Powerlifting & Bench Press Cup
Aleksey Korovin;M;SBD;Raw;26.5;24-34;24-39;Open;65.35;66;130;145;155;;155;-115;120;-125;;120;160;175;185;;185;460;3;363.09;364.16;354.02;72.08;Yes;;;FPR;IPF;2016-06-04;Russia;NVS;Novosibirsk;Novosibirsk Classic Powerlifting & Bench Press Championships
Aleksey Korovin;M;B;Raw;25.5;24-34;24-39;Open;65.75;66;;;;;;120;127.5;-132.5;;127.5;;;;;;127.5;3;100.18;100.43;97.60;72.47;Yes;;;FPR;IPF;2015-12-20;Russia;NVS;Novosibirsk;Novosibirsk New Year's Bench Press Tournament
Aleksey Korovin;M;SBD;Single-ply;24.5;24-34;24-39;Open;65.45;66;;;;;225;;;;;140;;;;;190;555;3;437.57;438.81;426.56;74.78;Yes;;;FPR;IPF;2014-11-15;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting & Bench Press Cup
Aleksey Korovin;M;SBD;Single-ply;22.5;20-23;19-23;Open;64.3;66;;;;;255;;;;;155;;;;;210;620;3;495.41;497.54;484.08;84.62;Yes;;;FPR;IPF;2012-05-17;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Powerlifting Championships
Aleksey Korovin;M;SBD;Single-ply;19.5;20-23;19-23;Open;65;66;;;;;200;;;;;105;;;;;150;455;3;360.60;361.82;351.84;61.61;Yes;;;FPR;IPF;2011-11-26;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting & Bench Press Cup
Aleksey Korovin;M;SBD;Single-ply;;;;Open;66;66;;;;;235;;;;;140;;;;;185;560;2;438.78;439.71;427.27;75.01;Yes;;;FPR;IPF;2011-04-30;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
