Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kosyanov;M;SBD;Raw;23;20-23;19-23;Juniors;103.3;105;;;;;260;;;;;190;;;;;270;720;2;437.13;432.77;413.23;89.57;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Aleksey Kosyanov;M;SBD;Raw;23;20-23;19-23;Juniors;103.5;105;;;;;250;;;;;180;;;;;280;710;1;430.72;426.45;407.20;88.25;Yes;Russia;;FPR;IPF;2021-03-05;Russia;MOW;Moscow;Moscow City Juniors Sub-Juniors & Masters Classic Powerlifting Championships
Aleksey Kosyanov;M;B;Raw;22;20-23;19-23;Juniors;103.65;105;;;;;;165;-172.5;172.5;;172.5;;;;;;172.5;3;104.58;103.56;98.88;77.71;Yes;Russia;;FPR;IPF;2021-02-08;Russia;TUL;Tula;Russian Juniors & Sub-Juniors Bench Press Championships
Aleksey Kosyanov;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;108;110;;;;;;180;-192.5;-192.5;;180;;;;;;180;2;107.36;106.54;101.78;79.56;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksey Kosyanov;M;D;Raw;21;20-23;19-23;Pro Juniors 20-23;108;110;;;;;;;;;;;260;275;280;;280;280;1;167.00;165.73;158.32;;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksey Kosyanov;M;SBD;Raw;21;20-23;19-23;Pro Juniors 20-23;108;110;230;245;255;;255;180;-192.5;-192.5;;180;260;275;280;;280;715;2;426.45;423.21;404.29;87.13;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksey Kosyanov;M;B;Raw;21;20-23;19-23;Juniors 20-23;99.3;100;;;;;;157.5;162.5;-165;;162.5;;;;;;162.5;1;100.33;99.18;94.74;74.69;Yes;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksey Kosyanov;M;BD;Raw;21;20-23;19-23;Open;99.3;100;;;;;;157.5;162.5;-165;;162.5;220;232.5;-240;;232.5;395;1;243.87;241.07;230.28;;Yes;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksey Kosyanov;M;SBD;Raw;21;20-23;19-23;Juniors 20-23;99.3;100;-200;210;-220;;210;157.5;162.5;-165;;162.5;220;232.5;-240;;232.5;605;1;373.53;369.24;352.71;76.68;Yes;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksey Kosyanov;M;BD;Raw;21;20-23;19-23;Juniors 20-23;99.3;100;;;;;;157.5;162.5;-165;;162.5;220;232.5;-240;;232.5;395;1;243.87;241.07;230.28;;Yes;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksey Kosyanov;M;D;Raw;21;20-23;19-23;Amateur Juniors 20-23;98.9;100;;;;;;;;;;;220;240;;;240;240;1;148.44;146.72;140.16;;Yes;Russia;;WRPF;WRPF;2019-05-18;Russia;MOW;Moscow;Konstantin Konstantinov Memorial Tournament
Aleksey Kosyanov;M;B;Raw;21;20-23;19-23;Amateur Juniors 20-23;98.9;100;;;;;;155;162.5;165;;165;;;;;;165;1;102.05;100.87;96.36;75.99;Yes;Russia;;WRPF;WRPF;2019-05-18;Russia;MOW;Moscow;Konstantin Konstantinov Memorial Tournament
Aleksey Kosyanov;M;B;Raw;21;20-23;19-23;Juniors 20-23;99.4;100;;;;;;162.5;-167.5;;;162.5;;;;;;162.5;1;100.28;99.14;94.70;74.66;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aleksey Kosyanov;M;D;Raw;21;20-23;19-23;Juniors 20-23;99.4;100;;;;;;;;;;;220;232.5;-240;;232.5;232.5;2;143.48;141.84;135.49;;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aleksey Kosyanov;M;BD;Raw;21;20-23;19-23;Juniors 20-23;99.4;100;;;;;;162.5;-167.5;;;162.5;220;232.5;-240;;232.5;395;1;243.77;240.98;230.18;;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
