Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Koval;M;B;Raw;32;24-34;24-39;Amateur Open;89.8;90;;;;;;147.5;-155;-155;;147.5;;;;;;147.5;2;95.48;94.27;90.36;71.20;Yes;Russia;;WRPF;WRPF;2022-04-16;Russia;PRI;Arseniev;Time of the Strong II
Aleksey Koval;M;SBD;Wraps;30;24-34;24-39;Pro Open;99.4;100;295;305;310;;310;165;-170;170;;170;310;-320;-320;;310;790;2;487.53;481.95;460.37;100.09;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Koval;M;B;Raw;32;24-34;24-39;Amateur Open;89.7;90;;;;;;142.5;145;-150;;145;;;;;;145;1;93.92;92.72;88.88;70.03;Yes;Russia;;WRPF;WRPF;2021-12-10;Russia;PRI;Arsenyev;Black Shark Tournament
Aleksey Koval;M;B;Raw;32;24-34;24-39;Amateur Open;88.4;90;;;;;;-150;-150;-150;;;;;;;;;DQ;;;;;Yes;Russia;;WRPF;WRPF;2021-10-01;Russia;PRI;Arseniev;Primorsky Krai Championships
Aleksey Koval;M;SBD;Wraps;29;24-34;24-39;Pro Open;100;100;290;-310;-310;;290;160;165;170;;170;-300;300;-320;;300;760;1;467.79;462.53;441.77;96.01;;Russia;;WRPF;WRPF;2021-06-12;Russia;STA;Stavropol;Sun Cup
Aleksey Koval;M;B;Raw;32;24-34;24-39;Amateur Open;89.2;90;;;;;;145;152.5;-155;;152.5;;;;;;152.5;5;99.05;97.80;93.77;73.86;Yes;Russia;;WPC-RUS;WPC;2021-05-01;Russia;PRI;Vladivostok;Russian Championships
Aleksey Koval;M;B;Raw;31;24-34;24-39;Amateur Open;89.5;90;;;;;;145;152.5;-155;;152.5;;;;;;152.5;2;98.88;97.63;93.59;73.74;Yes;Russia;;WRPF;WRPF;2021-04-10;Russia;PRI;Arseniev;Time of the Strong Tournament
Aleksey Koval;M;D;Raw;29;24-34;24-39;Pro Open;98.6;100;;;;;;;;;;;280;300;-317.5;;300;300;3;185.80;183.63;175.43;;;Russia;;WPC;WPC;2020-12-19;Russia;ROS;Rostov-on-Don;World Cup
Aleksey Koval;M;SBD;Wraps;29;24-34;24-39;Pro Open;99.8;100;240;260;270;;270;140;150;155;;155;260;282.5;300;;300;725;1;446.64;441.58;421.77;91.68;;Russia;;WPC-RUS;WPC;2020-10-11;Russia;ROS;Rostov-on-Don;Rostov Region Championships
Aleksey Koval;M;SBD;Wraps;28;24-34;24-39;Pro Open;98.9;100;230;245;250;;250;130;140;142.5;;142.5;-260;260;-280;;260;652.5;2;403.57;398.89;381.06;82.86;;Russia;;WRPF;WRPF;2019-12-28;Russia;STA;Stavropol;European Cup
Aleksey Koval;M;B;Raw;37;35-39;24-39;Amateur Open;106.1;110;;;;;;-125;-125;125;;125;;;;;;125;3;75.07;74.43;71.08;55.70;Yes;Russia;;WRPF;WRPF;2019-11-02;Russia;MOW;Moscow;World Class Club Tournament
Aleksey Koval;M;SBD;Wraps;27;24-34;24-39;Open;89.9;90;-225;225;230;;230;135;140;-142.5;;140;270;-282.5;-282.5;;270;640;3;414.06;408.80;391.82;85.13;;Russia;;RPU;;2019-05-11;Russia;ROS;Taganrog;New Wave Tournament
Aleksey Koval;M;D;Raw;27;24-34;24-39;Pro Open;90;90;;;;;;;;;;;260;270;275;;275;275;1;177.82;175.56;168.26;;;Russia;;WRPF;WRPF;2018-12-02;Russia;;Rostov-on-Don;Cold Steel Tournament
Aleksey Koval;M;SBD;Wraps;27;24-34;24-39;Pro Open;89.6;90;210;-212.5;-212.5;;210;-140;140;145;;145;-250;250;-260;;250;605;1;392.07;387.11;371.08;80.61;;Russia;;WRPF;WRPF;2018-09-22;Russia;;Rostov-on-Don;Southern Capital Tournament
Aleksey Koval;M;D;Raw;26;24-34;24-39;Open;85.3;90;;;;;;;;;;;225;235;245;;245;245;1;162.92;160.97;154.65;;;Russia;;RPU;;2018-05-27;Russia;;Rostov-on-Don;Rostov-on-Don Deadlift Championships
Aleksey Koval;M;B;Raw;28;24-34;24-39;Open;87.1;90;;;;;;145;-152.5;-152.5;;145;;;;;;145;12;95.35;94.17;90.39;71.07;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
