Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kozlov #1;M;B;Single-ply;49;45-49;40-49;Amateur Masters 45-49;101.7;110;;;;;;200;220;-240;;220;;;;;;220;1;134.44;133.01;127.01;69.36;Yes;Russia;;NAP;IPA;2019-10-06;Russia;SVE;Yekaterinburg;Golden Tiger 13
Aleksey Kozlov #1;M;D;Raw;49;45-49;40-49;Pro Open;102.5;100+;;;;;;;;;;;240;260;-270;;260;260;1;158.36;156.73;149.65;;;Russia;;NAP;IPA;2019-08-10;Russia;CHE;Chelyabinsk;Moto Gym III
Aleksey Kozlov #1;M;B;Unlimited;48;45-49;40-49;Pro Masters 45-49;103.15;110;;;;;;230;250;-270;;250;;;;;;250;1;151.87;150.35;143.56;78.28;;Russia;;NAP;IPA;2019-04-13;Russia;SVE;Yekaterinburg;Russian Spring IV
Aleksey Kozlov #1;M;B;Unlimited;48;45-49;40-49;Pro Masters 45-49;99.4;100;;;;;;-260;260;-275;;260;;;;;;260;1;160.45;158.62;151.51;82.92;;Russia;;NAP;IPA;2018-12-16;Russia;SVE;Yekateriburg;Eurasian Union Championships
Aleksey Kozlov #1;M;B;Unlimited;48;45-49;40-49;Pro Masters 45-49;103.55;110;;;;;;255;270;-280;;270;;;;;;270;1;163.76;162.14;154.82;84.38;;Russia;;NAP;IPA;2018-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 12
Aleksey Kozlov #1;M;B;Unlimited;47;45-49;40-49;Pro Masters 45-49;103.2;110;;;;;;190;220;250;;250;;;;;;250;1;151.84;150.32;143.53;78.26;;Russia;;NAP;IPA;2018-04-14;Russia;SVE;Yekaterinburg;European Cup
Aleksey Kozlov #1;M;SBD;Wraps;47;45-49;40-49;Pro Masters 45-49;110.1;125;245;265;280;;280;235;250;270;;270;245;275;300;;300;850;1;503.25;500.08;477.96;102.68;;Russia;;NAP;IPA;2017-11-18;Russia;SVE;Yekaterinburg;Gantela Life & Fit 6
Aleksey Kozlov #1;M;D;Raw;47;45-49;40-49;Pro Masters 45-49;110.5;125;;;;;;;;;;;282.5;302.5;;;302.5;302.5;1;178.86;177.77;169.93;;;Russia;;NAP;IPA;2017-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 11
Aleksey Kozlov #1;M;B;Unlimited;47;45-49;40-49;Pro Masters 45-49;104.4;110;;;;;;200;215;250;;250;;;;;;250;1;151.12;149.69;142.94;77.83;;Russia;;NAP;IPA;2017-06-08;Russia;KDA;Sochi;Olympia IV
Aleksey Kozlov #1;M;D;Raw;46;45-49;40-49;Pro Masters 40-49;105.6;110;;;;;;;;;;;290;307.5;-320;;307.5;307.5;1;185.03;183.38;175.12;;;Russia;;WRPF;WRPF;2017-04-08;Russia;;Yashankin;Yashankin Cup
Aleksey Kozlov #1;M;D;Raw;46;45-49;40-49;Pro Open;105.6;110;;;;;;;;;;;290;307.5;-320;;307.5;307.5;1;185.03;183.38;175.12;;;Russia;;WRPF;WRPF;2017-04-08;Russia;;Yashankin;Yashankin Cup
Aleksey Kozlov #1;M;D;Raw;46;45-49;40-49;Open;105.2;110;;;;;;;;;;;280;300;315;;315;315;1;189.83;188.10;179.62;;;Russia;;RPU;;2017-03-18;Russia;SVE;Yekaterinburg;Gantelä Lift & Fit V- Rise of the Machines
Aleksey Kozlov #1;M;D;Raw;46;45-49;40-49;Masters 45-49;105.2;110;;;;;;;;;;;280;300;315;;315;315;1;189.83;188.10;179.62;;;Russia;;RPU;;2017-03-18;Russia;SVE;Yekaterinburg;Gantelä Lift & Fit V- Rise of the Machines
