Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kunichkin;M;B;Multi-ply;36;35-39;24-39;Pro Open;99;100;;;;;;200;220;235;;235;;;;;;235;1;145.28;143.60;137.18;75.10;;Russia;;WRPF;WRPF;2017-12-16;Russia;;Saratov;Steel Character Tournament
Aleksey Kunichkin;M;B;Multi-ply;44;40-44;40-49;Pro Masters 40-44;98.45;100;;;;;;-220;220;-232.5;;220;;;;;;220;2;136.34;134.74;128.73;70.51;;Russia;;NAP;IPA;2017-06-08;Russia;KDA;Sochi;Olympia IV
Aleksey Kunichkin;M;B;Multi-ply;43;40-44;40-49;Amateur Masters 40-44;97.5;100;;;;;;200;-210;;;200;;;;;;200;1;124.49;123.00;117.54;64.43;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksey Kunichkin;M;B;Multi-ply;;40-44;40-49;Amateur Masters 40-44;96.8;100;;;;;;-200;200;-222.5;;200;;;;;;200;1;124.89;123.38;117.92;64.68;Yes;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
Aleksey Kunichkin;M;B;Multi-ply;41.5;40-44;40-49;Pro Masters 40-44;100;100;;;;;;200;220;-230;;220;;;;;;220;1;135.41;133.89;127.88;69.95;;Russia;;NAP;IPA;2015-03-28;Russia;SAR;Saratov;Asian Championships
Aleksey Kunichkin;M;B;Multi-ply;40.5;40-44;40-49;Pro Masters 40-44;98;100;;;;;;210;-230;-230;;210;;;;;;210;1;130.41;128.87;123.13;67.47;;Russia;;NAP;IPA;2014-11-15;Russia;SAR;Saratov;Volga Power 2
Aleksey Kunichkin;M;B;Multi-ply;41;40-44;40-49;Pro Masters 40-44;99.35;100;;;;;;200;225;-240;;225;;;;;;225;1;138.88;137.29;131.14;71.78;;Russia;;NAP;IPA;2014-10-17;Russia;SVE;Yekaterinburg;World Championships & Golden Tiger 8
Aleksey Kunichkin;M;B;Raw;40.5;40-44;40-49;Amateur Masters 40-44;98;100;;;;;;170;-175;-175;;170;;;;;;170;1;105.57;104.32;99.68;78.63;Yes;Russia;;NAP;IPA;2014-03-28;Russia;SAR;Saratov;Russian Championships
Aleksey Kunichkin;M;B;Raw;40.5;40-44;40-49;Amateur Open;98;100;;;;;;170;-175;-175;;170;;;;;;170;2;105.57;104.32;99.68;78.63;Yes;Russia;;NAP;IPA;2014-03-28;Russia;SAR;Saratov;Russian Championships
Aleksey Kunichkin;M;B;Raw;39.5;35-39;40-49;Pro Masters 40-44;99;100;;;;;;165;-180;-180;;165;;;;;;165;1;102.01;100.83;96.32;75.95;;Russia;;NAP;IPA;2013-11-16;Russia;SAR;Engels;Volga Power
Aleksey Kunichkin;M;B;Raw;40;40-44;40-49;Pro Masters 40-49;99.9;100;;;;;;160;175;177.5;;177.5;;;;;;177.5;2;109.30;108.07;103.22;81.36;;Russia;;IPA;;2013-05-30;Russia;KDA;Sochi;World Cup
Aleksey Kunichkin;M;B;Multi-ply;40;40-44;40-49;Pro Masters 40-49;99.9;100;;;;;;160;190;-200;;190;;;;;;190;1;117.00;115.68;110.49;60.44;;Russia;;IPA;;2013-05-30;Russia;KDA;Sochi;World Cup
Aleksey Kunichkin;M;B;Raw;39;35-39;40-49;Pro Open;99;100;;;;;;165;170;-175;;170;;;;;;170;2;105.10;103.88;99.24;78.25;;Russia;;NAP;IPA;2013-03-29;Russia;SAR;Saratov;Asian Championships
Aleksey Kunichkin;M;B;Raw;39;35-39;24-39;Pro Open;98;100;;;;;;160;-175;-175;;160;;;;;;160;1;99.36;98.18;93.81;74.01;;Russia;;NAP;IPA;2012-11-17;Russia;SAR;Saratov;Privolzhsky Championships
Aleksey Kunichkin;M;B;Raw;37.5;35-39;24-39;Pro Open;99;110;;;;;;140;150;-155;;150;;;;;;150;1;92.73;91.66;87.56;69.05;;Russia;;NAP;IPA;2011-10-04;Russia;SAR;Saratov;Saratov Championships
