Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Kuzin;M;B;Single-ply;25.5;24-34;24-39;Open;63.65;66;;;;;;135;140;-142.5;;140;;;;;;140;3;112.74;113.32;110.31;63.14;Yes;;;FPR;IPF;2018-10-06;Russia;CU;Novocheboksarsk;Volga Bench Press Championships
Aleksey Kuzin;M;B;Raw;24.5;24-34;24-39;Open;63.9;66;;;;;;125;-130;130;;130;;;;;;130;2;104.37;104.88;102.07;75.05;Yes;;;FPR;IPF;2017-06-09;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Kuzin;M;B;Raw;24.5;24-34;24-39;Open;62.6;66;;;;;;120;125;130;;130;;;;;;130;3;106.05;106.75;104.01;75.91;Yes;;;FPR;IPF;2017-02-03;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksey Kuzin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;80.85;83;;;;;150;;;;;100;;;;;175;425;11;291.25;288.24;277.59;49.84;Yes;;;FPR;IPF;2016-04-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksey Kuzin;M;B;Raw;23.5;24-34;24-39;Open;64.8;66;;;;;;130;135;-140;;135;;;;;;135;2;107.24;107.63;104.68;77.35;Yes;;;FPR;IPF;2016-02-05;Russia;CU;Novocheboksarsk;Volga Bench Press Championships
Aleksey Kuzin;M;B;Raw;21.5;20-23;19-23;Open;63.3;66;;;;;;115;120;125;;125;;;;;;125;3;101.09;101.66;98.99;72.54;Yes;;;FPR;IPF;2014-02-13;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksey Kuzin;M;B;Raw;20.5;20-23;19-23;Paralympics;63.3;65;;;;;;105;110;112;;112;;;;;;112;3;90.58;91.09;88.70;65.00;Yes;;;FPR;IPF;2013-09-25;Russia;LEN;St. Petersburg;Russian Paralympic Cup
Aleksey Kuzin;M;B;Raw;20.5;20-23;19-23;Open;64.2;66;;;;;;100;105;110;;110;;;;;;110;2;88.00;88.39;86.00;63.34;Yes;;;FPR;IPF;2013-06-07;Russia;NIZ;Nizhny Novgorod;All-Russian Bench Press Tournament
Aleksey Kuzin;M;B;Single-ply;20.5;20-23;19-23;Juniors;58.6;59;;;;;;100;105;-110;;105;;;;;;105;2;90.38;91.53;89.50;52.18;Yes;;;FPR;IPF;2013-02-14;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksey Kuzin;M;B;Raw;36.5;35-39;24-39;Amateur Open;88.1;90;;;;;;-147.5;-155;-155;;;;;;;;;DQ;;;;;Yes;;;WPC-RUS;WPC;2009-12-18;Russia;KRS;Kursk;Nosorog Pro
