Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Larionov;M;B;Single-ply;37.5;35-39;24-39;Open;63.3;66;;;;;;-165;-165;-165;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2019-02-20;Russia;SVE;Yekaterinburg;Russian Bench Press Championships
Aleksey Larionov;M;B;Single-ply;37.5;35-39;24-39;Open;66;66;;;;;;165;175;-177.5;;175;;;;;;175;2;137.12;137.41;133.52;75.93;Yes;Russia;;FPR;IPF;2019-01-10;Russia;SVE;Rezh;Ural Bench Press Championships
Aleksey Larionov;M;B;Single-ply;35.5;35-39;24-39;Open;62.7;66;;;;;;155;165;170;;170;;;;;;170;1;138.51;139.41;135.81;77.96;Yes;Russia;;FPR;IPF;2017-01-30;Russia;SVE;Rezh;Ural Bench Press Championships
Aleksey Larionov;M;B;Single-ply;33.5;24-34;24-39;Open;63;66;;;;;;-160;-160;-165;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2015-11-23;Russia;SVE;Nizhny Tagil;Russian Bench Press Cup
Aleksey Larionov;M;B;Single-ply;33.5;24-34;24-39;Open;64.6;66;;;;;;157.5;-165;-165;;157.5;;;;;;157.5;1;125.41;125.89;122.46;69.90;Yes;Russia;;FPR;IPF;2015-02-05;Russia;SVE;Nizhny Tagil;Ural Bench Press Championships
Aleksey Larionov;M;D;Raw;38;35-39;24-39;Amateur Open;88.7;90;;;;;;;;;;;225;235;237.5;;237.5;237.5;1;154.71;152.76;146.50;;Yes;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Aleksey Larionov;M;SBD;Raw;38;35-39;24-39;Amateur Open;86.1;90;200;210;215;;215;155;160;-165;;160;230;240;-245;;240;615;2;406.91;401.97;386.01;83.58;Yes;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Aleksey Larionov;M;B;Raw;38;35-39;24-39;Amateur Open;88.7;90;;;;;;152.5;160;-162.5;;160;;;;;;160;4;104.22;102.91;98.70;77.71;Yes;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Aleksey Larionov;M;B;Single-ply;32.5;24-34;24-39;Open;64.2;66;;;;;;-150;-155;-155;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2014-02-03;Russia;SVE;Yekaterinburg;Ural Bench Press Championships
Aleksey Larionov;M;SBD;Raw;37;35-39;24-39;Amateur Open;98.6;100;195;-220;-220;;195;-142.5;155;-162.5;;155;220;240;;;240;590;11;365.40;361.13;345.01;75.04;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksey Larionov;M;D;Raw;35.5;35-39;24-39;Amateur Open;99.5;100;;;;;;;;;;;232.5;237.5;242.5;;242.5;242.5;1;149.59;147.88;141.25;;Yes;Russia;;WPC-RUS;WPC;2012-10-25;Russia;MOW;Moscow;PROdvijenie Championships
Aleksey Larionov;M;SBD;Single-ply;24.5;24-34;24-39;Open;59.1;60;;;;;150;;;;;80;;;;;175;405;5;346.14;350.25;342.31;58.89;Yes;Russia;;FPR;IPF;2006-12-01;Russia;SVE;Sverdlovsk;Sverdlovsk Oblast Powerlifting Championships
