Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Lukyanov;M;B;Multi-ply;17;16-17;14-18;Amateur Teen 17-19;95;100;;;;;;120;-135;-140;;120;;;;;;120;1;75.58;74.64;71.39;39.21;Yes;Russia;;NAP;IPA;2020-03-21;Russia;NVS;Berdsk;Siberian Federal District Cup
Aleksey Lukyanov;M;SBD;Multi-ply;17;16-17;14-18;Amateur Teen 17-19;95;100;125;135;145;;145;120;-135;-140;;120;125;140;150;;150;415;1;261.40;258.14;246.88;44.52;Yes;Russia;;NAP;IPA;2020-03-21;Russia;NVS;Berdsk;Siberian Federal District Cup
Aleksey Lukyanov;M;SBD;Wraps;16;16-17;14-18;Amateur Teen 14-16;96.15;100;105;115;125;;125;70;80;87.5;;87.5;120;135;145;;145;357.5;1;223.93;221.18;211.45;46.02;Yes;Russia;;NAP;IPA;2019-12-14;Russia;NVS;Berdsk;Steel Arena 9
Aleksey Lukyanov;M;B;Multi-ply;30.5;24-34;24-39;Pro Open;96.2;100;;;;;;200;;;;200;;;;;;200;1;125.25;123.71;118.27;64.90;;Russia;;WPC;WPC;2015-02-07;Russia;KDA;Krasnodar;Eastern Europe Championships
Aleksey Lukyanov;M;B;Multi-ply;29;24-34;24-39;Amateur Open;88.9;90;;;;;;-185;185;-195;;185;;;;;;185;2;120.37;118.85;113.97;62.89;Yes;Russia;;WPC-RUS;WPC;2014-07-25;Russia;KDA;Krasnodar;Svetogor Pro
Aleksey Lukyanov;M;B;Raw;28.5;24-34;24-39;Pro Open;88.2;90;;;;;;140;150;-157.5;;150;;;;;;150;3;98.00;96.77;92.83;73.06;;Russia;;WPC;WPC;2013-04-04;Russia;KDA;Krasnodar;Eurasian Championships
Aleksey Lukyanov;M;D;Raw;19;18-19;19-23;Amateur Open;59.7;60;;;;;;;;;;;180;190;-200;;190;190;1;161.03;162.79;159.01;;Yes;Russia;;WPC;WPC;2012-04-18;Russia;ROS;Rostov-on-Don;European Championships
Aleksey Lukyanov;M;D;Raw;19;18-19;19-23;Pro Teen;59.4;60;;;;;;;;;;;180;190;-200;;190;190;1;161.70;163.55;159.80;;;Russia;;WPC-RUS;WPC;2012-03-18;Russia;SAR;Engels;Saratov Bench Press & Deadlift Championships
Aleksey Lukyanov;M;SBD;Raw;19;18-19;19-23;Pro Open;58.9;60;-125;130;-135;;130;75;80;-85;;80;160;170;180;;180;390;1;334.26;338.34;330.74;64.59;;Russia;;WPC-RUS;WPC;2011-11-21;Russia;SAR;Saratov;Saratov Championships
Aleksey Lukyanov;M;SBD;Single-ply;39.5;35-39;40-49;Open;100.45;105;;;;;300;;;;;220;;;;;280;800;2;491.46;486.00;464.16;83.48;Yes;Russia;;FPR;IPF;2011-05-27;Russia;KHM;Khanty-Mansiysk;Ugra Cup
Aleksey Lukyanov;M;SBD;Raw;17.5;18-19;14-18;Pro Open;59.75;60;120;130;135;;135;-75;75;80;;80;160;170;175;;175;390;1;330.31;333.89;326.13;64.10;;Russia;;WPC-RUS;WPC;2010-12-04;Russia;SAR;Saratov;Viktor Baranchikov Memorial
Aleksey Lukyanov;M;SBD;Wraps;17;16-17;14-18;Pro Teen;59.7;60;-115;120;130;;130;75;-80;82.5;;82.5;162.5;172.5;177.5;;177.5;390;1;330.54;334.15;326.39;64.13;;Russia;;WPC-RUS;WPC;2010-03-04;Russia;;Saratov;All Russia Powerlifting and Bench Press Meet for Cash
