Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Makarenko;M;D;Raw;40;40-44;40-49;Open;118.5;125;;;;;;;;;;;220;230;-240;;230;230;1;132.65;132.63;127.07;;;Russia;;RPU;;2021-12-26;Russia;MOW;Ramenskoye;Lime Gym Cup
Aleksey Makarenko;M;SBD;Raw;40;40-44;40-49;Pro Masters 40-49;118.8;125;200;-215;215;;215;155;-165;-165;;155;210;-225;225;;225;595;3;342.87;342.89;328.54;69.47;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Makarenko;M;SBD;Raw;40;40-44;40-49;Pro Open;118.8;125;200;-215;215;;215;155;-165;-165;;155;210;-225;225;;225;595;6;342.87;342.89;328.54;69.47;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Makarenko;M;B;Raw;40;40-44;40-49;Open;119;125;;;;;;150;160;-170;;160;;;;;;160;3;92.15;92.17;88.31;67.74;;Russia;;RPU;;2021-06-26;Russia;MOW;Zhukovsky;Constellation of Power
Aleksey Makarenko;M;D;Raw;40;40-44;40-49;Open;119;125;;;;;;;;;;;220;230;-235;;230;230;1;132.46;132.49;126.95;;;Russia;;RPU;;2021-06-26;Russia;MOW;Zhukovsky;Constellation of Power
Aleksey Makarenko;M;SBD;Raw;40;40-44;40-49;Open;119.5;125;190;200;-215;;200;155;165;-170;;165;210;225;-235;;225;590;3;339.31;339.53;325.35;68.71;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksey Makarenko;M;SBD;Raw;40;40-44;40-49;Pro Open;120;125;190;215;-220;;215;150;162.5;;;162.5;210;235;;;235;612.5;1;351.76;352.14;337.44;71.20;;Russia;;WRPF;WRPF;2021-04-10;Russia;KIR;Kirov;Living Steel
Aleksey Makarenko;M;SBD;Wraps;40;40-44;40-49;Open;119;125;190;200;210;;210;150;160;-165;;160;210;230;-235;;230;600;1;345.55;345.63;331.17;70.00;;Russia;;RPU;;2021-03-28;Russia;MOW;Dolgoprudny;National Cup
Aleksey Makarenko;M;SBD;Raw;39;35-39;24-39;Pro Open;115.6;125;180;-200;200;;200;150;-160;-160;;150;200;220;-230;;220;570;1;331.56;330.74;316.65;67.36;;Russia;;WRPF;WRPF;2020-08-08;Russia;MOW;Moscow;European Championships
Aleksey Makarenko;M;SBD;Raw;38;35-39;24-39;Pro Open;114.3;125;170;185;;;185;140;150;;;150;200;215;-220;;215;550;7;321.21;320.10;306.34;65.32;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksey Makarenko;M;SBD;Raw;38;35-39;24-39;Open;113.6;125;-180;180;-190;;180;140;-150;-150;;140;180;200;210;;210;530;5;310.21;308.98;295.63;63.12;;Russia;;IPL;IPL;2019-11-15;Russia;MOW;Dolgoprudny;World Cup
Aleksey Makarenko;M;SBD;Raw;38;35-39;24-39;Open;108.4;110;150;165;170;;170;130;-140;-140;;130;160;180;200;;200;500;4;297.79;295.60;282.41;60.83;;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksey Makarenko;M;B;Single-ply;30.5;24-34;24-39;Open;73.6;74;;;;;;;;;;142.5;;;;;;142.5;6;103.49;102.90;99.50;55.75;Yes;Russia;;FPR;IPF;2017-11-24;Russia;KDA;Krasnodar;Krasnodar Oblast Powerlifting Championships
Aleksey Makarenko;M;B;Raw;30.5;24-34;24-39;Open;81.5;83;;;;;;;;;;152.5;;;;;;152.5;1;104.02;102.92;99.08;77.32;Yes;Russia;;FPR;IPF;2017-11-22;Russia;KDA;Krasnodar;Krasnodar Oblast Juniors & Sub-Juniors Powerlifting Championships
Aleksey Makarenko;M;D;Raw;28;24-34;24-39;Open;113.9;125;;;;;;;;;;;210;225;240;;240;240;1;140.34;139.82;133.79;;Yes;Russia;;RPU;;2017-09-23;Russia;;Serpukhov;Oskie Bogatyri IV & Moscow Powerlifting Cup
Aleksey Makarenko;M;SBD;Single-ply;31.5;24-34;24-39;Open;91.8;93;;;;;285;;;;;185;;;;;260;730;26;467.40;461.45;441.89;79.71;Yes;Russia;;FPR;IPF;2017-04-30;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksey Makarenko;M;B;Single-ply;30.5;24-34;24-39;Open;79;83;;;;;;;;;;145;;;;;;145;8;100.73;99.79;96.20;53.53;Yes;Russia;;FPR;IPF;2017-04-21;Russia;KDA;Krasnodar;Krasnodar Oblast Powerlifting & Bench Press Championships
Aleksey Makarenko;M;D;Raw;27;24-34;24-39;Open;107.3;110;;;;;;;;;;;210;225;-240;;225;225;1;134.54;133.46;127.48;;Yes;Russia;;RPU;;2016-09-24;Russia;MOW;Serpukhov;Moscow Cup
Aleksey Makarenko;M;B;Raw;29.5;24-34;24-39;Open;74;74;;;;;;125;130;132.5;;132.5;;;;;;132.5;3;95.88;95.31;92.14;70.66;Yes;Russia;;FPR;IPF;2016-03-20;Russia;STA;Pyatigorsk;Pyatigorsk Classic Bench Press Championships
Aleksey Makarenko;M;D;Raw;25.5;24-34;24-39;Open;97.2;100;;;;;;;;;;;200;215;232.5;;232.5;232.5;1;144.92;143.17;136.83;;Yes;Russia;;RPU;;2015-09-26;Russia;MOW;Serpukhov;Moscow Cup
Aleksey Makarenko;M;D;Raw;25;24-34;24-39;Amateur Open;96.9;100;;;;;;;;;;;190;-202.5;-202.5;;190;190;4;118.59;117.16;111.97;;Yes;Russia;;WPC-RUS;WPC;2014-10-04;Russia;KRS;Kursk;Central Federal District Championships
