Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Maklakov;M;B;Raw;24;24-34;24-39;Amateur Open;67;67.5;;;;;;170;175;-177.5;;175;;;;;;175;1;135.61;135.74;131.80;98.45;Yes;Russia;;NAP;IPA;2016-12-17;Russia;SVE;Yekaterinbourg;Eurasian Cup
Aleksey Maklakov;M;B;Raw;24;24-34;24-39;Amateur Open;66.6;67.5;;;;;;170;-175;-175;;170;;;;;;170;1;132.31;132.50;128.70;95.95;Yes;Russia;;NAP;IPA;2016-09-30;Russia;SVE;Yekaterinburg;Golden Tiger 10
Aleksey Maklakov;M;B;Raw;24;24-34;24-39;Amateur Open;66.15;67.5;;;;;;-170;173.5;-175;;173.5;;;;;;173.5;1;135.71;135.98;132.12;98.29;Yes;Russia;;NAP;IPA;2016-04-16;Russia;SVE;Verkhnyaya Pyshma;European Championships
Aleksey Maklakov;M;B;Raw;24;24-34;24-39;Amateur Open;66.4;67.5;;;;;;167.5;-173;-173;;167.5;;;;;;167.5;1;130.66;130.87;127.13;94.69;Yes;Russia;;NAP;IPA;2016-03-05;Russia;CHE;Chelyabinsk;Russian Championships
Aleksey Maklakov;M;B;Raw;23;20-23;19-23;Amateur Juniors 20-23;65.3;67.5;;;;;;160;162.5;163.5;;163.5;;;;;;163.5;1;129.13;129.52;125.92;93.28;Yes;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
Aleksey Maklakov;M;B;Raw;23;20-23;19-23;Amateur Juniors 20-23;65.6;67.5;;;;;;-155;155;-160;;155;;;;;;155;1;122.00;122.32;118.89;88.21;Yes;Russia;;NAP;IPA;2015-04-05;Russia;SVE;Yekaterinbourg;European Championships
Aleksey Maklakov;M;B;Raw;22;20-23;19-23;Amateur Juniors 20-23;66.7;67.5;;;;;;147.5;152.5;157.5;;157.5;;;;;;157.5;1;122.45;122.61;119.08;88.82;Yes;Russia;;NAP;IPA;2014-10-17;Russia;SVE;Yekaterinburg;World Championships & Golden Tiger 8
Aleksey Maklakov;M;B;Raw;22;20-23;19-23;Amateur Juniors 20-23;65.5;67.5;;;;;;150;-160;-160;;150;;;;;;150;1;118.20;118.52;115.21;85.44;Yes;Russia;;NAP;IPA;2014-04-18;Russia;SVE;Yekaterinbourg;European Championships
Aleksey Maklakov;M;B;Raw;22;20-23;19-23;Amateur Juniors 20-23;64.2;67.5;;;;;;150;155;160;;160;;;;;;160;1;128.00;128.57;125.10;92.14;Yes;Russia;;WPC;WPC;2014-02-08;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksey Maklakov;M;B;Raw;21;20-23;19-23;Amateur Juniors 20-23;65.2;67.5;;;;;;142.5;-150;150;;150;;;;;;150;1;118.60;118.97;115.68;85.65;Yes;Russia;;WPC;WPC;2013-11-30;Russia;SVE;Yekaterinburg;Asian Cup
Aleksey Maklakov;M;B;Raw;21;20-23;19-23;Amateur Juniors 20-23;63.4;67.5;;;;;;130;135;140;;140;;;;;;140;2;113.08;113.71;110.71;81.18;Yes;Russia;;NAP;IPA;2013-10-04;Russia;SVE;Yekaterinburg;Golden Tiger 7
Aleksey Maklakov;M;B;Multi-ply;19;18-19;19-23;Pro Teen 18-19;65.1;67.5;;;;;;67.5;-155;-155;-155;67.5;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2011-02-05;Russia;SVE;Yekaterinburg;Ural Championships
Aleksey Maklakov;M;B;Raw;19;18-19;19-23;Pro Teen 18-19;65.1;67.5;;;;;;135;-145;145;;145;;;;;;145;1;114.78;115.16;111.97;82.86;;Russia;;WPC-RUS;WPC;2011-02-05;Russia;SVE;Yekaterinburg;Ural Championships
Aleksey Maklakov;M;B;Raw;17;16-17;14-18;Amateur Teen 16-17;60;60;;;;;;100;-115;-115;;100;;;;;;100;1;84.40;85.29;83.28;59.78;Yes;Russia;;WPC-RUS;WPC;2009-10-02;Russia;SVE;Yekaterinburg;Golden Tiger
