Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Melnik;M;B;Raw;30.5;24-34;24-39;Pro.Open;91.5;100;;;;;;175;182.5;-190;;182.5;;;;;;182.5;2;117.04;115.55;110.66;87.28;;Russia;;WPUF;;2021-07-25;Ukraine;;Odessa;Zal Open Cup
Aleksey Melnik;M;D;Raw;30.5;24-34;24-39;Pro.Open;91.5;100;;;;;;;;;;;305;-315;;;305;305;1;195.60;193.11;184.94;;;Russia;;WPUF;;2021-07-25;Ukraine;;Odessa;Zal Open Cup
Aleksey Melnik;M;B;Raw;41;40-44;40-49;Open;100;100;;;;;;167.5;175;182.5;;182.5;;;;;;182.5;1;112.33;111.07;106.08;83.61;Yes;Russia;;RPU;;2018-11-04;Russia;PER;Perm;Rage of the Lion
Aleksey Melnik;M;B;Raw;37.5;35-39;24-39;Amateur Open;100;100;;;;;;187.5;195;-202.5;;195;;;;;;195;1;120.03;118.67;113.35;89.33;Yes;Russia;;NAP;IPA;2015-11-14;Russia;PER;Perm;Perm Period
Aleksey Melnik;M;B;Raw;37.5;35-39;24-39;Amateur Open;98.7;100;;;;;;182.5;190;197.5;;197.5;;;;;;197.5;1;122.26;120.84;115.44;91.04;Yes;Russia;;NAP;IPA;2015-04-05;Russia;SVE;Yekaterinbourg;European Championships
Aleksey Melnik;M;B;Raw;36.5;35-39;24-39;Amateur Open;98.95;100;;;;;;-190;195;200;;200;;;;;;200;1;123.67;122.24;116.77;92.09;Yes;Russia;;NAP;IPA;2014-11-29;Russia;PER;Perm;European Bench Press Cup
Aleksey Melnik;M;B;Multi-ply;36;35-39;24-39;Amateur Open;99.6;100;;;;;;-260;-265;-265;;;;;;;;;DQ;;;;;Yes;Russia;;NAP;IPA;2013-10-04;Russia;SVE;Yekaterinburg;Golden Tiger 7
Aleksey Melnik;M;B;Multi-ply;35.5;35-39;24-39;Amateur Open;98;100;;;;;;250;-255;-255;;250;;;;;;250;2;155.25;153.41;146.59;80.32;Yes;Russia;;NAP;IPA;2013-04-27;Russia;CHE;Chelyabinsk;Russian Championships
Aleksey Melnik;M;B;Multi-ply;35;35-39;24-39;Amateur Open;98.9;100;;;;;;-255;-260;-260;;;;;;;;;DQ;;;;;Yes;Russia;;NAP;IPA;2012-10-07;Russia;SVE;Yekaterinburg;Golden Tiger 6
Aleksey Melnik;M;B;Multi-ply;34.5;24-34;24-39;Amateur Open;99.6;100;;;;;;260;270;275;;275;;;;;;275;1;169.56;167.63;160.12;87.61;Yes;Russia;;NAP;IPA;2012-03-23;Russia;SVE;Yekaterinbourg;Asian Championships
Aleksey Melnik;M;B;Raw;32.5;24-34;24-39;Pro Open;100.6;110;;;;;;175;180;185;;185;;;;;;185;6;113.58;112.32;107.27;84.51;;Russia;;WPC;WPC;2010-09-29;Russia;SVE;Yekaterinburg;Asian Championships
Aleksey Melnik;M;B;Multi-ply;;;;Pro Open;99.2;100;;;;;;-250;-250;-255;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2009-02-26;Russia;CHE;Chelyabinsk;Russian National Championships
Aleksey Melnik;M;B;Multi-ply;30.5;24-34;24-39;Pro Open;97.6;100;;;;;;240;245;-252.5;;245;;;;;;245;2;152.42;150.60;143.92;78.89;;Russia;;WPC-RUS;WPC;2008-10-02;Russia;SVE;Yekaterinburg;Golden Tiger
Aleksey Melnik;M;B;Multi-ply;30.5;24-34;24-39;Pro Open;94.5;100;;;;;;235;240;-250;;240;;;;;;240;2;151.54;149.65;143.14;78.66;;Russia;;WPC-RUS;WPC;2008-07-12;Russia;PER;Perm;Perm Bench Press Cup
Aleksey Melnik;M;B;Multi-ply;30.5;24-34;24-39;Pro Open;97.5;100;;;;;;225;-235;235;;235;;;;;;235;2;146.27;144.52;138.11;75.71;;Russia;;WPC-RUS;WPC;2008-04-19;Russia;PER;Perm;Lysva Bench Press Cup
Aleksey Melnik;M;B;Multi-ply;30;24-34;24-39;Pro Open;95.9;100;;;;;;-230;-230;-230;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2008-03-18;Russia;ROS;Rostov-on-Don;Russian National Championships
Aleksey Melnik;M;B;Multi-ply;30.5;24-34;24-39;Pro Open;96.2;100;;;;;;230;-240;-240;;230;;;;;;230;2;144.03;142.27;136.01;74.64;;Russia;;WPC-RUS;WPC;2008-03-08;Russia;;Kungur;Perm Bench Press Championships
