Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Milovanov;M;D;Raw;31;24-34;24-39;Pro Open;89.8;90;;;;;;;;;;;200;215;-222.5;;215;215;2;139.18;137.41;131.71;;Yes;Russia;;WRPF;WRPF;2017-04-08;Russia;VGG;Volzhsky;South Russia Championship
Aleksey Milovanov;M;D;Raw;30.5;24-34;24-39;Amateur Open;89.2;90;;;;;;;;;;;190;-210;-210;;190;190;3;123.41;121.85;116.83;;Yes;Russia;;WPC-RUS;WPC;2016-06-04;Russia;VGG;Volgograd;Volgograd Oblast Championships
Aleksey Milovanov;M;SBD;Raw;37.5;35-39;24-39;Open;114;120;;;;;230;;;;;130;;;;;240;600;2;350.73;349.45;334.40;71.35;Yes;Russia;;FPR;IPF;2014-01-10;Russia;MOW;Moscow;Moscow City Сlassic Powerlifting Championships
Aleksey Milovanov;M;SBD;Raw;35.5;35-39;24-39;Amateur Open;120;125;200;-220;220;;220;130;-135;-135;;130;200;215;-230;;215;565;2;324.48;324.83;311.27;65.68;Yes;Russia;;WPC-RUS;WPC;2012-11-09;Russia;VLG;Vologda;Russian Cup
Aleksey Milovanov;M;B;Multi-ply;35.5;35-39;24-39;Open;127.2;140;;;;;;180;-187.5;-187.5;-330;180;;;;;;180;2;101.46;102.22;97.76;51.95;;Russia;;WPA;;2012-06-30;Russia;MOW;Moscow;European BP & DL Championships
Aleksey Milovanov;M;SBD;Multi-ply;34.5;24-34;24-39;Pro Open;128.4;140;300;330;340;;340;175;185;-190;;185;250;275;-295;;275;800;2;449.64;453.50;433.52;75.42;;Russia;;WPC-RUS;WPC;2011-02-24;Russia;MOW;Khotkovo;Moscow Powerlifting and Bench Press Championships
Aleksey Milovanov;M;B;Raw;34;24-34;24-39;Pro Open;119.7;125;;;;;;140;150;-172.5;;150;;;;;;150;7;86.22;86.29;82.69;63.35;;Russia;;WPC-RUS;WPC;2010-07-11;Russia;KDA;Krasnodar;Fitness Land Cup
Aleksey Milovanov;M;SBD;Multi-ply;33.5;24-34;24-39;Pro Open;121.4;125;-330;350;370;;370;190;200;210;;210;280;295;-305;;295;875;1;500.60;501.73;480.78;84.19;;Russia;;WPC-RUS;WPC;2010-04-23;Russia;MOW;Khotkovo;Moscow Regional Powerlifting and Bench Press Cup
Aleksey Milovanov;M;SBD;Multi-ply;32.5;24-34;24-39;Pro Open;119.5;;300;330;350;;350;180;-195;-195;;180;260;280;-305;;280;810;2;465.84;466.14;446.67;78.41;;Russia;;WPC-RUS;WPC;2009-12-26;Russia;MOW;Moscow;Health Technologies Powerlifting and Bench Press Meet
Aleksey Milovanov;M;SBD;Multi-ply;32.5;24-34;24-39;Pro Open;123.8;125;-370;-370;-370;;;;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2009-10-16;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksey Milovanov;M;SBD;Multi-ply;32.5;24-34;24-39;Pro Open;125;125;360;-380;-380;;360;190;-202.5;-202.5;;190;290;-300;300;;300;850;2;481.74;484.37;463.53;80.90;;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
Aleksey Milovanov;M;B;Multi-ply;32.5;24-34;24-39;Pro Open;125;125;;;;;;-190;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
Aleksey Milovanov;M;SBD;Multi-ply;31.5;24-34;24-39;Pro Open;121.1;125;350;-370;-370;;350;180;190;195;;195;280;-300;-300;;280;825;2;472.37;473.32;453.57;79.45;;Russia;;WPC-RUS;WPC;2008-12-11;Russia;KRS;Kursk;Nosorog Pro Expo
Aleksey Milovanov;M;SBD;Multi-ply;31.5;24-34;24-39;Pro Open;122.3;125;-340;340;360;;360;180;-200;-200;;180;280;295;305;;305;845;1;482.27;483.74;463.47;81.08;;Russia;;WPC-RUS;WPC;2008-11-15;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Championships
Aleksey Milovanov;M;SBD;Multi-ply;31.5;24-34;24-39;Pro Open;102.5;110;-330;330;345;;345;140;180;-190;;180;270;285;-300;;285;810;1;493.36;488.27;466.23;83.72;;Russia;;WPC-RUS;WPC;2008-05-18;Russia;VLG;Vologda;Vologodskaya Powerliftng & Bench Press Cup
Aleksey Milovanov;M;B;Multi-ply;24.5;24-34;24-39;Pro Open;107.5;110;;;;;;-240;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2007-12-15;Russia;MOW;Pushkino;Golden Sable
