Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Molochkov;M;B;Raw;58;55-59;50-59;Pro Masters 55-59;81.9;82.5;;;;;;135;145;150;;150;;;;;;150;1;102.03;100.93;97.15;75.86;;Russia;;WPF-RUS;WPF;2021-04-25;Russia;MOW;Moscow;Grand Prix & Kremlin Press
Aleksey Molochkov;M;SBD;Raw;58;55-59;50-59;Pro Masters 55-59;81.9;82.5;180;190;-200;;190;137.5;145;-150;;145;200;217.5;225;;225;560;1;380.92;376.80;362.68;78.04;;Russia;;WPF;;2020-11-14;Russia;MOW;Moscow;World Championships
Aleksey Molochkov;M;SBD;Raw;58;55-59;50-59;Pro Masters 55-59;81.9;82.5;-150;-160;170;;170;120;125;130;;130;180;190;200;;200;500;1;340.11;336.43;323.82;69.68;;Russia;;WPF-RUS;WPF;2020-09-20;Russia;MOW;Moscow;PROMotion
Aleksey Molochkov;M;SBD;Raw;58;55-59;50-59;Pro Masters 55-59;81.9;82.5;-150;-160;170;;170;120;125;130;;130;180;190;200;;200;500;1;340.11;336.43;323.82;69.68;;Russia;;WPF-RUS;WPF;2020-09-19;Russia;MOW;Moscow;PROMotion
Aleksey Molochkov;M;B;Raw;57;55-59;50-59;Pro Masters 55-59;82;82.5;;;;;;135;140;145;;145;;;;;;145;1;98.56;97.49;93.83;73.29;;Russia;;WPF-RUS;WPF;2020-02-23;Russia;MOW;Moscow;Megapolis
Aleksey Molochkov;M;SBD;Raw;56;55-59;50-59;Open;81.2;82.5;185;192.5;-200;;192.5;142.5;147.5;-152.5;;147.5;205;212.5;222.5;;222.5;562.5;1;384.51;380.47;366.35;78.73;;Russia;;WPF;;2018-11-16;Russia;MOW;Moscow;World Championships
Aleksey Molochkov;M;SBD;Raw;56;55-59;50-59;Masters 55-59;81.2;82.5;185;192.5;-200;;192.5;142.5;147.5;-152.5;;147.5;205;212.5;222.5;;222.5;562.5;1;384.51;380.47;366.35;78.73;;Russia;;WPF;;2018-11-16;Russia;MOW;Moscow;World Championships
Aleksey Molochkov;M;B;Raw;55;55-59;50-59;Masters 55-59;81.8;82.5;;;;;;145;150;155;;155;;;;;;155;1;105.51;104.37;100.46;78.44;;Russia;;WPF;;2018-06-08;Russia;MOW;Moscow;European Championships
Aleksey Molochkov;M;B;Raw;55;55-59;50-59;Pro Masters 55-59;82.5;82.5;;;;;;135;140;145;;145;;;;;;145;1;98.22;97.14;93.46;73.06;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksey Molochkov;M;SBD;Raw;55;55-59;50-59;Pro Masters 55-59;82.5;82.5;175;185;190;;190;135;140;147.5;;147.5;190;200;212.5;;212.5;550;1;372.57;368.45;354.52;76.37;;Russia;;WPF-RUS;WPF;2017-12-16;Russia;MOW;Moscow;Russian Championships
Aleksey Molochkov;M;SBD;Raw;54;50-54;50-59;Pro Masters 50-54;82.4;82.5;177.5;185;190;;190;142.5;147.5;152.5;;152.5;200;-220;-225;;200;542.5;1;367.74;363.69;349.96;75.37;;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
