Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Permyakov;M;B;Raw;16;16-17;14-18;Amateur Teen 14-16;89.9;90;;;;;;95;-100;100;;100;;;;;;100;1;64.70;63.88;61.22;48.24;Yes;Russia;;WRPF;WRPF;2022-05-21;Russia;ZAB;Chita;Titans of Transbaikalia
Aleksey Permyakov;M;B;Raw;16;16-17;14-18;Amateur Teen 14-16;89;90;;;;;;95;-100;-100;;95;;;;;;95;1;61.78;61.00;58.49;46.06;Yes;Russia;;WRPF;WRPF;2021-11-13;Russia;ZAB;Chita;Semenov K. Memorial Tournament
Aleksey Permyakov;M;B;Raw;15;13-15;14-18;Pro Teen 14-16;90;90;;;;;;80;-85;85;;85;;;;;;85;1;54.96;54.26;52.01;40.99;;Russia;;WRPF;WRPF;2021-04-10;Russia;ZAB;Chita;Titans of Transbaikalia: Invincible Power
Aleksey Permyakov;M;B;Raw;34;24-34;24-39;Amateur Open;95.4;100;;;;;;150;162.5;165;;165;;;;;;165;5;103.73;102.44;97.96;77.32;Yes;Russia;;NAP;IPA;2017-09-28;Russia;SVE;Yekaterinburg;Golden Tiger 11
Aleksey Permyakov;M;B;Raw;31;24-34;24-39;Amateur Open;86.65;90;;;;;;-127.5;127.5;-135;;127.5;;;;;;127.5;22;84.07;83.04;79.72;62.66;Yes;Russia;;NAP;IPA;2014-10-17;Russia;SVE;Yekaterinburg;World Championships & Golden Tiger 8
Aleksey Permyakov;M;B;Raw;35.5;35-39;24-39;Pro Open;88.6;90;;;;;;200;207.5;-212.5;;207.5;;;;;;207.5;1;135.24;133.54;128.08;100.84;;Russia;;NAP;IPA;2014-04-18;Russia;SVE;Yekaterinbourg;European Championships
Aleksey Permyakov;M;B;Raw;34.5;24-34;24-39;Pro Open;87.6;90;;;;;;190;200;205;;205;;;;;;205;1;134.40;132.73;127.36;100.19;;Russia;;NAP;IPA;2013-04-27;Russia;CHE;Chelyabinsk;Russian Championships
Aleksey Permyakov;M;B;Raw;36.5;35-39;24-39;Open;90.4;93;;;;;;;;;;190;;;;;;190;1;122.58;121.02;115.97;91.41;Yes;Russia;;FPR;IPF;2012-02-19;Russia;CHE;Chelyabinsk;Chelyabinsk City Classic Bench Press Championships
Aleksey Permyakov;M;B;Raw;36;35-39;24-39;Pro Open;89.8;90;;;;;;180;190;197.5;;197.5;;;;;;197.5;3;127.85;126.23;120.99;95.34;;Russia;;WPC;WPC;2011-04-05;Russia;CHE;Chelyabinsk;Eastern European Championships
Aleksey Permyakov;M;B;Multi-ply;31;24-34;24-39;Pro Open;88.6;90;;;;;;220;-230;240;;240;;;;;;240;5;156.43;154.46;148.14;81.76;;Russia;;WPC;WPC;2006-08-16;Russia;SAM;Togliatti;European Cup
Aleksey Permyakov;M;B;Multi-ply;29.5;24-34;24-39;Pro Open;79.75;82.5;;;;;;210;-220;-222.5;;210;;;;;;210;2;145.07;143.65;138.43;76.97;;Russia;;WPC-RUS;WPC;2005-09-10;Russia;SAM;Togliatti;Russian Cup
Aleksey Permyakov;M;B;Multi-ply;29.5;24-34;24-39;Pro Open;82.4;82.5;;;;;;225;-235;-235;;225;;;;;;225;1;152.52;150.84;145.14;80.50;;Russia;;WPC-RUS;WPC;2005-03-17;Russia;STA;Mineralnie Vodi;Russian Nationals
Aleksey Permyakov;M;SBD;Single-ply;25.5;24-34;24-39;Open;104.4;110;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2004-01-22;Russia;CHE;Chelyabinsk;Urals & Volga Powerlifting Championships
Aleksey Permyakov;M;SBD;Single-ply;23.5;24-34;24-39;Open;91.6;100;;;;;250;;;;;;;;;;230;;DQ;;;;;Yes;Russia;;FPR;IPF;2002-12-28;Russia;CHE;Chelyabinsk;Chelyabinsk Oblast Powerlifting Championships
