Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Podzorov;M;B;Single-ply;31.5;24-34;24-39;Open;66;66;;;;;;-145;-145;-145;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2019-06-08;Russia;KGD;Guryevsk;Siberian Cup
Aleksey Podzorov;M;SBD;Raw;30.5;24-34;24-39;Open;65.65;66;;;;;165;;;;;105;;;;;210;480;7;377.58;378.55;367.93;75.04;Yes;;;FPR;IPF;2018-10-24;Russia;NVS;Berdsk;Russian Classic Powerlifting Cup
Aleksey Podzorov;M;SBD;Single-ply;29.5;24-34;24-39;Open;65.45;66;;;;;220;;;;;150;;;;;240;610;2;480.94;482.29;468.83;82.20;Yes;;;FPR;IPF;2017-09-13;Russia;KEM;Kemerovo;Russian Powerlifting Cup
Aleksey Podzorov;M;SBD;Raw;25.5;24-34;24-39;Open;65.35;66;;;;;182.5;;;;;122.5;;;;;225;530;1;418.34;419.57;407.90;83.05;Yes;;;FPR;IPF;2013-12-17;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksey Podzorov;M;SBD;Raw;24.5;24-34;24-39;Open;64.6;66;;;;;162.5;;;;;110;;;;;210;482.5;2;384.18;385.68;375.16;76.07;Yes;;;FPR;IPF;2012-12-18;Russia;KGD;Guryevsk;Siberian Powerlifting Championships
Aleksey Podzorov;M;SBD;Single-ply;21.5;20-23;19-23;Open;66.85;67.5;230;240;250;;250;140;147.5;-150;;147.5;230;245;-250;;245;642.5;4;498.70;499.25;484.83;85.28;Yes;;;FPR;IPF;2009-06-05;Russia;KGD;Guryevsk;Siberian Cup
Aleksey Podzorov;M;SBD;Single-ply;20.5;20-23;19-23;Open;66.55;67.5;;;;;250;;;;;147.5;;;;;240;637.5;3;496.45;497.18;482.92;84.89;Yes;;;FPR;IPF;2008-06-02;Russia;NVS;Berdsk;Siberian Cup
Aleksey Podzorov;M;SBD;Single-ply;19.5;20-23;19-23;Open;66.95;67.5;;;;;242.5;;;;;150;;;;;245;637.5;5;494.28;494.77;480.45;84.53;Yes;;;FPR;IPF;2007-04-20;Russia;MUR;Apatity;Siberian Cup
Aleksey Podzorov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;67.15;67.5;;;;;240;;;;;150;;;;;235;625;4;483.54;483.90;469.83;82.70;Yes;;;FPR;IPF;2007-03-22;Russia;KEM;Leninsk-Kuznetsky;Kemerovo Juniors Powerlifting Championships
Aleksey Podzorov;M;SBD;Single-ply;19.5;20-23;19-23;Open;67.35;67.5;;;;;235;;;;;140;;;;;220;595;5;459.33;459.57;446.15;78.57;Yes;;;FPR;IPF;2007-01-26;Russia;KYA;Nazarovo;Siberian Powerlifting Championships
