Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Polovov;M;B;Raw;27;24-34;24-39;Amateur Open;79.5;82.5;;;;;;140;145;152.5;;152.5;;;;;;152.5;1;105.55;104.53;100.74;78.32;Yes;;;WRPF;WRPF;2022-04-10;Russia;ULY;Ulyanovsk;Might of the Titans
Aleksey Polovov;M;B;Raw;25;24-34;24-39;Amateur Open;82.5;82.5;;;;;;165;172.5;177.5;;177.5;;;;;;177.5;1;120.24;118.91;114.41;89.43;Yes;;;WRPF;WRPF;2019-10-05;Russia;;Dimitrovgrad;Clash of Titans
Aleksey Polovov;M;B;Single-ply;24;24-34;24-39;Open;81.9;83;;;;;;220;227.5;-235;;227.5;;;;;;227.5;1;154.75;153.08;147.34;81.76;Yes;;;FPR;IPF;2018-10-06;Russia;CU;Novocheboksarsk;Volga Bench Press Championships
Aleksey Polovov;M;B;Single-ply;23;20-23;19-23;Open;81.8;83;;;;;;205;210;215;;215;;;;;;215;1;146.35;144.77;139.35;77.33;Yes;;;FPR;IPF;2017-10-05;Russia;NIZ;Kstovo;Russian Universities Bench Press Championships
Aleksey Polovov;M;B;Raw;23;20-23;19-23;Open;81.8;83;;;;;;160;-170;175;;175;;;;;;175;1;119.12;117.84;113.43;88.56;Yes;;;FPR;IPF;2017-10-05;Russia;NIZ;Kstovo;Russian Universities Classic Bench Press Championships
Aleksey Polovov;M;B;Single-ply;22;20-23;19-23;Open;81.45;83;;;;;;205;210;215;;215;;;;;;215;1;146.71;145.15;139.75;77.57;Yes;;;FPR;IPF;2017-06-09;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Polovov;M;B;Raw;22;20-23;19-23;Open;81.75;83;;;;;;167.5;175;-180;;175;;;;;;175;2;119.16;117.88;113.47;88.59;Yes;;;FPR;IPF;2017-06-09;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Polovov;M;B;Single-ply;22;20-23;19-23;Juniors;81;83;;;;;;195;200;205;;205;;;;;;205;1;140.33;138.87;133.73;74.27;Yes;;;FPR;IPF;2017-02-03;Russia;CU;Cheboksary;Volga Bench Press Championships
Aleksey Polovov;M;B;Single-ply;22;20-23;19-23;Open;78.1;83;;;;;;192.5;-200;-200;;192.5;;;;;;192.5;2;134.66;133.47;128.73;71.71;Yes;;;FPR;IPF;2016-10-06;Russia;NIZ;Kstovo;Russian Universities Bench Press Championships
Aleksey Polovov;M;B;Raw;22;20-23;19-23;Open;78.1;83;;;;;;155;162.5;-175;;162.5;;;;;;162.5;2;113.68;112.67;108.67;84.23;Yes;;;FPR;IPF;2016-10-06;Russia;NIZ;Kstovo;Russian Universities Classic Bench Press Championships
Aleksey Polovov;M;B;Raw;21;20-23;19-23;Juniors;80.4;83;;;;;;160;165;-175;;165;;;;;;165;2;113.44;112.29;108.17;84.25;Yes;;;FPR;IPF;2016-02-10;Russia;TAM;Tambov;Russian Juniors & Sub-Juniors Classic Bench Press Championships
Aleksey Polovov;M;B;Single-ply;21;20-23;19-23;Juniors;80.3;83;;;;;;195;202.5;207.5;;207.5;;;;;;207.5;1;142.77;141.33;136.15;75.66;Yes;;;FPR;IPF;2016-02-05;Russia;CU;Novocheboksarsk;Volga Bench Press Championships
Aleksey Polovov;M;B;Raw;21;20-23;19-23;Open;81.9;83;;;;;;160;170;-175;;170;;;;;;170;5;115.64;114.39;110.10;85.98;Yes;;;FPR;IPF;2015-11-23;Russia;SVE;Nizhny Tagil;Russian Classic Bench Press Cup
Aleksey Polovov;M;B;Single-ply;21;20-23;19-23;Open;81.3;83;;;;;;200;-207.5;-212.5;;200;;;;;;200;5;136.62;135.18;130.15;72.26;Yes;;;FPR;IPF;2015-11-23;Russia;SVE;Nizhny Tagil;Russian Bench Press Cup
Aleksey Polovov;M;B;Single-ply;20;20-23;19-23;Open;80.4;83;;;;;;175;185;195;;195;;;;;;195;3;134.07;132.71;127.84;71.04;Yes;;;FPR;IPF;2015-06-05;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Polovov;M;B;Raw;20;20-23;19-23;Open;79.4;83;;;;;;150;157.5;167.5;;167.5;;;;;;167.5;3;116.02;114.90;110.75;86.08;Yes;;;FPR;IPF;2015-06-05;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Polovov;M;B;Single-ply;20;20-23;19-23;Open;79.15;83;;;;;;177.5;185;190;;190;;;;;;190;3;131.85;130.60;125.89;70.05;Yes;;;FPR;IPF;2015-05-08;Russia;NIZ;Kstovo;Russian Universities Bench Press Championships
Aleksey Polovov;M;B;Raw;20;20-23;19-23;Open;79.85;83;;;;;;147.5;155;162.5;;162.5;;;;;;162.5;1;112.18;111.07;107.03;83.27;Yes;;;FPR;IPF;2015-05-08;Russia;NIZ;Kstovo;Russian Universities Bench Press Championships
Aleksey Polovov;M;SBD;Raw;20;20-23;19-23;Juniors;77.95;83;;;;;195;;;;;155;;;;;227.5;577.5;3;404.46;400.90;386.72;82.54;Yes;;;FPR;IPF;2014-12-22;Russia;VLA;Suzdal;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksey Polovov;M;SBD;Raw;19;18-19;19-23;Open;73.35;74;;;;;175;;;;;130;;;;;187.5;492.5;2;358.46;356.50;344.79;72.64;Yes;;;FPR;IPF;2013-10-02;Russia;SAM;Samara;Russian Universities Powerlifting Championsips
