Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Ridel;M;B;Single-ply;27.5;24-34;24-39;Open;90.35;93;;;;;;215;230;-240;;230;;;;;;230;4;148.43;146.54;140.42;77.40;Yes;Russia;;FPR;IPF;2016-06-10;Russia;NIZ;Kstovo;ZMS Maxim Guryanov Bench Press Tournament
Aleksey Ridel;M;SBD;Single-ply;25.5;24-34;24-39;Open;92.5;93;;;;;300;;;;;230;;;;;257.5;787.5;8;502.35;495.97;474.80;85.64;Yes;Russia;;FPR;IPF;2014-12-01;Russia;PER;Osa;Volga Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;25.5;24-34;24-39;Open;91.9;93;;;;;280;;;;;220;;;;;250;750;1;479.95;473.84;453.73;81.84;Yes;Russia;;FPR;IPF;2014-10-25;Russia;PER;Krasnokamsk;Perm Krai Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;25.5;24-34;24-39;Open;91.85;93;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2014-05-19;Russia;LEN;St. Petersburg;White Nights
Aleksey Ridel;M;SBD;Single-ply;25.5;24-34;24-39;Open;91;93;;;;;210;;;;;157.5;;;;;225;592.5;3;381.00;376.15;360.33;65.00;Yes;Russia;;FPR;IPF;2014-02-21;Russia;PER;Perm;Perm Krai Powerlifting Championships
Aleksey Ridel;M;SBD;Raw;25.5;24-34;24-39;Open;91;93;;;;;210;;;;;157.5;;;;;225;592.5;3;381.00;376.15;360.33;78.34;Yes;Russia;;FPR;IPF;2014-02-19;Russia;PER;Perm;Perm Krai Classic Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;24.5;24-34;24-39;Open;92.05;93;;;;;285;;;;;215;;;;;230;730;17;466.78;460.84;441.25;79.59;Yes;Russia;;FPR;IPF;2013-12-11;Russia;BA;Salavat;Volga Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;24.5;24-34;24-39;Open;91.35;93;;;;;285;;;;;225;;;;;240;750;1;481.37;475.24;455.18;82.10;Yes;Russia;;FPR;IPF;2013-11-02;Russia;PER;Krasnokamsk;Perm Krai Powerlifting Championships
Aleksey Ridel;M;B;Single-ply;24.5;24-34;24-39;Open;91.45;93;;;;;;-220;-220;-220;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2013-01-26;Russia;PER;Perm;Perm Krai Bench Press Championships
Aleksey Ridel;M;SBD;Single-ply;23.5;24-34;24-39;Open;89.7;93;;;;;280;;;;;200;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2012-11-03;Russia;PER;Solikamsk;Perm Krai Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;22.5;20-23;19-23;Open;90.1;93;;;;;280;;;;;200;;;;;230;710;8;458.83;453.00;434.14;78.30;Yes;Russia;;FPR;IPF;2011-12-21;Russia;PER;Perm;Volga Powerlifting Championships
Aleksey Ridel;M;SBD;Single-ply;22.5;20-23;19-23;Open;88.15;93;;;;;260;;;;;180;;;;;215;655;5;428.04;422.68;405.47;73.10;Yes;Russia;;FPR;IPF;2011-11-05;Russia;PER;Osa;Perm Krai Powerlifting Championships
