Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Rudko;M;B;Raw;46;45-49;40-49;Open;117;120;;;;;;185;190;-200;;190;;;;;;190;1;110.06;109.91;105.27;81.04;Yes;Russia;;FPR;IPF;2020-09-24;Russia;MOW;Moscow;Moscow City Bench Press Championships
Aleksey Rudko;M;B;Raw;45;45-49;40-49;Open;115.75;120;;;;;;200;205;212.5;;212.5;;;;;;212.5;1;123.55;123.26;118.02;91.06;Yes;Russia;;FPR;IPF;2019-10-05;Russia;MOW;Moscow;Moscow City Classic Bench Press Championships
Aleksey Rudko;M;B;Raw;45;45-49;40-49;Open;115.25;120;;;;;;180;190;195;;195;;;;;;195;1;113.55;113.24;108.40;83.72;Yes;Russia;;FPR;IPF;2019-07-04;Russia;MOW;Moscow;Moscow City Bench Press Cup
Aleksey Rudko;M;B;Raw;45;45-49;40-49;Open;115.75;120;;;;;;200;205;212.5;;212.5;;;;;;212.5;1;123.55;123.26;118.02;91.06;Yes;Russia;;FPR;IPF;2019-02-07;Russia;MOW;Moscow;Moscow Classic Bench Press Championships
Aleksey Rudko;M;B;Single-ply;44;40-44;40-49;Amateur Masters 40-44;114.8;125;;;;;;280;300;315;;315;;;;;;315;1;183.68;183.12;175.27;94.19;Yes;Russia;;WPC;WPC;2017-11-03;Russia;MOW;Khimki;World Champions Cup
Aleksey Rudko;M;B;Single-ply;44;40-44;40-49;Amateur Open;114.8;125;;;;;;280;300;315;;315;;;;;;315;1;183.68;183.12;175.27;94.19;Yes;Russia;;WPC;WPC;2017-11-03;Russia;MOW;Khimki;World Champions Cup
Aleksey Rudko;M;B;Raw;41;40-44;40-49;Amateur Masters 40-44;108.3;110;;;;;;180;192.5;200;;200;;;;;;200;1;119.16;118.28;113.00;88.29;Yes;Russia;;WPC;WPC;2015-08-12;Russia;KRS;Kursk;World Cup
Aleksey Rudko;M;B;Raw;41;40-44;40-49;Amateur Open;108.3;110;;;;;;180;192.5;200;;200;;;;;;200;2;119.16;118.28;113.00;88.29;Yes;Russia;;WPC;WPC;2015-08-12;Russia;KRS;Kursk;World Cup
Aleksey Rudko;M;B;Raw;40;40-44;40-49;M_MR_1_AWPC;108.8;110;;;;;;195;-202.5;-202.5;;195;;;;;;195;2;115.97;115.15;110.02;85.90;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksey Rudko;M;B;Raw;40;40-44;40-49;M_OR_AWPC;108.8;110;;;;;;195;-202.5;-202.5;;195;;;;;;195;4;115.97;115.15;110.02;85.90;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
