Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Rybin;M;B;Single-ply;19.5;20-23;19-23;Open;53;53;;;;;;55;60;-65;;60;;;;;;60;1;56.45;57.72;56.78;34.22;Yes;;;FPR;IPF;2019-12-21;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksey Rybin;M;B;Single-ply;19.5;20-23;19-23;Open;52.6;53;;;;;;55;60;62.5;;62.5;;;;;;62.5;2;59.22;60.60;59.64;36.05;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksey Rybin;M;B;Single-ply;19.5;20-23;19-23;Juniors;52.6;53;;;;;;55;60;62.5;;62.5;;;;;;62.5;2;59.22;60.60;59.64;36.05;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksey Rybin;M;SBD;Raw;19.5;20-23;19-23;Juniors;52.48;53;;;;;90;;;;;60;;;;;110;260;1;246.87;252.70;248.73;45.82;Yes;;;FPR;IPF;2019-03-23;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Rybin;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;51.82;53;;;;;115;;;;;60;;;;;120;295;1;283.48;290.53;286.18;47.73;Yes;;;FPR;IPF;2019-03-23;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Rybin;M;B;Single-ply;18.5;18-19;19-23;Open;52.7;59;;;;;;60;62.5;65;;65;;;;;;65;3;61.48;62.90;61.90;37.39;Yes;;;FPR;IPF;2018-12-15;Russia;IRK;Irkutsk;Irkutsk Oblast Bench Press Championships
Aleksey Rybin;M;SBD;Single-ply;18.5;18-19;19-23;Open;52.9;59;;;;;130;;;;;62.5;;;;;127.5;320;3;301.59;308.46;303.47;50.88;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksey Rybin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;52.9;53;;;;;130;;;;;62.5;;;;;127.5;320;2;301.59;308.46;303.47;50.88;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksey Rybin;M;B;Single-ply;18.5;18-19;19-23;Open;52.96;59;;;;;;60;62.5;65;;65;;;;;;65;3;61.20;62.58;61.57;37.11;Yes;;;FPR;IPF;2018-05-12;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksey Rybin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;53.9;59;;;;;120;;;;;62.5;;;;;125;307.5;1;284.84;290.79;285.76;48.14;Yes;;;FPR;IPF;2018-04-14;Russia;IRK;Baikalsk;Irkutsk Oblast Powerlifting Cup
Aleksey Rybin;M;SBD;Raw;18.5;18-19;19-23;Juniors;52.88;53;;;;;97.5;;;;;60;;;;;115;272.5;2;256.91;262.77;258.53;47.82;Yes;;;FPR;IPF;2018-03-24;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Rybin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;52.9;53;;;;;100;;;;;65;;;;;115;280;2;263.89;269.90;265.53;44.52;Yes;;;FPR;IPF;2018-03-24;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Rybin;M;B;Raw;17.5;18-19;14-18;Sub-Juniors;50.88;53;;;;;;55;60;62.5;;62.5;;;;;;62.5;1;61.12;62.76;61.88;40.99;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksey Rybin;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;51.36;53;;;;;;55;60;65;;65;;;;;;65;1;63.00;64.62;63.68;38.90;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksey Rybin;M;B;Raw;17.5;18-19;14-18;Open;50.88;59;;;;;;55;60;62.5;;62.5;;;;;;62.5;3;61.12;62.76;61.88;40.99;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksey Rybin;M;B;Single-ply;17.5;18-19;14-18;Open;51.36;59;;;;;;55;60;65;;65;;;;;;65;2;63.00;64.62;63.68;38.90;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksey Rybin;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;52.22;53;;;;;90;;;;;62.5;;;;;110;262.5;2;250.42;256.45;252.49;46.38;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksey Rybin;M;SBD;Raw;17.5;18-19;14-18;Open;52.22;59;;;;;90;;;;;62.5;;;;;110;262.5;8;250.42;256.45;252.49;46.38;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksey Rybin;M;SBD;Single-ply;17.5;18-19;14-18;Open;51.88;59;;;;;120;;;;;62.5;;;;;115;297.5;5;285.57;292.64;288.23;48.09;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksey Rybin;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;51.88;53;;;;;120;;;;;62.5;;;;;115;297.5;3;285.57;292.64;288.23;48.09;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksey Rybin;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;52.22;53;;;;;90;;;;;62.5;;;;;110;262.5;2;250.42;256.45;252.49;46.38;Yes;;;FPR;IPF;2017-05-19;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Cup
Aleksey Rybin;M;SBD;Raw;16.5;16-17;14-18;Open;51.28;59;;;;;85;;;;;55;;;;;95;235;5;228.10;234.01;230.65;41.93;Yes;;;FPR;IPF;2016-05-20;Russia;IRK;Usolye-Sibirskoye;Irkutsk Oblast Powerlifting Cup
