Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Saitov;M;B;Raw;47;45-49;40-49;Amateur Masters 45-49;100.6;110;;;;;;160;165;170;;170;;;;;;170;1;104.37;103.22;98.57;77.66;Yes;Russia;;WPC-RUS;WPC;2021-01-23;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Saitov;M;B;Raw;47;45-49;40-49;Amateur Open;100.6;110;;;;;;160;165;170;;170;;;;;;170;1;104.37;103.22;98.57;77.66;Yes;Russia;;WPC-RUS;WPC;2021-01-23;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Saitov;M;B;Raw;46;45-49;40-49;Amateur Open;107;110;;;;;;170;175;180;;180;;;;;;180;1;107.75;106.87;102.07;79.90;Yes;Russia;;WPC-RUS;WPC;2020-01-25;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Saitov;M;B;Raw;46;45-49;40-49;Amateur Masters 45-49;107;110;;;;;;170;175;180;;180;;;;;;180;1;107.75;106.87;102.07;79.90;Yes;Russia;;WPC-RUS;WPC;2020-01-25;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksey Saitov;M;B;Raw;46;45-49;40-49;Masters 45-49;106.7;110;;;;;;172.5;180;-185;;180;;;;;;180;1;107.87;106.97;102.16;80.00;Yes;Russia;;IPL;IPL;2019-09-28;Russia;LEN;St. Petersburg;Eastern European Cup
Aleksey Saitov;M;B;Raw;45;45-49;40-49;Masters 45-49;108.3;110;;;;;;170;175;180;;180;;;;;;180;1;107.24;106.45;101.70;79.46;Yes;Russia;;GPA;GPA;2019-06-29;Russia;LEN;St. Petersburg;European Cup
Aleksey Saitov;M;B;Raw;45;45-49;40-49;Masters 45-49;107.3;110;;;;;;172.5;177.5;-182.5;;177.5;;;;;;177.5;1;106.13;105.29;100.57;78.69;;Russia;;RPU;;2019-04-06;Russia;LEN;St. Petersburg;Northern Capital Tournament
Aleksey Saitov;M;B;Raw;45;45-49;40-49;Masters 45-49;108.3;110;;;;;;170;175;180;;180;;;;;;180;1;107.24;106.45;101.70;79.46;Yes;Russia;;RPU;;2018-09-28;Russia;LEN;St. Petersburg;Neva Battle
Aleksey Saitov;M;B;Raw;44;40-44;40-49;Masters 40-44;108;110;;;;;;172.5;180;185;;185;;;;;;185;1;110.34;109.50;104.61;81.77;Yes;Russia;;GPA;GPA;2018-06-09;Russia;LEN;St. Petersburg;European Championships
Aleksey Saitov;M;B;Raw;44;40-44;40-49;Amateur Masters 40-49;108.8;110;;;;;;170;177.5;182.5;;182.5;;;;;;182.5;1;108.54;107.77;102.97;80.40;Yes;Russia;;WRPF;WRPF;2018-02-10;Russia;LEN;St. Petersburg;Championship of St. Petersburg
