Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Semyonov;M;B;Raw;41;40-44;40-49;Pro Masters 40-49;108;110;;;;;;-110;120;-130;;120;;;;;;120;2;71.57;71.03;67.85;53.04;;Russia;;WRPF;WRPF;2021-12-04;Russia;KO;Vorkuta;Battle for Thor Hammer
Aleksey Semyonov;M;B;Raw;37;35-39;24-39;Open;72.2;75;;;;;;107.5;-117.5;-117.5;;107.5;;;;;;107.5;3;79.07;78.71;76.18;58.09;Yes;Russia;;IPL;IPL;2021-11-19;Russia;MOW;Dolgoprudny;World Cup
Aleksey Semyonov;M;B;Raw;37;35-39;24-39;Amateur Open;71.5;75;;;;;;102.5;110;115;;115;;;;;;115;5;85.14;84.81;82.12;62.46;Yes;Russia;;WPF-RUS;WPF;2021-04-25;Russia;MOW;Moscow;Grand Prix & Kremlin Press
Aleksey Semyonov;M;B;Raw;40;40-44;40-49;Pro Masters 40-49;120.4;125;;;;;;120;130;135;;135;;;;;;135;1;77.45;77.55;74.32;56.87;;Russia;;WRPF;WRPF;2021-03-06;Russia;KO;Vorkuta;Vorkuta City Championships
Aleksey Semyonov;M;D;Raw;27;24-34;24-39;Amateur Open;64.6;67.5;;;;;;;;;;;165;-190;197.5;;197.5;197.5;1;157.25;157.87;153.56;;;Russia;;WPC-RUS;WPC;2017-12-23;Russia;ZAB;Chita;Trans-Baikal Cup
Aleksey Semyonov;M;SBD;Single-ply;29.5;24-34;24-39;Open;92.54;93;;;;;332.5;;;;;187.5;;;;;-285;;DQ;;;;;Yes;Russia;;FPR;IPF;2015-05-12;Russia;MOW;Moscow;Moscow Lights
Aleksey Semyonov;M;B;Single-ply;21.5;20-23;19-23;Juniors;104.5;105;;;;;;215;220;222.5;;222.5;;;;;;222.5;2;134.45;133.18;127.17;69.24;Yes;Russia;;FPR;IPF;2015-02-16;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Bench Press Championships
Aleksey Semyonov;M;SBD;Single-ply;28.5;24-34;24-39;Open;91.5;93;;;;;330;;;;;185;;;;;302.5;817.5;3;524.27;517.59;495.71;89.42;Yes;Russia;;FPR;IPF;2014-05-13;Russia;MOW;Moscow;Moscow Lights
Aleksey Semyonov;M;SBD;Single-ply;27.5;24-34;24-39;Open;92.35;93;;;;;320;;;;;185;;;;;300;805;4;513.92;507.39;485.76;87.62;Yes;Russia;;FPR;IPF;2013-12-05;Russia;VLG;Cherepovets;North-West Powerlifting Championships
Aleksey Semyonov;M;SBD;Single-ply;18.5;18-19;19-23;Open;72.1;74;;;;;250;;;;;140;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2013-05-23;Russia;KHM;Khanty-Mansiysk;North Cup
Aleksey Semyonov;M;SBD;Single-ply;27.5;24-34;24-39;Open;92;93;;;;;315;;;;;170;;;;;280;765;2;489.29;483.07;462.54;83.43;Yes;Russia;;FPR;IPF;2013-05-02;Russia;;Bologne;Russian Railways Championships
Aleksey Semyonov;M;SBD;Single-ply;26.5;24-34;24-39;Open;92.05;93;;;;;307.5;;;;;180;;;;;285;772.5;2;493.95;487.67;466.94;84.23;Yes;Russia;;FPR;IPF;2012-12-05;Russia;LEN;Priozersk;Northwestern District Powerlifting Championships
Aleksey Semyonov;M;SBD;Multi-ply;17;16-17;14-18;Amateur Teen 16-17;66.7;67.5;110;120;-130;;120;85;90;-92.5;;90;160;-180;-180;;160;370;1;287.66;288.03;279.74;49.19;;Russia;;WPC-RUS;WPC;2011-02-05;Russia;SVE;Yekaterinburg;Ural Championships
Aleksey Semyonov;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;81.3;82.5;;;;;235;;;;;140;;;;;215;590;6;403.02;398.77;383.95;68.97;Yes;Russia;;FPR;IPF;2009-06-17;Russia;KRS;Kursk;Russian Sub-Juniors Powerlifting Championships
