Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Sevryukov;M;B;Raw;16.5;16-17;14-18;Sub-Juniors;83.95;93;;;;;;150;157.5;-167.5;;157.5;;;;;;157.5;2;105.65;104.43;100.40;78.65;Yes;Russia;;IPF;IPF;2021-10-22;Lithuania;;Vilnius;World Bench Press Championships
Aleksey Sevryukov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;80.15;83;;;;;235;;;160;;160;;;;;220;615;2;423.60;419.36;404.04;86.66;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Aleksey Sevryukov;M;B;Raw;16.5;16-17;14-18;Sub-Juniors;81.25;83;;;;;;150;160;-162.5;;160;;;;;;160;1;109.33;108.18;104.16;81.25;Yes;Russia;;FPR;IPF;2021-04-09;Russia;NVS;Novosibirsk;Siberian Juniors & Sub-Juniors Classic Bench Press Championships
Aleksey Sevryukov;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;81.25;83;;;;;;150;160;-162.5;;160;;;;;;160;1;109.33;108.18;104.16;57.83;Yes;Russia;;FPR;IPF;2021-03-05;Russia;NVS;Novosibirsk;Siberian Juniors & Sub-Juniors Bench Press Championships
Aleksey Sevryukov;M;B;Raw;16.5;16-17;14-18;Juniors;79.15;83;;;;;;150;160;-161;;160;;;;;;160;1;111.03;109.98;106.02;82.36;Yes;Russia;;FPR;IPF;2021-02-08;Russia;TUL;Tula;Russian Juniors & Sub-Juniors Bench Press Championships
Aleksey Sevryukov;M;B;Raw;15.5;16-17;14-18;Sub-Juniors;79.55;83;;;;;;145;155;160;;160;;;;;;160;1;110.70;109.62;105.65;82.15;Yes;Russia;;FPR;IPF;2020-12-25;Russia;NVS;Novosibirsk;Novosibirsk Bench Press Championships
Aleksey Sevryukov;M;SBD;Raw;15.5;16-17;14-18;Sub-Juniors;77.35;83;;;;;220;;;;;155;;;;;210;585;1;411.65;408.19;393.88;83.94;Yes;Russia;;FPR;IPF;2020-09-11;Russia;NVS;Novosibirsk;Novosibirsk Oblast Championships
Aleksey Sevryukov;M;B;Raw;15.5;16-17;14-18;Juniors;76.85;83;;;;;;130;137.5;142.5;;142.5;;;;;;142.5;3;100.68;99.86;96.39;74.49;Yes;Russia;;FPR;IPF;2020-02-15;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Classic Bench Press Championships
Aleksey Sevryukov;M;B;Raw;14.5;13-15;14-18;Sub-Juniors;73.1;74;;;;;;120;130;-140;;130;;;;;;130;2;94.83;94.33;91.25;69.78;Yes;Russia;;FPR;IPF;2019-12-20;Russia;NVS;Novosibirsk;New Year's Bench Press Tournament
Aleksey Sevryukov;M;SBD;Raw;14.5;13-15;14-18;Open;71.9;74;;;;;180;;;;;125;;;;;185;490;2;361.40;359.89;348.36;73.02;Yes;Russia;;FPR;IPF;2019-10-11;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Cup
Aleksey Sevryukov;M;SBD;Raw;14.5;13-15;14-18;Sub-Juniors;71.3;74;;;;;170;;;;;125;;;;;180;475;1;352.32;351.05;339.93;71.10;Yes;Russia;;FPR;IPF;2019-06-16;Russia;NVS;Novosibirsk;Novosibirsk Olympic Day
Aleksey Sevryukov;M;SBD;Raw;14.5;13-15;14-18;Open;71.3;74;;;;;170;;;;;125;;;;;180;475;16;352.32;351.05;339.93;71.10;Yes;Russia;;FPR;IPF;2019-06-16;Russia;NVS;Novosibirsk;Novosibirsk Olympic Day
Aleksey Sevryukov;M;SBD;Raw;13.5;13-15;14-18;Sub-Juniors;66;66;;;;;152.5;;;;;97.5;;;;;165;415;1;325.16;325.86;316.64;64.69;Yes;Russia;;FPR;IPF;2018-06-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
Aleksey Sevryukov;M;SBD;Raw;12.5;13-15;;Sub-Juniors;51.6;53;;;;;110;;;;;62.5;;;;;100;272.5;1;262.92;269.58;265.60;48.46;Yes;Russia;;FPR;IPF;2017-06-03;Russia;NVS;Novosibirsk;Novosibirsk Oblast Classic Powerlifting & Bench Press Championships
Aleksey Sevryukov;M;B;Raw;6.5;5-12;;Sub-Juniors;81.25;83;;;;;;150;160;-162.5;;160;;;;;;160;1;109.33;108.18;104.16;81.25;Yes;Russia;;FPR;IPF;2011-04-09;Russia;NVS;Novosibirsk;Siberian Juniors & Sub-Juniors Classic Bench Press Championships
