Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Shostak;M;B;Raw;29;24-34;24-39;Pro Open;72.6;75;;;;;;142.5;150;-152.5;;150;;;;;;150;1;109.92;109.39;105.84;80.81;;Russia;;WPF-RUS;WPF;2018-09-29;Russia;MOW;Moscow;ProMotion
Aleksey Shostak;M;B;Raw;29;24-34;24-39;Pro Open;72.7;75;;;;;;150;-152.5;;;150;;;;;;150;1;109.82;109.28;105.73;80.75;;Russia;;WPC-RUS;WPC;2018-09-08;Russia;KLU;Obninsk;Adrenaline
Aleksey Shostak;M;B;Raw;28;24-34;24-39;Pro Open;74.7;75;;;;;;150;-157.5;157.5;;157.5;;;;;;157.5;1;113.28;112.54;108.76;83.58;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksey Shostak;M;B;Raw;26;24-34;24-39;Amateur Open;74.4;75;;;;;;142.5;147.5;-150;;147.5;;;;;;147.5;3;106.37;105.70;102.16;78.44;Yes;Russia;;WPC-RUS;WPC;2016-02-27;Russia;MOW;Moscow;Megapolis Tournament
Aleksey Shostak;M;B;Raw;26;24-34;24-39;Amateur Open;74.1;75;;;;;;137.5;140;-142.5;;140;;;;;;140;1;101.22;100.61;97.26;74.61;Yes;Russia;;WPC-RUS;WPC;2015-09-27;Russia;KLU;Obninsk;Adrenaline
Aleksey Shostak;M;B;Raw;25;24-34;24-39;Amateur Open;73.25;75;;;;;;137.5;-142.5;-142.5;;137.5;;;;;;137.5;3;100.17;99.63;96.36;73.73;Yes;Russia;;WPC-RUS;WPC;2015-06-19;Russia;MOW;Moscow;Moscow Cup
Aleksey Shostak;M;B;Raw;25;24-34;24-39;Amateur Open;74.5;75;;;;;;137.5;142.5;145;;145;;;;;;145;6;104.47;103.81;100.33;77.05;Yes;Russia;;WPC-RUS;WPC;2015-04-25;Russia;MOW;Moscow;Moscow Bench Press Championships
Aleksey Shostak;M;SBD;Raw;25;24-34;24-39;Amateur Open;72.9;75;150;-155;155;;155;132.5;137.5;-140;;137.5;180;195;-200;;195;487.5;1;356.26;354.45;342.90;72.13;Yes;Russia;;WPC-RUS;WPC;2014-10-16;Russia;MOW;Moscow;Moscow PROmovement Championships
Aleksey Shostak;M;B;Raw;24;24-34;24-39;Amateur Open;72.3;75;;;;;;130;135;-140;;135;;;;;;135;6;99.20;98.75;95.56;72.89;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksey Shostak;M;B;Raw;24;24-34;24-39;Amateur Open;71.8;75;;;;;;117.5;-120;-120;;117.5;;;;;;117.5;4;86.74;86.39;83.63;63.68;Yes;Russia;;WPC-RUS;WPC;2013-10-03;Russia;KLU;Kaluga;Adrenaline
