Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Shustov;M;D;Raw;45;45-49;40-49;Pro Open;97;100;;;;;;;;;;;160;170;-180;;170;170;1;106.06;104.78;100.14;;;Russia;;WRPF;WRPF;2022-02-19;Russia;MOW;Moscow;VMT Network of Fitness Clubs World Class
Aleksey Shustov;M;B;Raw;33;24-34;24-39;Pro Open;96.9;100;;;;;;170;-175;175;;175;;;;;;175;2;109.23;107.91;103.13;81.39;;Russia;;WPC-RUS;WPC;2019-07-27;Russia;MOW;Moscow;Moscow Championships
Aleksey Shustov;M;B;Raw;32;24-34;24-39;Open;95.8;100;;;;;;170;-177.5;-177.5;;170;;;;;;170;4;106.66;105.35;100.72;79.50;;Russia;;WPA-RUS;WPA;2018-07-28;Russia;MOW;Moscow;Moscow Championships
Aleksey Shustov;M;B;Raw;32;24-34;24-39;Amateur Open;95.4;100;;;;;;170;175;-180;;175;;;;;;175;2;110.01;108.65;103.89;82.00;Yes;Russia;;WPC;WPC;2017-06-10;Russia;LEN;St. Petersburg;Eastern European Cup
Aleksey Shustov;M;B;Raw;31;24-34;24-39;Amateur Open;95.4;100;;;;;;170;175;-180;;175;;;;;;175;5;110.01;108.65;103.89;82.00;Yes;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Aleksey Shustov;M;B;Raw;26.5;24-34;24-39;Open;102.75;105;;;;;;-180;180;182.5;;182.5;;;;;;182.5;1;111.05;109.91;104.95;82.55;Yes;Russia;;FPR;IPF;2016-12-24;Russia;PER;Perm;PGFA Classic Bench Press Tournament
Aleksey Shustov;M;B;Raw;30.5;24-34;24-39;Open;96.6;100;;;;;;170;175;177.5;;177.5;;;;;;177.5;2;110.95;109.59;104.76;82.67;Yes;Russia;;WPA-RUS;WPA;2016-12-17;Russia;MOW;Moscow;Russian Championships
Aleksey Shustov;M;B;Raw;26.5;24-34;24-39;Pro Open;101.9;110;;;;;;-170;172.5;-180;;172.5;;;;;;172.5;2;105.33;104.21;99.51;78.33;;Russia;;NAP;IPA;2016-10-15;Russia;PER;Perm;Perm Grand Prix
Aleksey Shustov;M;B;Raw;30;24-34;24-39;Amateur Open;94.7;100;;;;;;-175;175;-180;;175;;;;;;175;5;110.39;109.01;104.27;82.30;Yes;Russia;;WPC-RUS;WPC;2016-06-08;Russia;LEN;St. Petersburg;Russian Championships
Aleksey Shustov;M;B;Raw;29.5;24-34;24-39;Open;90;90;;;;;;-170;170;175;;175;;;;;;175;1;113.16;111.72;107.07;84.38;Yes;Russia;;WPA-RUS;WPA;2015-12-19;Russia;MOW;Moscow;Russian Championships
Aleksey Shustov;M;B;Raw;29.5;24-34;24-39;Amateur Open;92.1;100;;;;;;165;170;-177.5;;170;;;;;;170;2;108.67;107.29;102.73;81.04;Yes;Russia;;WPC-RUS;WPC;2015-10-02;Russia;LEN;Yanino;Baltic Cup
Aleksey Shustov;M;B;Raw;28.5;24-34;24-39;Amateur Open;89.5;90;;;;;;-170;170;-177.5;;170;;;;;;170;3;110.23;108.84;104.33;82.20;Yes;Russia;;WPC-RUS;WPC;2014-04-26;Russia;MOW;Moscow;Kremlin Bench
Aleksey Shustov;M;B;Raw;27.5;24-34;24-39;Amateur Open;89.3;90;;;;;;-165;165;-170;;165;;;;;;165;3;107.11;105.76;101.39;79.87;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
Aleksey Shustov;M;B;Raw;26.5;24-34;24-39;Amateur Open;89.35;90;;;;;;152.5;160;-167.5;;160;;;;;;160;3;103.84;102.52;98.29;77.43;Yes;Russia;;WPC-RUS;WPC;2012-12-14;Russia;VLA;Suzdal;Suzdal All-Russia Meet
Aleksey Shustov;M;B;Raw;25.5;24-34;24-39;Open;91.8;93;;;;;;160;167.5;170;;170;;;;;;170;3;108.85;107.46;102.91;81.17;Yes;Russia;;FPR;IPF;2011-06-11;Russia;MOW;Mytischi;Moscow Oblast Classic Bench Press Championships
