Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Sobolev;M;SBD;Raw;42;40-44;40-49;Amateur Masters 40-44;81.6;82.5;-150;150;-160;;150;110;115;120;;120;170;185;-200;;185;455;1;310.15;306.84;295.38;63.53;Yes;Russia;;WPC-RUS;WPC;2021-12-11;Russia;MOW;Moscow;World Cup
Aleksey Sobolev;M;B;Single-ply;35.5;35-39;24-39;Open;105;105;;;;;;230;240;-250;;240;;;;;;240;1;144.74;143.41;136.95;74.52;Yes;Russia;;FPR;IPF;2021-02-27;Russia;VOR;Voronezh;Voronezh Oblast Powerlifting Championships
Aleksey Sobolev;M;B;Single-ply;35.5;35-39;24-39;Open;104.75;105;;;;;;245;-255;-255;;245;;;;;;245;12;147.90;146.52;139.91;76.16;Yes;Russia;;FPR;IPF;2021-02-11;Russia;TUL;Tula;Russian Bench Press Championships
Aleksey Sobolev;M;SBD;Single-ply;34.5;24-34;24-39;Open;104.25;105;;;;;275;;;;;227.5;;;;;257.5;760;3;459.69;455.30;434.75;77.94;Yes;Russia;;FPR;IPF;2020-12-17;Russia;TUL;Tula;Central Federal District Powerlifting Championships
Aleksey Sobolev;M;SBD;Single-ply;34.5;24-34;24-39;Open;104.5;105;;;;;285;;;;;205;;;;;250;740;5;447.15;442.94;422.95;75.80;Yes;Russia;;FPR;IPF;2020-10-05;Russia;TUL;Tula;Russian Powerlifting Cup
Aleksey Sobolev;M;SBD;Raw;40;40-44;40-49;Pro Masters 40-44;79.3;82.5;140;150;155;;155;105;112.5;-117.5;;112.5;165;175;185;;185;452.5;1;313.65;310.65;299.44;64.11;;Russia;;WPC;WPC;2019-12-13;Russia;MOW;Moscow;World Cup
Aleksey Sobolev;M;SBD;Single-ply;33.5;24-34;24-39;Open;107.2;120;;;;;270;;;;;200;;;;;242.5;712.5;3;426.18;422.76;403.80;72.15;Yes;Russia;;FPR;IPF;2019-12-04;Russia;BRY;Bryansk;Central District Powerlifting Championships
Aleksey Sobolev;M;B;Raw;45;45-49;40-49;Open;108.7;110;;;;;;-200;200;-210;;200;;;;;;200;1;118.99;118.14;112.87;88.14;;Russia;;RPU;;2018-12-21;Russia;;Bologda;Russian North Tournament
Aleksey Sobolev;M;B;Raw;45;45-49;40-49;Masters 45-49;99;100;;;;;;195;-205;205;;205;;;;;;205;1;126.74;125.27;119.67;94.36;;Russia;;RPU;;2018-05-12;Russia;VLG;Vologda;North-West District Championships
Aleksey Sobolev;M;B;Raw;45;45-49;40-49;Open;99;100;;;;;;195;-205;205;;205;;;;;;205;2;126.74;125.27;119.67;94.36;;Russia;;RPU;;2018-05-12;Russia;VLG;Vologda;North-West District Championships
