Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Sokolov;M;B;Raw;37;35-39;24-39;Amateur Open;98.4;100;;;;;;195;205;210;;210;;;;;;210;1;130.17;128.65;122.91;96.95;Yes;Russia;;WRPF;WRPF;2021-10-23;Russia;LEN;St. Petersburg;Eastern European Championships
Aleksey Sokolov;M;B;Raw;36;35-39;24-39;Amateur Open;96;100;;;;;;180;190;-192.5;;190;;;;;;190;1;119.10;117.63;112.46;88.76;Yes;Russia;;WRPF;WRPF;2021-04-24;Russia;LEN;St. Petersburg;Konstantin Konstantinov Memorial Tournament
Aleksey Sokolov;M;B;Unlimited;36;35-39;24-39;Open;97.3;100;;;;;;250;260;-275;;260;;;;;;260;1;161.98;160.03;152.94;83.86;;Russia;;RPU;;2021-04-03;Russia;LEN;St. Petersburg;Northern Capital V
Aleksey Sokolov;M;D;Raw;27;24-34;24-39;Pro Open;74.8;75;;;;;;;;;;;195;210;222.5;;222.5;222.5;1;159.90;158.84;153.50;;;Russia;;WRPF;WRPF;2020-12-12;Russia;PER;Perm;Lion's Heart Tournament
Aleksey Sokolov;M;D;Raw;29;24-34;24-39;Amateur Open;94.5;100;;;;;;;;;;;220;237.5;-247.5;;237.5;237.5;4;149.96;148.09;141.65;;;Russia;;WPF-RUS;WPF;2019-12-14;Russia;MOW;Moscow;Russian Championships
Aleksey Sokolov;M;B;Unlimited;34;24-34;24-39;Amateur Open;91.8;100;;;;;;280;290;-295;;290;;;;;;;DD;;;;;Yes;Russia;;WRPF;WRPF;2019-05-10;Russia;LEN;St. Petersburg;European Championships
Aleksey Sokolov;M;SBD;Wraps;28;24-34;24-39;Open;99.9;100;265;282.5;-292.5;;282.5;140;-145;-145;;140;245;265;-272.5;;265;687.5;3;423.35;418.57;399.79;86.89;;Russia;;IPL;IPL;2019-04-19;Russia;MOW;Dolgoprudnyy;European Championships
Aleksey Sokolov;M;B;Raw;34;24-34;24-39;Open;88.5;90;;;;;;160;170;;;170;;;;;;170;1;110.87;109.47;105.00;82.66;Yes;Russia;;RPU;;2018-12-21;Russia;;Bologda;Russian North Tournament
Aleksey Sokolov;M;SBD;Raw;35.5;35-39;24-39;Open;91.8;93;;;;;230;;;;;170;;;;;260;660;7;422.58;417.20;399.51;86.89;Yes;Russia;;FPR;IPF;2018-12-06;Russia;KHA;Khabarovsk;Far Eastern Classic Powerlifting Championships
Aleksey Sokolov;M;B;Raw;29;24-34;24-39;Pro Open;86.5;90;;;;;;120;132.5;140;;140;;;;;;140;3;92.40;91.27;87.63;68.86;;Russia;;WPC-RUS;WPC;2018-12-01;Russia;KLU;Maloyaroslavets;Kaluga Cup
Aleksey Sokolov;M;SBD;Wraps;27.5;24-34;24-39;Open;97.1;100;230;250;-262.5;;250;130;140;145;;145;240;250;257.5;;257.5;652.5;1;406.89;401.98;384.18;83.60;;Russia;;RPU;;2018-12-01;Russia;MOW;Moscow;Central Federal District Championships
Aleksey Sokolov;M;B;Raw;33.5;24-34;24-39;O;98.75;100;;;;;;190;200;210;;210;;;;;;210;1;129.97;128.46;122.72;96.78;;Russia;;Vityaz;;2018-05-05;Russia;LEN;Vyborg;Russian Championships
Aleksey Sokolov;M;SBD;Wraps;27;24-34;24-39;Open;98.9;100;230;245;255;;255;130;140;-142.5;;140;225;235;245;;245;640;1;395.84;391.25;373.76;81.28;;Russia;;RPU;;2018-04-14;Russia;MOW;Moscow;Central Federal District Tournament
Aleksey Sokolov;M;B;Unlimited;33;24-34;24-39;Open;89.2;90;;;;;;240;250;260;;260;;;;;;260;1;168.88;166.74;159.87;88.19;Yes;Russia;;RPU;;2018-03-03;Russia;LEN;St. Petersburg;Northern Capital Tournament
Aleksey Sokolov;M;B;Raw;39.5;35-39;40-49;Open;75.4;83;;;;;;-100;100;105;;105;;;;;;105;5;75.07;74.54;72.01;55.44;Yes;Russia;;FPR;IPF;2018-02-10;Russia;ME;Yoshkar-Ola;Mari El Bench Press Championships
