Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Sotov;M;D;Raw;28;24-34;24-39;Open;108.3;110;;;;;;;;;;;285;-300;-300;;285;285;1;169.80;168.54;161.02;;Yes;Russia;;RPU;;2017-11-11;Russia;;Yaroslavl;Yaroslavl White Stone Tournament
Aleksey Sotov;M;D;Raw;27;24-34;24-39;Open;109.5;110;;;;;;;;;;;290;305;-320;;305;305;1;180.95;179.74;171.77;;Yes;Russia;;RPU;;2017-02-25;Russia;;Yaroslav;Cup of Yaroslav the Wise
Aleksey Sotov;M;D;Raw;27;24-34;24-39;Open;108.3;110;;;;;;;;;;;-305;305;-320;;305;305;1;181.72;180.37;172.32;;Yes;Russia;;RPU;;2016-12-23;Russia;VLG;Vologda;Russian North Tournament
Aleksey Sotov;M;D;Raw;27;24-34;24-39;Open;108.2;110;;;;;;;;;;;305;312.5;-320;;312.5;312.5;3;186.25;184.86;176.60;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksey Sotov;M;D;Raw;27;24-34;24-39;Open;88.6;90;;;;;;;;;;;150;160;170;;170;170;4;110.80;109.41;104.93;;;Russia;;RPU;;2016-11-05;Russia;;Veliky Ustyug;Veliky Ustyug Cup
Aleksey Sotov;M;D;Raw;26;24-34;24-39;Open;109.4;110;;;;;;;;;;;322.5;;;;322.5;322.5;1;191.40;190.11;181.67;;;Russia;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksey Sotov;M;D;Multi-ply;26;24-34;24-39;Open;109.4;110;;;;;;;;;;;310;322.5;;;322.5;322.5;1;191.40;190.11;181.67;;;Russia;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksey Sotov;M;B;Raw;26;24-34;24-39;Open;119.2;125;;;;;;-172.5;172.5;-177.5;;172.5;;;;;;172.5;2;99.29;99.33;95.18;72.98;Yes;Russia;;RPU;;2015-12-12;Russia;VLG;Vologda;Russian Cup
Aleksey Sotov;M;SBD;Raw;25;24-34;24-39;Open;123;125;230;240;250;;250;150;160;170;;170;280;300;310;;310;730;1;415.87;417.39;399.83;83.96;Yes;Russia;;RPU;;2015-05-03;Russia;YAR;Rybinsk;Yaroslavl Сhampionships
Aleksey Sotov;M;D;Raw;25;24-34;24-39;Open;123.3;125;;;;;;;;;;;295;305;315;;315;315;1;179.31;180.01;172.42;;Yes;Russia;;RPU;;2015-03-26;Russia;MOW;Moscow;Eastern European Championships
Aleksey Sotov;M;D;Raw;25;24-34;24-39;Open;123.7;125;;;;;;;;;;;285;305;-320;;305;305;1;173.44;174.18;166.81;;Yes;Russia;;GPA;GPA;2014-11-01;Russia;VLG;Vologda;Eurasian Cup
Aleksey Sotov;M;D;Raw;24;24-34;24-39;Amateur Open;123.3;125;;;;;;;;;;;265;285;300;;300;300;1;170.77;171.44;164.21;;Yes;Russia;;WPC;WPC;2013-11-09;Russia;VLG;Vologda;Eastern European Cup
Aleksey Sotov;M;SBD;Raw;21;20-23;19-23;Pro Open;119;125;-250;-250;;;;;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2011-01-20;Russia;VLG;Vologda;North-West Powerlifting and Bench Press Campionships
Aleksey Sotov;M;SBD;Raw;20;20-23;19-23;Pro Open;109.6;110;250;260;;;260;155;165;-170;;165;285;300;-310;;300;725;1;429.98;427.14;408.19;87.76;;Russia;;WPC-RUS;WPC;2010-05-15;Russia;VLG;Vologda;Vologda Powerlifting and Bench Press Championships
Aleksey Sotov;M;SBD;Multi-ply;19;18-19;19-23;Pro Open;99.1;100;-240;250;260;;260;140;-150;150;;150;230;240;255;;255;665;3;410.93;406.19;388.02;69.85;;Russia;;WPC-RUS;WPC;2008-11-15;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Championships
