Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Stepanets;M;D;Raw;28;24-34;24-39;Amateur Open;74.1;75;;;;;;;;;;;220;-230;-230;;220;220;6;159.06;158.10;152.84;;Yes;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksey Stepanets;M;D;Raw;27;24-34;24-39;Pro Open;74.3;75;;;;;;;;;;;210;220;230;;230;230;1;166.00;164.97;159.46;;;Russia;;WRPF;WRPF;2018-10-19;Russia;LEN;St. Petersburg;Eastern European Championships
Aleksey Stepanets;M;D;Raw;25;24-34;24-39;Amateur Open;73.9;75;;;;;;;;;;;230;-240;-240;;230;230;3;166.59;165.60;160.11;;Yes;Russia;;WRPF;WRPF;2017-06-02;Russia;MOW;Moscow;European Championships
Aleksey Stepanets;M;D;Raw;25;24-34;24-39;Amateur Open;74.8;75;;;;;;;;;;;220;230;-240;;230;230;1;165.29;164.19;158.67;;Yes;Russia;;WPC-RUS;WPC;2017-02-25;Russia;MOW;Moscow;Megapolis Championship
Aleksey Stepanets;M;D;Raw;25;24-34;24-39;Open;74.5;75;;;;;;;;;;;220;-235;-235;;220;220;2;158.51;157.50;152.22;;;Russia;;WRPF;WRPF;2016-11-15;Russia;MOW;Moscow;Drug-Tested Amateur World Championships
Aleksey Stepanets;M;D;Raw;24;24-34;24-39;Amateur Open;74.3;75;;;;;;;;;;;215;225;232.5;;232.5;232.5;1;167.81;166.76;161.20;;Yes;Russia;;WPC-RUS;WPC;2016-06-04;Russia;MOW;Moscow;Moscow Cup
Aleksey Stepanets;M;D;Raw;24;24-34;24-39;O;74.1;75;;;;;;;;;;;200;217.5;222.5;;222.5;222.5;2;160.87;159.89;154.58;;Yes;Russia;;Vityaz;;2015-12-25;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksey Stepanets;M;D;Raw;23;20-23;24-39;J;76.05;82.5;;;;;;;;;;;200;210;215;;215;215;1;152.89;151.74;146.53;;Yes;Russia;;Vityaz;;2015-05-16;Russia;MOW;Moscow;Russia Championships
Aleksey Stepanets;M;D;Raw;23;20-23;19-23;M_JR_AWPC;71.8;75;;;;;;;;;;;202.5;-212.5;-212.5;;202.5;202.5;4;149.49;148.88;144.12;;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksey Stepanets;M;D;Raw;22;20-23;19-23;Amateur Juniors 20-23;73.9;75;;;;;;;;;;;180;-202.5;-202.5;;180;180;3;130.37;129.60;125.30;;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksey Stepanets;M;D;Raw;22;20-23;19-23;Amateur Juniors 20-23;72.4;75;;;;;;;;;;;180;202.5;207.5;;207.5;207.5;2;152.33;151.63;146.73;;Yes;Russia;;WPC;WPC;2013-12-10;Russia;KRS;Kursk;Amateur European Championships
Aleksey Stepanets;M;D;Raw;22;20-23;19-23;Amateur Juniors 20-23;73.2;75;;;;;;;;;;;180;-202.5;-202.5;;180;180;5;131.19;130.49;126.21;;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
