Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Stolyarov;M;B;Raw;30;24-34;24-39;Pro Open;88.8;90;;;;;;-155;155;162.5;;162.5;;;;;;162.5;6;105.79;104.46;100.17;78.88;;Russia;;WRPF;WRPF;2020-08-08;Russia;MOW;Moscow;European Championships
Aleksey Stolyarov;M;SBD;Raw;44.5;40-44;40-49;Masters 1;97.2;105;;;;;235;;;;;160;;;;;240;635;1;395.79;391.03;373.70;81.31;Yes;Russia;;FPR;IPF;2019-04-05;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksey Stolyarov;M;SBD;Raw;43.5;40-44;40-49;Masters 1;99.4;105;;;;;230;;;;;155;;;;;250;635;1;391.88;387.39;370.04;80.45;Yes;Russia;;FPR;IPF;2018-11-02;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksey Stolyarov;M;SBD;Raw;43.5;40-44;40-49;Masters 1;99.5;105;;;;;220;;;;;150;;;;;230;600;2;370.11;365.89;349.50;75.98;Yes;Russia;;FPR;IPF;2018-03-30;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Classic Powerlifting Championships
Aleksey Stolyarov;M;SBD;Raw;42.5;40-44;40-49;Masters 1;100.5;105;;;;;210;;;;;152.5;;;;;220;582.5;3;357.77;353.80;337.90;73.41;Yes;Russia;;FPR;IPF;2017-04-20;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Classic Powerlifting Championships
Aleksey Stolyarov;M;B;Raw;44;40-44;40-49;Amateur Masters 40-44;117.9;125;;;;;;140;-152.5;-152.5;;140;;;;;;140;1;80.88;80.83;77.43;59.51;Yes;Russia;;WPC-RUS;WPC;2017-03-04;Russia;TVE;Rzhev;Cup of Military Glory
Aleksey Stolyarov;M;B;Raw;30;24-34;24-39;Open;106.5;110;;;;;;190;-200;-205;;190;;;;;;190;4;113.94;112.98;107.90;84.52;;Russia;;WRPF;WRPF;2016-11-15;Russia;MOW;Moscow;Drug-Tested Amateur World Championships
Aleksey Stolyarov;M;B;Raw;30;24-34;24-39;Open;108.1;110;;;;;;215;-222.5;-222.5;;215;;;;;;215;5;128.19;127.22;121.54;94.99;;Russia;;IPL;IPL;2016-04-21;Russia;MOW;Dolgoprudnyy;European Powerlifting Championships
Aleksey Stolyarov;M;B;Raw;29;24-34;24-39;Amateur Open;107.1;110;;;;;;210;220;-225;;220;;;;;;220;5;131.64;130.58;124.72;97.61;;Russia;;WRPF;WRPF;2015-12-03;Russia;MOW;Moscow;World Championships
Aleksey Stolyarov;M;B;Raw;29;24-34;24-39;Open;108.1;110;;;;;;207.5;215;-225;;215;;;;;;215;3;128.19;127.22;121.54;94.99;;Russia;;GPA;GPA;2015-11-06;Russia;MOW;Moscow;Eastern European Cup
Aleksey Stolyarov;M;B;Raw;29;24-34;24-39;Pro Open;107.8;110;;;;;;202.5;210;215;;215;;;;;;215;3;128.32;127.34;121.64;95.11;;Russia;;WRPF;WRPF;2015-05-03;Russia;MOW;Moscow;Russian Open Championship
Aleksey Stolyarov;M;B;Raw;28.5;24-34;24-39;Pro Open;106.8;110;;;;;;200;210;215;;215;;;;;;215;1;128.79;127.73;121.99;95.52;;Russia;;WPC-RUS;WPC;2015-04-25;Russia;MOW;Moscow;Moscow Bench Press Championships
Aleksey Stolyarov;M;B;Raw;27.5;24-34;24-39;Pro Open;74;75;;;;;;80;90;95;;95;;;;;;95;5;68.75;68.33;66.07;50.66;;Russia;;WPC-RUS;WPC;2015-04-11;Russia;SAM;Togliatti;Samara Oblast Championships
Aleksey Stolyarov;M;SBD;Raw;40.5;40-44;40-49;Masters 1;101.95;105;;;;;200;;;;;145;;;;;210;555;2;338.81;335.23;320.11;69.48;Yes;Russia;;FPR;IPF;2015-01-22;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksey Stolyarov;M;B;Raw;28;24-34;24-39;M_OR_AWPC;97.6;100;;;;;;175;185;-192.5;;185;;;;;;185;9;115.10;113.72;108.67;85.74;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksey Stolyarov;M;B;Raw;27.5;24-34;24-39;Pro Open;99;100;;;;;;-195;-200;200;;200;;;;;;200;4;123.64;122.21;116.75;92.06;;Russia;;WPC-RUS;WPC;2014-04-26;Russia;MOW;Moscow;Kremlin Bench
Aleksey Stolyarov;M;B;Raw;27;24-34;24-39;Pro Open;97.1;100;;;;;;-180;-185;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2013-02-22;Russia;MOW;Moscow;Megapolis Championships
Aleksey Stolyarov;M;B;Raw;25.5;24-34;24-39;Amateur Open;96.2;100;;;;;;-175;180;-185;;180;;;;;;180;4;112.72;111.34;106.44;84.00;Yes;Russia;;WPC-RUS;WPC;2012-08-25;Russia;MOW;Moscow;Kremlin Bench Press
Aleksey Stolyarov;M;B;Raw;25.5;24-34;24-39;Amateur Open;96;100;;;;;;172.5;177.5;-182.5;;177.5;;;;;;177.5;4;111.26;109.89;105.06;82.92;Yes;Russia;;WPC-RUS;WPC;2012-02-23;Russia;MOW;Moscow;Megapolis Championships
Aleksey Stolyarov;M;B;Raw;24.5;24-34;24-39;Amateur Open;97.1;100;;;;;;167.5;-172.5;-172.5;;167.5;;;;;;167.5;5;104.45;103.19;98.62;77.82;Yes;Russia;;WPC-RUS;WPC;2011-10-10;Russia;MOW;Khotkovo;PRODvijenie
Aleksey Stolyarov;M;B;Raw;24.5;24-34;24-39;Amateur Open;96.3;100;;;;;;162.5;-170;172.5;;172.5;;;;;;172.5;2;107.97;106.65;101.95;80.46;Yes;Russia;;WPC-RUS;WPC;2011-05-26;Russia;MOW;Khotkovo;Moscow Regional Cup
