Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Open;99;100;;;;;;155;165;-167.5;;165;;;;;;165;2;102.01;100.83;96.32;75.95;;Russia;;RPU;;2019-12-07;Russia;MOW;Klin;Klinsky Breakthrough
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;97.7;100;;;;;;155;165;-167.5;;165;;;;;;165;1;102.61;101.38;96.88;76.43;;Russia;;RPU;;2019-12-07;Russia;MOW;Klin;Klinsky Breakthrough
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;97.7;100;;;;;;150;160;165;;165;;;;;;165;1;102.61;101.38;96.88;76.43;;Russia;;RPU;;2019-11-30;Russia;MOW;Lobnya;Krasnaya Polyana Boundary Tournament
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Open;97.7;100;;;;;;150;160;165;;165;;;;;;165;1;102.61;101.38;96.88;76.43;;Russia;;RPU;;2019-11-30;Russia;MOW;Lobnya;Krasnaya Polyana Boundary Tournament
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;99.3;100;;;;;;155;165;-170;;165;;;;;;165;1;101.87;100.70;96.19;75.84;;Russia;;RPU;;2019-11-09;Russia;TVE;Tver;Athanasius Nikitin Cup
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Open;99.3;100;;;;;;155;165;-170;;165;;;;;;165;3;101.87;100.70;96.19;75.84;;Russia;;RPU;;2019-11-09;Russia;TVE;Tver;Athanasius Nikitin Cup
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;99.3;100;;;;;;155;162.5;167.5;;167.5;;;;;;167.5;1;103.41;102.23;97.65;76.99;;Russia;;RPU;;2019-05-04;Russia;TVE;Tver;Great Victory Cup
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;99.3;100;;;;;;150;160;165;;165;;;;;;165;1;101.87;100.70;96.19;75.84;;Russia;;RPU;;2019-03-30;Russia;KDA;Krasnodar;Decathlon Cup & Krasnodar Powerlifting Championships
Aleksey Strulev;M;B;Raw;48;45-49;40-49;Masters 45-49;99.3;100;;;;;;150;160;165;;165;;;;;;165;1;101.87;100.70;96.19;75.84;;Russia;;RPU;;2019-03-30;Russia;KDA;Krasnodar;Decathlon Cup & Krasnodar Powerlifting Championships
Aleksey Strulev;M;B;Raw;47;45-49;40-49;Pro Masters 40-49;99.8;100;;;;;;150;160;165;;165;;;;;;165;1;101.65;100.50;95.99;75.66;;Russia;;WRPF;WRPF;2019-03-02;Russia;MOW;Klin;Klin City Cup
