Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Taldykin;M;B;Raw;41;40-44;40-49;Amateur Masters 40-49;88.6;90;;;;;;160;165;-167.5;;165;;;;;;165;2;107.54;106.19;101.84;80.18;Yes;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksey Taldykin;M;B;Raw;41;40-44;40-49;Amateur Masters 40-49;86;90;;;;;;155;162.5;-167.5;;162.5;;;;;;162.5;1;107.58;106.28;102.07;80.16;Yes;Russia;;WRPF;WRPF;2021-05-08;Russia;MOW;Moscow;European Championships
Aleksey Taldykin;M;B;Raw;41;40-44;40-49;Amateur Open;86;90;;;;;;155;162.5;-167.5;;162.5;;;;;;162.5;5;107.58;106.28;102.07;80.16;Yes;Russia;;WRPF;WRPF;2021-05-08;Russia;MOW;Moscow;European Championships
Aleksey Taldykin;M;B;Raw;41;40-44;40-49;Masters 40-44;86.7;90;;;;;;160;-165;-165;;160;;;;;;160;1;105.47;104.18;100.01;78.60;Yes;Russia;;IPL;IPL;2021-04-16;Russia;MOW;Dolgoprudny;Drug Tested European Championships
Aleksey Taldykin;M;B;Raw;40;40-44;40-49;Amateur Masters 40-49;89.2;90;;;;;;150;160;165;;165;;;;;;165;2;107.17;105.82;101.46;79.91;Yes;Russia;;WRPF;WRPF;2020-12-17;Russia;MOW;Moscow;World Championships
Aleksey Taldykin;M;B;Raw;40;40-44;40-49;Amateur Masters 40-44;89.7;90;;;;;;160;-170;-170;;160;;;;;;160;1;103.63;102.32;98.08;77.28;;Russia;;WPF;;2020-11-14;Russia;MOW;Moscow;World Championships
Aleksey Taldykin;M;B;Raw;39;35-39;40-49;Amateur Open;87.4;90;;;;;;-160;160;-162.5;;160;;;;;;160;1;105.03;103.72;99.54;78.29;Yes;Russia;;WPC-RUS;WPC;2020-01-25;Russia;VOR;Voronezh;Peter the Great Cup
Aleksey Taldykin;M;B;Raw;39;35-39;24-39;Open;88.8;90;;;;;;165;-170;-170;;165;;;;;;165;3;107.42;106.07;101.71;80.09;Yes;Russia;;IPL;IPL;2019-11-15;Russia;MOW;Dolgoprudny;Drug Tested World Cup
Aleksey Taldykin;M;B;Raw;39;35-39;24-39;Open;89;90;;;;;;162.5;167.5;170;;170;;;;;;170;2;110.55;109.15;104.66;82.43;Yes;Russia;;WPF;;2019-08-24;Russia;MOW;Moscow;World Cup
Aleksey Taldykin;M;B;Raw;38.5;35-39;24-39;Amateur Open;88.5;90;;;;;;160;165;;;165;;;;;;165;2;107.61;106.25;101.91;80.23;Yes;Russia;;WPC-RUS;WPC;2019-07-20;Russia;VOR;Voronezh;Chernozemye Cup
Aleksey Taldykin;M;B;Raw;38.5;35-39;24-39;Open;88.1;90;;;;;;160;165;170;;170;;;;;;170;2;111.13;109.74;105.27;82.85;Yes;Russia;;WPA;;2019-06-01;Russia;MOW;Moscow;European Cup
Aleksey Taldykin;M;B;Raw;39;35-39;24-39;Amateur Open;90;90;;;;;;155;162.5;167.5;;167.5;;;;;;167.5;1;108.31;106.93;102.48;80.77;Yes;Russia;;NAP;IPA;2019-05-24;Russia;LIP;Lipetsk;Russian Bench Press Cup
Aleksey Taldykin;M;B;Raw;39;35-39;24-39;Amateur Open;87.1;90;;;;;;160;-165;165;;165;;;;;;165;2;108.50;107.16;102.86;80.87;Yes;Russia;;WRPF;WRPF;2019-05-10;Russia;LEN;St. Petersburg;European Championships
Aleksey Taldykin;M;B;Raw;39;35-39;24-39;Amateur Open;87.5;90;;;;;;155;160;162.5;;162.5;;;;;;162.5;1;106.60;105.28;101.03;79.46;Yes;Russia;;WRPF;WRPF;2019-05-01;Russia;VOR;Voronezh;Battle of Voronezh
