Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Tirskikh;M;B;Raw;36;35-39;24-39;Pro Open;109.5;110;;;;;;195;-202.5;-202.5;;195;;;;;;195;1;115.69;114.92;109.82;85.65;;Russia;;WRPF;WRPF;2022-05-21;Russia;IRK;Angarsk;3S Cup
Aleksey Tirskikh;M;BD;Raw;36;35-39;24-39;Pro Open;109.5;110;;;;;;195;-202.5;-202.5;;195;255;262.5;267.5;;267.5;462.5;1;274.40;272.56;260.47;;;Russia;;WRPF;WRPF;2022-05-21;Russia;IRK;Angarsk;3S Cup
Aleksey Tirskikh;M;D;Raw;36;35-39;24-39;Pro Open;109.5;110;;;;;;;;;;;255;262.5;267.5;;267.5;267.5;1;158.70;157.64;150.65;;;Russia;;WRPF;WRPF;2022-05-21;Russia;IRK;Angarsk;3S Cup
Aleksey Tirskikh;M;B;Raw;36;35-39;24-39;Open;107;110;;;;;;202.5;207.5;-212.5;;207.5;;;;;;207.5;3;124.21;123.20;117.67;92.11;;Russia;;RPU;;2022-04-22;Russia;IRK;Irkutsk;The Power of Siberia
Aleksey Tirskikh;M;D;Raw;36;35-39;24-39;Open;107;110;;;;;;;;;;;250;265;-272.5;;265;265;2;158.63;157.33;150.27;;;Russia;;RPU;;2022-04-22;Russia;IRK;Irkutsk;The Power of Siberia
Aleksey Tirskikh;M;D;Raw;36;35-39;24-39;Open;108.7;110;;;;;;;;;;;250;265;-270;;265;265;1;157.66;156.53;149.56;;;Russia;;RPU;;2021-12-03;Russia;IRK;Irkutsk;National Cup
Aleksey Tirskikh;M;B;Raw;36;35-39;24-39;Open;108.7;110;;;;;;195;-202.5;-202.5;;195;;;;;;195;4;116.01;115.18;110.05;85.94;;Russia;;RPU;;2021-12-03;Russia;IRK;Irkutsk;National Cup
Aleksey Tirskikh;M;D;Raw;36;35-39;24-39;Open;109.2;110;;;;;;;;;;;240;255;260;;260;260;1;154.42;153.35;146.54;;;Russia;;RPU;;2021-11-06;Russia;IRK;Irkutsk;Matrix Cup
Aleksey Tirskikh;M;B;Raw;36;35-39;24-39;Open;109.2;110;;;;;;190;195;-202.5;;195;;;;;;195;1;115.81;115.02;109.90;85.76;;Russia;;RPU;;2021-11-06;Russia;IRK;Irkutsk;Matrix Cup
Aleksey Tirskikh;M;B;Raw;35;35-39;24-39;Pro Open;128.6;140;;;;;;-210;-210;-210;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2020-10-24;Russia;IRK;Angarsk;Heavy Metal Tournament
Aleksey Tirskikh;M;B;Raw;34;24-34;24-39;Open;123.6;125;;;;;;210;-212.5;-215;;210;;;;;;210;1;119.45;119.95;114.87;87.49;;Russia;;RPU;;2020-03-27;Russia;IRK;Irkutsk;Power of Siberia
Aleksey Tirskikh;M;B;Raw;34;24-34;24-39;Pro Open;122.5;125;;;;;;205;215;-217.5;;215;;;;;;215;1;122.64;123.04;117.88;89.91;;Russia;;WRPF;WRPF;2019-11-02;Russia;;Angarsk;Heavy Metal Tournament
Aleksey Tirskikh;M;B;Raw;33;24-34;24-39;Open;122.8;125;;;;;;195;205;-210;;205;;;;;;205;2;116.85;117.25;112.33;85.64;;Russia;;RPU;;2019-05-25;Russia;KYA;Krasnoyarsk;Siberian Championships
Aleksey Tirskikh;M;B;Raw;33;24-34;24-39;Open;121.7;125;;;;;;180;190;202.5;;202.5;;;;;;202.5;3;115.76;116.05;111.20;84.92;;Russia;;WRPF;WRPF;2019-03-16;Russia;KYA;Krasnoyarsk;Siberian Power Show
Aleksey Tirskikh;M;B;Raw;33;24-34;24-39;Pro Open;117.5;125;;;;;;160;170;175;;175;;;;;;175;2;101.22;101.12;96.86;74.50;;Russia;;WRPF;WRPF;2018-12-22;Russia;;Angarsk;New Years Tournament
Aleksey Tirskikh;M;B;Raw;33;24-34;24-39;Pro Open;108;110;;;;;;150;160;-170;;160;;;;;;160;3;95.43;94.70;90.47;70.72;;Russia;;WRPF;WRPF;2018-11-10;Russia;;Angarsk;Irkutsk Festival of Power III
Aleksey Tirskikh;M;B;Raw;32;24-34;24-39;Open;103.65;105;;;;;;-160;-160;160;;160;;;;;;160;3;97.00;96.05;91.71;72.07;Yes;Russia;;FPR;IPF;2018-03-03;Russia;IRK;Sayansk;Iron Brotherhood Sayansk Classic Bench Press Championships
