Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Tishakov;M;SBD;Raw;22;20-23;19-23;Pro Juniors 20-23;105.6;110;-210;210;-220;;210;155;-165;165;;165;270;;;;270;645;1;388.11;384.66;367.33;79.42;;Russia;;WPC-RUS;WPC;2018-02-11;Russia;ROS;Rostov-on-Don;Southern Outpost Championships
Aleksey Tishakov;M;D;Raw;22;20-23;19-23;Pro Juniors 20-23;105.6;110;;;;;;;;;;;270;285;-292.5;;285;285;1;171.49;169.97;162.31;;;Russia;;WPC-RUS;WPC;2018-02-11;Russia;ROS;Rostov-on-Don;Southern Outpost Championships
Aleksey Tishakov;M;B;Single-ply;20;20-23;19-23;Pro Juniors 20-23;92.1;100;;;;;;220;225;-230;;225;;;;;;225;1;143.83;142.00;135.96;74.85;;Russia;;WPC-RUS;WPC;2016-10-30;Russia;ROS;Taganrog;Taganrog Cup
Aleksey Tishakov;M;B;Single-ply;19.5;20-23;19-23;Pro Juniors 20-23;97.5;100;;;;;;-220;-220;-220;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2016-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksey Tishakov;M;B;Single-ply;19;18-19;19-23;Pro Teen 18-19;97.1;100;;;;;;-210;-220;-220;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2016-02-23;Russia;ROS;Taganrog;Taganrog Championships
Aleksey Tishakov;M;B;Single-ply;19.5;20-23;19-23;Pro Teen 18-19;97.7;100;;;;;;-210;210;-220;;210;;;;;;210;1;130.59;129.03;123.30;67.58;;Russia;;WPC-RUS;WPC;2016-02-07;Russia;ROS;Rostov-on-Don;Southern Outpost Tournament
Aleksey Tishakov;M;D;Raw;19.5;20-23;19-23;Pro Teen 18-19;97.7;100;;;;;;;;;;;220;-240;240;;240;240;1;149.25;147.47;140.91;;;Russia;;WPC-RUS;WPC;2016-02-07;Russia;ROS;Rostov-on-Don;Southern Outpost Tournament
Aleksey Tishakov;M;B;Raw;17.5;18-19;14-18;Amateur Teen 16-17;88.9;90;;;;;;125;-132.5;-132.5;;125;;;;;;125;1;81.33;80.31;77.01;60.64;Yes;Russia;;WPC-RUS;WPC;2014-02-28;Russia;ROS;Rostov-on-Don;Southern Federal District Championships
Aleksey Tishakov;M;B;Raw;16.5;16-17;14-18;Amateur Teen 16-17;87.9;90;;;;;;120;-132.5;-132.5;;120;;;;;;120;1;78.54;77.56;74.41;58.55;Yes;Russia;;WPC-RUS;WPC;2013-11-23;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksey Tishakov;M;B;Raw;16;16-17;14-18;Amateur Teen 16-17;80.3;82.5;;;;;;-102.5;-102.5;102.5;;102.5;;;;;;102.5;2;70.52;69.81;67.25;52.37;Yes;Russia;;WPC-RUS;WPC;2013-03-02;Russia;ROS;Rostov-on-Don;Southern Federal District Championships
Aleksey Tishakov;M;B;Single-ply;;;;Open;76.45;83;;;;;;70;87.5;-95;;87.5;;;;;;87.5;10;62.02;61.53;59.41;33.16;Yes;Russia;;FPR;IPF;2012-12-22;Russia;ROS;Rostov-on-Don;Rostov Oblast Bench Press Championships
